Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2016-06-01,BREAD,H,18,34,52,32,0,0,20,0,0,0,0,0,0,0
2016-06-01,BREAD,FR,17,24,41,31,0,0,10,0,0,0,0,0,0,0
2016-06-01,BREAD,GW,4,18,22,11,0,0,11,0,0,0,0,0,0,0
2016-06-01,BREAD,DK,0,38,38,20,0,0,18,0,0,0,0,0,0,0
2016-06-01,BREAD,H5,15,0,15,7,0,0,8,0,0,0,0,0,0,0
2016-06-01,BREAD,CSWRL,3,0,3,0,1,0,2,1,0,1,-4,0,0,4
2016-06-01,BREAD,SSSwirl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,bfb,5,0,5,5,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,Cne,0,18,18,2,0,0,7,0,6,6,2,0,0,4
2016-06-01,BREAD,CnR,0,11,11,6,0,0,5,0,0,0,0,0,0,0
2016-06-01,BREAD,CnW,0,10,10,6,0,0,4,0,0,0,0,0,0,0
2016-06-01,BREAD,cg,0,6,6,6,0,0,0,0,4,4,2,0,0,2
2016-06-01,BREAD,cg-jal,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,cg-pesto,0,7,7,7,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,VS,8,0,8,7,0,1,0,5,0,5,4,0,0,0
2016-06-01,BREAD,CH,11,0,11,6,0,5,0,3,0,3,1,0,0,0
2016-06-01,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,gluten-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,Glut-X Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,VS-Buns,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,CG-BUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,BREAD,GW-Buns,0,24,24,21,0,0,3,0,0,0,0,0,0,0
2016-06-01,BREAD,H-RLS,3,6,9,1,0,2,6,0,0,0,0,0,0,0
2016-06-01,BREAD,FR-RLS,4,2,6,4,0,0,2,0,0,0,0,0,0,0
2016-06-01,BREAD,VS-RLS,7,0,7,4,0,3,0,0,0,0,0,0,0,0
2016-06-01,BREAD,lemon blue,3,5,8,6,1,0,1,0,0,0,0,0,0,0
2016-06-01,BREAD,straw short,3,4,7,5,0,0,2,0,0,0,0,0,0,0
2016-06-01,BREAD,Choc Carm,2,5,7,2,0,2,3,0,0,0,0,0,0,0
2016-06-01,ROLLS,Cinnamon,0,48,48,47,0,1,0,0,0,0,0,0,0,0
2016-06-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,SCONES,Straw Peach,0,13,13,13,0,0,0,0,8,8,3,0,0,0
2016-06-01,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,SCONES,Butt Almd,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,SCONES,Peach Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,SCONES,Cin Chip,0,12,12,12,0,0,0,0,8,8,4,0,0,0
2016-06-01,SCONES,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,SCONES,S'Mores,0,12,12,12,0,0,0,0,7,7,5,0,0,0
2016-06-01,FRUIT BARS,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,FRUIT BARS,Cherry,0,8,8,7,1,0,0,0,0,0,0,0,0,0
2016-06-01,FRUIT BARS,straw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,FRUIT BARS,Apple Cin,0,4,4,3,1,0,0,0,0,0,0,0,0,0
2016-06-01,FRUIT BARS,Peach Cin,0,8,8,7,1,0,0,0,0,0,0,0,0,0
2016-06-01,MUFFINS,lemon blue,0,6,6,6,0,0,0,0,3,3,1,0,0,0
2016-06-01,MUFFINS,straw short,0,6,6,5,0,1,0,0,6,6,1,0,0,0
2016-06-01,MUFFINS,Choc Carm,0,6,6,6,0,0,0,0,6,6,1,0,0,0
2016-06-01,COOKIES/BARS,Oatmeal CC,16,6,22,22,0,0,0,0,2,2,2,0,0,0
2016-06-01,COOKIES/BARS,Peanut Butt,10,6,16,13,0,0,3,0,0,0,0,0,0,0
2016-06-01,COOKIES/BARS,PB Choc,5,12,17,11,0,0,6,0,2,2,2,0,0,0
2016-06-01,COOKIES/BARS,Triple Choc,8,12,20,20,0,0,0,0,2,2,2,0,0,0
2016-06-01,COOKIES/BARS,SnickerDoodle,20,0,20,18,0,0,2,0,2,2,2,0,0,0
2016-06-01,COOKIES/BARS,frosted,9,18,27,25,0,0,2,0,0,0,0,0,0,0
2016-06-01,COOKIES/BARS,Kahuna Bar,0,20,20,-6,20,0,6,0,0,0,0,0,0,0
2016-06-01,COOKIES/BARS,Totals,68,197,265,221,23,2,19,0,46,46,23,0,0,0
2016-06-02,BREAD,H,20,26,46,17,0,6,23,0,0,0,0,0,0,0
2016-06-02,BREAD,FR,10,45,55,9,25,0,21,0,0,0,0,0,0,0
2016-06-02,BREAD,GW,11,0,11,5,0,6,0,0,0,0,0,0,0,0
2016-06-02,BREAD,DK,18,0,18,7,0,0,11,0,0,0,0,0,0,0
2016-06-02,BREAD,H5,8,25,33,13,0,0,20,0,0,0,0,0,0,0
2016-06-02,BREAD,CSWRL,2,25,27,19,1,0,7,4,6,10,2,0,0,6
2016-06-02,BREAD,SSSwirl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,bfb,0,14,14,10,0,0,4,0,5,5,1,0,0,4
2016-06-02,BREAD,Cne,7,0,7,6,0,1,0,4,0,4,3,0,0,0
2016-06-02,BREAD,CnR,5,0,5,4,0,1,0,0,0,0,0,0,0,0
2016-06-02,BREAD,CnW,4,0,4,4,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,cg,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2016-06-02,BREAD,cg-jal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,cg-pesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,VS,0,28,28,6,13,0,9,0,7,7,1,0,0,6
2016-06-02,BREAD,CH,0,10,10,3,0,0,7,0,6,6,2,0,0,4
2016-06-02,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,gluten-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,Glut-X Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,VS-Buns,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,CG-BUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,BREAD,GW-Buns,3,12,15,10,0,2,3,0,0,0,0,0,0,0
2016-06-02,BREAD,H-RLS,6,0,6,0,0,6,0,0,0,0,0,0,0,0
2016-06-02,BREAD,FR-RLS,2,4,6,2,0,0,4,0,0,0,0,0,0,0
2016-06-02,BREAD,VS-RLS,0,6,6,1,0,0,5,0,0,0,0,0,0,0
2016-06-02,BREAD,lemon blue,1,7,8,5,0,0,3,0,0,0,0,0,0,0
2016-06-02,BREAD,straw short,2,6,8,3,0,0,5,0,0,0,0,0,0,0
2016-06-02,BREAD,Choc Carm,3,3,6,6,0,0,0,0,0,0,0,0,0,0
2016-06-02,ROLLS,Cinnamon,0,60,60,60,0,0,0,0,0,0,0,0,0,0
2016-06-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,SCONES,Straw Peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,SCONES,Blueberry,0,24,24,24,0,0,0,0,8,8,8,0,0,0
2016-06-02,SCONES,Butt Almd,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,SCONES,Peach Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,SCONES,Cin Chip,0,18,18,14,4,0,0,0,6,6,3,0,0,0
2016-06-02,SCONES,turtle,0,15,15,15,0,0,0,0,6,6,6,0,0,0
2016-06-02,SCONES,S'Mores,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,FRUIT BARS,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,FRUIT BARS,Cherry,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2016-06-02,FRUIT BARS,straw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,FRUIT BARS,Apple Cin,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2016-06-02,FRUIT BARS,Peach Cin,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2016-06-02,MUFFINS,lemon blue,0,9,9,7,0,2,0,0,5,5,2,0,0,0
2016-06-02,MUFFINS,straw short,0,9,9,5,0,4,0,0,5,5,2,0,0,0
2016-06-02,MUFFINS,Choc Carm,0,9,9,9,0,0,0,0,5,5,5,0,0,0
2016-06-02,COOKIES/BARS,Oatmeal CC,0,24,24,24,0,0,0,0,4,4,-8,0,0,0
2016-06-02,COOKIES/BARS,Peanut Butt,3,12,15,7,0,0,8,0,2,2,2,0,0,0
2016-06-02,COOKIES/BARS,PB Choc,6,12,18,7,0,3,8,0,2,2,2,0,0,0
2016-06-02,COOKIES/BARS,Triple Choc,0,24,24,24,0,0,0,0,4,4,-8,0,0,0
2016-06-02,COOKIES/BARS,SnickerDoodle,2,24,26,16,0,0,10,0,4,4,-10,0,0,2
2016-06-02,COOKIES/BARS,frosted,2,18,20,10,0,0,10,0,0,0,0,0,0,0
2016-06-02,COOKIES/BARS,kahuna,6,0,6,5,0,1,0,0,0,0,0,0,0,0
2016-06-02,COOKIES/BARS,Totals,19,278,297,247,4,10,36,0,51,51,4,0,0,2
2016-06-03,BREAD,H,23,29,52,37,4,0,11,0,0,0,0,0,0,0
2016-06-03,BREAD,FR,21,22,43,20,0,0,23,0,0,0,0,0,0,0
2016-06-03,BREAD,GW,0,14,14,9,1,0,4,0,0,0,0,0,0,0
2016-06-03,BREAD,DK,11,30,41,23,8,0,10,0,0,0,0,0,0,0
2016-06-03,BREAD,H5,20,0,20,8,0,0,12,0,0,0,0,0,0,0
2016-06-03,BREAD,CSWRL,7,0,7,-6,0,0,13,6,0,6,-2,0,0,2
2016-06-03,BREAD,SSSwirl,0,0,0,-6,0,0,6,0,0,0,-5,0,0,5
2016-06-03,BREAD,RWB,4,0,4,4,0,0,0,4,0,4,4,0,0,0
2016-06-03,BREAD,Cne,0,18,18,11,0,0,7,0,6,6,5,0,0,1
2016-06-03,BREAD,CnR,0,10,10,3,0,0,7,0,0,0,0,0,0,0
2016-06-03,BREAD,CnW,0,11,11,9,0,0,2,0,0,0,0,0,0,0
2016-06-03,BREAD,cg,0,0,0,-13,13,0,0,0,18,18,18,0,0,0
2016-06-03,BREAD,cg-jal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,BREAD,cg-pesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,BREAD,VS,9,0,9,3,0,6,0,6,0,6,1,0,0,0
2016-06-03,BREAD,CH,7,0,7,2,0,5,0,4,0,4,1,0,0,0
2016-06-03,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,BREAD,glut-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,BREAD,Glut-Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,BREAD,VS-Buns,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,BREAD,CG-BUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
