Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2016-09-01,BREAD,H,29,10,39,36,0,0,3,0,0,0,0,0,0,0
2016-09-01,BREAD,FR,28,24,52,33,0,0,19,0,0,0,0,0,0,0
2016-09-01,BREAD,GW,8,8,16,14,0,0,2,0,0,0,0,0,0,0
2016-09-01,BREAD,DK,26,0,26,15,0,0,11,0,0,0,0,0,0,0
2016-09-01,BREAD,H5,5,31,36,8,3,0,25,0,0,0,0,0,0,0
2016-09-01,BREAD,CSWRL,0,0,0,-5,0,0,5,1,0,1,1,0,0,0
2016-09-01,BREAD,Apl Swl,0,0,0,-2,0,0,2,0,0,0,0,0,0,0
2016-09-01,BREAD,ApB,0,14,14,8,0,2,4,0,5,5,3,0,0,2
2016-09-01,BREAD,Cne,0,1,1,1,0,0,0,0,4,4,4,0,0,0
2016-09-01,BREAD,CnR,0,6,6,3,0,3,0,0,0,0,0,0,0,0
2016-09-01,BREAD,CnW,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2016-09-01,BREAD,cg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,BREAD,cg-pesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,BREAD,VS,0,10,10,3,3,0,4,0,6,6,3,0,0,3
2016-09-01,BREAD,CH,0,12,12,3,0,0,9,0,4,4,3,0,0,1
2016-09-01,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,BREAD,gluten-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,BREAD,Glut-X Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,BREAD,GW-BUNS,4,0,4,1,0,3,0,0,0,0,0,0,0,0
2016-09-01,BREAD,VS-BUNS,0,4,4,2,0,0,2,0,0,0,0,0,0,0
2016-09-01,BREAD,H-RLS,2,4,6,1,0,0,5,0,0,0,0,0,0,0
2016-09-01,BREAD,FR-RLS,2,4,6,5,0,0,1,0,0,0,0,0,0,0
2016-09-01,BREAD,VS-RLS,0,4,4,1,1,0,2,0,0,0,0,0,0,0
2016-09-01,BREAD,BLUE STRU,4,5,9,8,0,0,1,0,0,0,0,0,0,0
2016-09-01,BREAD,Choc Carm,4,5,9,8,0,0,1,0,0,0,0,0,0,0
2016-09-01,BREAD,APPLE CRU,3,6,9,5,0,1,3,0,0,0,0,0,0,0
2016-09-01,ROLLS,Cinnamon,0,144,144,140,4,0,0,0,0,0,0,0,0,0
2016-09-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,SCONES,cHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,SCONES,Blueberry,0,28,28,28,0,0,0,0,6,6,6,0,0,0
2016-09-01,SCONES,Butt Almd,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,SCONES,Cin Chip,0,28,28,22,6,0,0,0,5,5,5,0,0,0
2016-09-01,SCONES,turtle,0,26,26,26,0,0,0,0,6,6,6,0,0,0
2016-09-01,FRUIT BARS,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,FRUIT BARS,Cherry,0,12,12,12,0,0,0,0,0,0,0,0,0,0
2016-09-01,FRUIT BARS,Strawberry,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2016-09-01,FRUIT BARS,Apple Cin,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2016-09-01,FRUIT BARS,Peach Cin,0,12,12,12,0,0,0,0,0,0,0,0,0,0
2016-09-01,MUFFINS,BLUE STRU,0,12,12,12,0,0,0,0,10,10,4,0,0,0
2016-09-01,MUFFINS,Choc Carm,0,12,12,12,0,0,0,0,9,9,4,0,0,0
2016-09-01,MUFFINS,APPLE CRUNCH,0,12,12,12,0,0,0,0,8,8,3,0,0,0
2016-09-01,COOKIES/BARS,Oatmeal CC,14,42,56,32,24,0,0,0,8,8,4,0,0,0
2016-09-01,COOKIES/BARS,peanut butt,3,18,21,21,0,0,0,0,2,2,2,0,0,0
2016-09-01,COOKIES/BARS,PB Chocolate,0,24,24,24,0,0,0,0,2,2,2,0,0,0
2016-09-01,COOKIES/BARS,Triple Choc,2,54,56,32,24,0,0,0,8,8,4,0,0,0
2016-09-01,COOKIES/BARS,SnickerDoodle,7,48,55,31,24,0,0,0,8,8,4,0,0,0
2016-09-01,COOKIES/BARS,frosted,11,6,17,17,0,0,0,0,0,0,0,0,0,0
2016-09-01,COOKIES/BARS,kahuna bar,12,0,12,12,0,0,0,0,0,0,0,0,0,0
2016-09-01,COOKIES/BARS,Harvest Raisin,2,24,26,26,0,0,0,0,2,2,2,0,0,0
2016-09-01,COOKIES/BARS,Totals,51,518,569,487,82,0,0,0,74,74,46,0,0,0
2016-09-02,BREAD,H,3,54,57,35,9,0,13,0,0,0,0,0,0,0
2016-09-02,BREAD,FR,19,47,66,24,15,0,27,0,0,0,0,0,0,0
2016-09-02,BREAD,GW,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,DK,11,30,41,21,0,0,20,0,0,0,0,0,0,0
2016-09-02,BREAD,H5,25,0,25,14,0,0,11,0,0,0,0,0,0,0
2016-09-02,BREAD,CSWRL,5,0,5,0,0,0,5,0,0,0,-1,0,0,1
2016-09-02,BREAD,Apl Swl,2,0,2,1,0,0,1,0,0,0,-2,0,0,2
2016-09-02,BREAD,ApB,4,0,4,4,0,0,0,2,0,2,2,0,0,0
2016-09-02,BREAD,Cne,0,20,20,11,1,0,8,0,0,0,-1,0,0,1
2016-09-02,BREAD,CnR,0,12,12,9,0,0,3,0,0,0,0,0,0,0
2016-09-02,BREAD,CnW,0,11,11,9,0,0,2,0,0,0,0,0,0,0
2016-09-02,BREAD,cg,0,13,13,13,0,0,0,0,5,5,3,0,0,2
2016-09-02,BREAD,cg-pesto,0,6,6,4,1,0,1,0,0,0,0,0,0,0
2016-09-02,BREAD,VS,4,0,4,4,0,0,0,3,0,3,3,0,0,0
2016-09-02,BREAD,CH,9,0,9,8,0,1,0,1,0,1,0,0,0,0
2016-09-02,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,gluten-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,Glut-X Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,GW-BUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,VS-BUNS,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2016-09-02,BREAD,H-RLS,5,2,7,4,0,1,2,0,0,0,0,0,0,0
2016-09-02,BREAD,FR-RLS,1,6,7,7,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,VS-RLS,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,BLUE STRU,1,6,7,7,0,0,0,0,0,0,0,0,0,0
2016-09-02,BREAD,Choc Carm,1,6,7,6,0,0,1,0,0,0,0,0,0,0
2016-09-02,BREAD,APPLE CRU,3,5,8,7,1,0,0,0,0,0,0,0,0,0
2016-09-02,ROLLS,Cinnamon,0,24,24,24,0,0,0,0,0,0,0,0,0,0
2016-09-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,SCONES,cHERRY,0,18,18,18,0,0,0,0,3,3,3,0,0,0
2016-09-02,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,SCONES,Butt Almd,0,18,18,18,0,0,0,0,3,3,3,0,0,0
2016-09-02,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,SCONES,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,FRUIT BARS,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,FRUIT BARS,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,FRUIT BARS,Apple Cin,0,8,12,10,0,2,0,0,0,0,0,0,0,0
2016-09-02,FRUIT BARS,Peach Cin,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-02,MUFFINS,BLUE STRU,0,6,6,6,0,0,0,0,2,2,2,0,0,0
2016-09-02,MUFFINS,Choc Carm,0,6,6,5,0,1,0,0,2,2,2,0,0,0
2016-09-02,MUFFINS,APPLE CRUNCH,0,6,6,5,0,1,0,0,2,2,2,0,0,0
2016-09-02,COOKIES/BARS,Oatmeal CC,0,24,24,23,0,0,1,0,56,56,0,0,0,0
2016-09-02,COOKIES/BARS,peanut butt,0,12,12,7,0,0,5,0,0,0,0,0,0,0
2016-09-02,COOKIES/BARS,PB Chocolate,0,12,12,12,0,0,0,0,0,0,0,0,0,0
2016-09-02,COOKIES/BARS,Triple Choc,0,24,24,13,0,0,11,0,56,56,0,0,0,0
2016-09-02,COOKIES/BARS,SnickerDoodle,0,24,24,12,0,0,12,0,56,56,0,0,0,0
2016-09-02,COOKIES/BARS,frosted,0,12,12,9,0,3,0,0,0,0,0,0,0,0
2016-09-02,COOKIES/BARS,kahuna bar,0,20,20,12,0,0,8,0,0,0,0,0,0,0
2016-09-02,COOKIES/BARS,Harvest Raisin,0,12,12,12,0,0,0,0,0,0,0,0,0,0
2016-09-02,COOKIES/BARS,Totals,0,238,230,186,0,7,37,0,180,180,12,0,0,0
2016-09-03,BREAD,H,13,0,13,13,0,0,0,0,0,0,0,0,0,0
2016-09-03,BREAD,FR,27,0,27,22,0,5,0,0,0,0,0,0,0,0
2016-09-03,BREAD,GW,0,16,16,10,0,6,0,0,0,0,0,0,0,0
2016-09-03,BREAD,DK,20,0,20,10,0,10,0,0,0,0,0,0,0,0
2016-09-03,BREAD,H5,11,0,11,3,0,8,0,0,0,0,0,0,0,0
2016-09-03,BREAD,CSWRL,5,12,17,17,0,0,0,1,2,3,3,0,0,0
2016-09-03,BREAD,Apl Swl,1,12,13,10,0,3,0,2,0,2,0,0,0,0
2016-09-03,BREAD,ApB,0,5,5,5,0,0,0,0,5,5,4,0,0,0
2016-09-03,BREAD,Cne,8,0,8,8,0,0,0,1,0,1,1,0,0,0
2016-09-03,BREAD,CnR,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2016-09-03,BREAD,CnW,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2016-09-03,BREAD,cg,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2016-09-03,BREAD,cg-pesto,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-09-03,BREAD,VS,0,10,10,10,0,0,0,0,4,4,4,0,0,0
2016-09-03,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-03,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-03,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-03,BREAD,glut-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-03,BREAD,Glut-Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
