Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2017-11-01,BREAD,H,17.0,24.0,41.0,19.0,3,0,19.0,0,0,0,0,0,0,0
2017-11-01,BREAD,FR,1.0,26.0,27.0,4.0,4,0,19.0,0,0,0,0,0,0,0
2017-11-01,BREAD,GW,0.0,11.0,11.0,4.0,0,0,7.0,0,0,0,0,0,0,0
2017-11-01,BREAD,DK,11.0,15.0,26.0,12.0,2,0,12.0,0,0,0,0,0,0,0
2017-11-01,BREAD,H5,4.0,0.0,4.0,4.0,0,0,0.0,0,0,0,0,0,0,0
2017-11-01,BREAD,CSWRL,6.0,12.0,18.0,9.0,0,0,9.0,1,3,4,-1,0,0,3
2017-11-01,BREAD,Pump Swl,1.0,16.0,17.0,3.0,0,0,14.0,2,2,4,0,0,0,2
2017-11-01,BREAD,Sonoma,0.0,13.0,13.0,2.0,0,0,11.0,0,4,4,1,0,0,3
2017-11-01,BREAD,CnE,10.0,6.0,16.0,8.0,8,0,0.0,1,3,4,2,0,0,2
2017-11-01,BREAD,CnR,0.0,8.0,8.0,2.0,1,0,5.0,0,0,0,0,0,0,0
2017-11-01,BREAD,CnW,0.0,8.0,8.0,1.0,0,0,7.0,0,0,0,0,0,0,0
2017-11-01,BREAD,CG,0.0,9.0,9.0,-1.0,3,0,7.0,0,2,2,1,0,0,1
2017-11-01,BREAD,Pesto CG,0.0,6.0,6.0,1.0,0,0,5.0,0,0,0,0,0,0,0
2017-11-01,BREAD,Jalep CG,0.0,4.0,4.0,2.0,0,0,2.0,0,0,0,0,0,0,0
2017-11-01,BREAD,VS,3.0,0.0,3.0,3.0,0,0,0.0,2,0,2,2,0,0,0
2017-11-01,BREAD,CB,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2017-11-01,BREAD,CrO,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2017-11-01,BREAD,CH,10.0,0.0,10.0,2.0,0,8,0.0,3,0,3,1,0,0,0
2017-11-01,BREAD,car,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2017-11-01,BREAD,ihf,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2017-11-01,BREAD,Stuf,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2017-11-01,BREAD,Turkeys,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
