Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2018-08-01,BREAD,H,29,31,60,31,18,0,11,0,0,0,0,0,0,0
2018-08-01,BREAD,FR,16,24,40,21,0,0,19,0,0,0,0,0,0,0
2018-08-01,BREAD,GW,10,5,15,12,0,1,2,0,0,0,0,0,0,0
2018-08-01,BREAD,DK,5,40,45,36,0,0,9,0,0,0,0,0,0,0
2018-08-01,BREAD,H5,15,0,15,1,0,0,14,0,0,0,0,0,0,0
2018-08-01,BREAD,CSRWL,2,24,26,15,5,0,6,0,4,4,3,0,0,1
2018-08-01,BREAD,VA SWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,BREAD,BFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,BREAD,CNE,0,23,23,20,1,0,2,0,4,4,3,0,0,1
2018-08-01,BREAD,CNR,0,10,10,9,0,0,1,0,0,0,0,0,0,0
2018-08-01,BREAD,CNW,0,10,10,8,0,0,2,0,0,0,0,0,0,0
2018-08-01,BREAD,CG,0,15,15,13,0,0,2,0,3,3,1,0,0,2
2018-08-01,BREAD,PESTO CG,0,6,6,5,0,0,1,0,0,0,0,0,0,0
2018-08-01,BREAD,VS,6,0,6,6,0,0,0,3,0,3,3,0,0,0
2018-08-01,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,BREAD,SOURDOUGH,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2018-08-01,BREAD,SOUR CC,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2018-08-01,BREAD,SOUR CJ,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2018-08-01,BREAD,SOUR RG,0,5,5,4,0,0,1,0,0,0,0,0,0,0
2018-08-01,BREAD,SOUR BORG,0,3,3,1,0,0,2,0,0,0,0,0,0,0
2018-08-01,BREAD,Car,0,0,0,-20,0,20,0,0,0,0,0,0,0,0
2018-08-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,BREAD,GW BUNS,3,2,5,0,0,2,3,0,0,0,0,0,0,0
2018-08-01,BREAD,VS BUNS,3,0,3,1,0,2,0,0,0,0,0,0,0,0
2018-08-01,BREAD,H-RLS,3,4,7,5,0,0,2,0,0,0,0,0,0,0
2018-08-01,BREAD,FR-RLS,3,4,7,5,0,0,2,0,0,0,0,0,0,0
2018-08-01,BREAD,VS-RLS,4,0,4,2,0,2,0,0,0,0,0,0,0,0
2018-08-01,BREAD,BLUE STRU,2,15,17,6,10,0,1,0,0,0,0,0,0,0
2018-08-01,BREAD,CHOC CARM,2,7,9,5,2,0,2,0,0,0,0,0,0,0
2018-08-01,BREAD,BAN CRUMB,0,3,3,0,0,2,1,0,0,0,0,0,0,0
2018-08-01,BREAD,BAN WALN,4,0,4,1,0,0,3,0,0,0,0,0,0,0
2018-08-01,BREAD,BAN CHOC,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2018-08-01,ROLLS,Cinnamon,0,84,84,84,0,0,0,0,0,0,0,0,0,0
2018-08-01,ROLLS,Take-N-Bake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,SCONES,Rasp Cream,0,32,32,23,0,9,0,0,4,4,4,0,0,0
2018-08-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,SCONES,Turtle,0,24,24,16,0,8,0,0,4,4,4,0,0,0
2018-08-01,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,FRUIT BARS,Mixed Berry,0,12,12,4,6,2,0,0,0,0,0,0,0,0
2018-08-01,FRUIT BARS,Cherry,0,20,20,4,12,4,0,0,0,0,0,0,0,0
2018-08-01,FRUIT BARS,Apple Cin,0,20,20,9,11,0,0,0,0,0,0,0,0,0
2018-08-01,FRUIT BARS,MIXED FRUIT,0,8,8,4,4,0,0,0,0,0,0,0,0,0
2018-08-01,MUFFINS,BLUE STRU,0,9,9,7,0,2,0,0,2,2,2,0,0,0
2018-08-01,MUFFINS,CHOC CARM,0,8,8,6,0,2,0,0,11,11,2,0,0,0
2018-08-01,MUFFINS,BAN CRUMB,0,6,6,4,0,2,0,0,8,8,1,0,0,0
2018-08-01,MUFFINS,BAN WALNUT,0,6,6,2,0,4,0,0,8,8,1,0,0,0
2018-08-01,MUFFINS,BAN CHOC,0,6,6,4,0,2,0,0,2,2,1,0,0,0
2018-08-01,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,MUFFINS,Oatmeal CC,8,30,38,15,11,6,6,0,24,24,0,0,0,0
2018-08-01,MUFFINS,Peanut Butter,0,18,18,4,0,0,14,0,24,24,0,0,0,0
2018-08-01,MUFFINS,Triple Choc,6,30,36,23,7,0,6,0,24,24,0,0,0,0
2018-08-01,MUFFINS,SNICKEDOODLE,0,30,30,15,8,0,7,0,24,24,0,0,0,0
2018-08-01,MUFFINS,PB Chocolate,0,24,24,13,0,0,11,0,0,0,0,0,0,0
2018-08-01,MUFFINS,frosted,0,30,30,19,0,0,11,0,0,0,0,0,0,0
2018-08-01,MUFFINS,Kahuna,9,20,29,9,20,0,0,0,0,0,0,0,0,0
2018-08-01,MUFFINS,Brownies,0,20,20,7,13,0,0,0,0,0,0,0,0,0
2018-08-01,MUFFINS,Totals,23,437,460,272,92,41,55,0,135,135,15,0,0,0
2018-08-02,BREAD,H,11,36,47,16,0,0,31,0,0,0,0,0,0,0
2018-08-02,BREAD,FR,19,16,35,-14,30,0,19,0,0,0,0,0,0,0
2018-08-02,BREAD,GW,2,6,8,-2,0,2,8,0,0,0,0,0,0,0
2018-08-02,BREAD,DK,9,0,9,-11,0,0,20,0,0,0,0,0,0,0
2018-08-02,BREAD,H5,14,19,33,16,0,0,17,0,0,0,0,0,0,0
2018-08-02,BREAD,CSRWL,6,20,26,23,1,0,2,1,3,4,2,0,0,2
2018-08-02,BREAD,VA SWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,BREAD,BFB,0,15,15,5,0,0,10,0,3,3,0,0,0,3
2018-08-02,BREAD,CNE,2,0,2,1,0,1,0,1,0,1,1,0,0,0
2018-08-02,BREAD,CNR,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-08-02,BREAD,CNW,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2018-08-02,BREAD,CG,2,0,2,0,0,2,0,2,0,2,0,0,0,0
2018-08-02,BREAD,PESTO CG,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-08-02,BREAD,VS,0,9,9,2,0,0,7,0,4,4,2,0,0,2
2018-08-02,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,BREAD,SOURDOUGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,BREAD,SOUR CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,BREAD,SOUR CJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,BREAD,SOUR RG,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-08-02,BREAD,SOUR BORG,2,0,2,0,0,2,0,0,0,0,0,0,0,0
2018-08-02,BREAD,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,BREAD,GW BUNS,3,0,3,2,0,1,0,0,0,0,0,0,0,0
2018-08-02,BREAD,VS BUNS,0,3,3,0,0,0,3,0,0,0,0,0,0,0
2018-08-02,BREAD,H-RLS,2,0,2,-2,0,4,0,0,0,0,0,0,0,0
2018-08-02,BREAD,FR-RLS,2,0,2,0,0,2,0,0,0,0,0,0,0,0
2018-08-02,BREAD,VS-RLS,0,0,0,-4,0,0,4,0,0,0,0,0,0,0
2018-08-02,BREAD,BLUE STRU,1,8,9,4,1,0,4,0,0,0,0,0,0,0
2018-08-02,BREAD,CHOC CARM,2,6,8,1,0,1,6,0,0,0,0,0,0,0
2018-08-02,BREAD,BAN CRUMB,1,3,4,0,0,1,3,0,0,0,0,0,0,0
2018-08-02,BREAD,BAN WALN,3,1,4,-3,0,3,4,0,0,0,0,0,0,0
2018-08-02,BREAD,BAN CHOC,0,4,4,3,0,0,1,0,0,0,0,0,0,0
2018-08-02,ROLLS,Cinnamon,0,108,108,96,12,0,0,0,0,0,0,0,0,0
2018-08-02,ROLLS,Take-N-Bake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,SCONES,Blueberry,0,38,38,38,0,0,0,0,8,8,4,0,0,0
2018-08-02,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,SCONES,Turtle,0,22,22,21,0,1,0,0,8,8,4,0,0,0
2018-08-02,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,FRUIT BARS,Mixed Berry,0,8,8,6,1,1,0,0,0,0,0,0,0,0
2018-08-02,FRUIT BARS,Cherry,0,12,12,11,1,0,0,0,0,0,0,0,0,0
2018-08-02,FRUIT BARS,Apple Cin,0,12,12,11,1,0,0,0,0,0,0,0,0,0
2018-08-02,FRUIT BARS,MIXED FRUIT,0,8,8,5,0,3,0,0,0,0,0,0,0,0
2018-08-02,MUFFINS,BLUE STRU,0,13,13,8,0,5,0,0,4,4,2,0,0,0
2018-08-02,MUFFINS,CHOC CARM,0,13,13,5,0,8,0,0,6,6,4,0,0,0
2018-08-02,MUFFINS,BAN CRUMB,0,5,5,3,0,2,0,0,4,4,1,0,0,0
2018-08-02,MUFFINS,BAN WALNUT,0,5,5,3,0,2,0,0,4,4,1,0,0,0
2018-08-02,MUFFINS,BAN CHOC,0,5,5,5,0,0,0,0,2,2,1,0,0,0
2018-08-02,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-02,MUFFINS,Oatmeal CC,6,36,42,22,8,6,6,0,0,0,0,0,0,0
2018-08-02,MUFFINS,SALTED CARM,14,6,20,17,0,0,3,0,0,0,0,0,0,0
2018-08-02,MUFFINS,Triple Choc,6,34,40,32,8,0,0,0,0,0,0,0,0,0
2018-08-02,MUFFINS,SNICKEDOODLE,7,34,41,33,8,0,0,0,0,0,0,0,0,0
2018-08-02,MUFFINS,frosted,11,6,17,7,0,5,5,0,0,0,0,0,0,0
2018-08-02,MUFFINS,Kahuna,0,20,20,17,0,0,3,0,0,0,0,0,0,0
2018-08-02,MUFFINS,Brownies,0,36,36,33,0,0,3,0,0,0,0,0,0,0
2018-08-02,MUFFINS,Totals,55,433,488,396,39,33,20,0,36,36,17,0,0,0
2018-08-03,BREAD,H,31,26,57,43,2,0,12,0,0,0,0,0,0,0
2018-08-03,BREAD,FR,19,14,33,20,1,0,12,0,0,0,0,0,0,0
2018-08-03,BREAD,GW,8,14,22,8,2,7,5,0,0,0,0,0,0,0
2018-08-03,BREAD,DK,20,15,35,29,0,0,6,0,0,0,0,0,0,0
2018-08-03,BREAD,H5,17,0,17,13,0,0,4,0,0,0,0,0,0,0
2018-08-03,BREAD,CSRWL,2,29,31,28,1,0,2,2,4,6,1,0,0,3
2018-08-03,BREAD,VA SWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,BREAD,BFB,10,0,10,7,0,3,0,3,0,3,1,0,0,0
2018-08-03,BREAD,CNE,0,18,18,14,0,0,4,0,3,3,1,0,0,2
2018-08-03,BREAD,CNR,0,6,6,5,0,0,1,0,0,0,0,0,0,0
2018-08-03,BREAD,CNW,0,6,6,5,0,0,1,0,0,0,0,0,0,0
2018-08-03,BREAD,CG,0,17,17,13,0,0,4,0,4,4,2,0,0,2
2018-08-03,BREAD,PESTO CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,BREAD,VS,7,9,16,7,0,4,5,2,3,5,1,0,0,3
2018-08-03,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,BREAD,SOURDOUGH,0,10,10,3,0,0,7,0,0,0,0,0,0,0
2018-08-03,BREAD,SOUR CC,0,5,5,2,1,0,2,0,0,0,0,0,0,0
2018-08-03,BREAD,SOUR CJ,0,4,4,3,1,0,0,0,0,0,0,0,0,0
2018-08-03,BREAD,SOUR RG,0,5,5,3,0,0,2,0,0,0,0,0,0,0
2018-08-03,BREAD,SOUR BORG,0,3,3,2,0,0,1,0,0,0,0,0,0,0
2018-08-03,BREAD,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,BREAD,GW BUNS,0,4,4,1,0,0,3,0,0,0,0,0,0,0
2018-08-03,BREAD,VS BUNS,3,0,3,-2,0,3,2,0,0,0,0,0,0,0
2018-08-03,BREAD,H-RLS,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2018-08-03,BREAD,FR-RLS,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
2018-08-03,BREAD,VS-RLS,4,3,7,2,0,4,1,0,0,0,0,0,0,0
2018-08-03,BREAD,BLUE STRU,4,4,8,5,1,0,2,0,0,0,0,0,0,0
2018-08-03,BREAD,CHOC CARM,6,1,7,4,0,3,0,0,0,0,0,0,0,0
2018-08-03,BREAD,BAN CRUMB,3,2,5,2,0,2,1,0,0,0,0,0,0,0
2018-08-03,BREAD,BAN WALN,4,1,5,1,0,3,1,0,0,0,0,0,0,0
2018-08-03,BREAD,BAN CHOC,1,4,5,1,0,0,4,0,0,0,0,0,0,0
2018-08-03,ROLLS,Cinnamon,0,36,36,35,0,1,0,0,0,0,0,0,0,0
2018-08-03,ROLLS,Take-N-Bake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,SCONES,Cherry,0,28,28,19,0,9,0,0,6,6,2,0,0,0
2018-08-03,SCONES,Butt Almond,0,12,12,12,0,0,0,0,6,6,2,0,0,0
2018-08-03,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,FRUIT BARS,Mixed Berry,0,8,8,5,1,2,0,0,0,0,0,0,0,0
2018-08-03,FRUIT BARS,Cherry,0,12,12,7,2,3,0,0,0,0,0,0,0,0
2018-08-03,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,FRUIT BARS,MIXED FRUIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,MUFFINS,BLUE STRU,0,8,8,8,0,0,0,0,2,2,2,0,0,0
2018-08-03,MUFFINS,CHOC CARM,0,8,8,7,0,1,0,0,4,4,2,0,0,0
2018-08-03,MUFFINS,BAN CRUMB,0,5,5,4,0,1,0,0,1,1,1,0,0,0
2018-08-03,MUFFINS,BAN WALNUT,0,5,5,5,0,0,0,0,3,3,1,0,0,0
2018-08-03,MUFFINS,BAN CHOC,0,5,5,3,0,2,0,0,3,3,1,0,0,0
2018-08-03,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-03,MUFFINS,Oatmeal CC,6,18,24,18,0,0,6,0,0,0,0,0,0,0
2018-08-03,MUFFINS,SALTED CARM,3,12,15,6,0,0,9,0,0,0,0,0,0,0
2018-08-03,MUFFINS,Triple Choc,0,24,24,18,0,0,6,0,0,0,0,0,0,0
2018-08-03,MUFFINS,SNICKEDOODLE,0,24,24,18,0,0,6,0,0,0,0,0,0,0
2018-08-03,MUFFINS,frosted,5,24,29,20,0,3,6,0,0,0,0,0,0,0
2018-08-03,MUFFINS,Kahuna,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2018-08-03,MUFFINS,Brownies,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2018-08-03,MUFFINS,Totals,20,229,249,191,3,22,33,0,25,25,11,0,0,0
2018-08-04,BREAD,H,12,17,29,29,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,FR,12,0,12,12,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,GW,5,0,5,2,0,3,0,0,0,0,0,0,0,0
2018-08-04,BREAD,DK,6,0,6,2,0,4,0,0,0,0,0,0,0,0
2018-08-04,BREAD,H5,4,0,4,0,0,4,0,0,0,0,0,0,0,0
2018-08-04,BREAD,CSRWL,2,17,19,5,0,14,0,3,0,3,1,0,0,0
2018-08-04,BREAD,VA SWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,BFB,0,0,0,-2,0,2,0,0,0,0,0,0,0,0
2018-08-04,BREAD,CNE,4,0,4,3,0,1,0,2,0,2,0,0,0,0
2018-08-04,BREAD,CNR,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,CNW,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,CG,4,0,4,2,0,2,0,2,0,2,2,0,0,0
2018-08-04,BREAD,PESTO CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,VS,5,7,12,5,0,7,0,3,2,5,2,0,0,0
2018-08-04,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,SOURDOUGH,7,0,7,5,0,2,0,0,0,0,0,0,0,0
2018-08-04,BREAD,SOUR CC,2,0,2,-2,0,4,0,0,0,0,0,0,0,0
2018-08-04,BREAD,SOUR CJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,SOUR RG,2,0,2,-1,0,3,0,0,0,0,0,0,0,0
2018-08-04,BREAD,SOUR BORG,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-08-04,BREAD,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,GW BUNS,3,0,3,-1,0,4,0,0,0,0,0,0,0,0
2018-08-04,BREAD,VS BUNS,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2018-08-04,BREAD,H-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,FR-RLS,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-08-04,BREAD,VS-RLS,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-08-04,BREAD,BLUE STRU,2,2,4,0,0,4,0,0,0,0,0,0,0,0
2018-08-04,BREAD,CHOC CARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,BREAD,BAN CRUMB,1,0,1,-1,0,2,0,0,0,0,0,0,0,0
2018-08-04,BREAD,BAN WALN,1,0,1,-1,0,2,0,0,0,0,0,0,0,0
2018-08-04,BREAD,BAN CHOC,4,0,4,2,0,2,0,0,0,0,0,0,0,0
2018-08-04,ROLLS,Cinnamon,0,120,120,95,2,23,0,0,0,0,0,0,0,0
2018-08-04,ROLLS,Take-N-Bake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,SCONES,Blueberry,0,60,60,42,0,18,0,0,5,5,4,0,0,0
2018-08-04,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,SCONES,Butt Almond,0,35,35,30,0,5,0,0,4,4,2,0,0,0
2018-08-04,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,FRUIT BARS,Mixed Berry,0,8,8,5,0,3,0,0,0,0,0,0,0,0
2018-08-04,FRUIT BARS,Cherry,0,12,12,8,0,4,0,0,0,0,0,0,0,0
2018-08-04,FRUIT BARS,Apple Cin,0,12,12,9,0,3,0,0,0,0,0,0,0,0
2018-08-04,FRUIT BARS,MIXED FRUIT,0,8,8,6,0,2,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,BLUE STRU,0,12,12,10,0,2,0,0,3,3,3,0,0,0
2018-08-04,MUFFINS,CHOC CARM,0,12,12,11,0,1,0,0,3,3,1,0,0,0
2018-08-04,MUFFINS,BAN CRUMB,0,6,6,3,0,3,0,0,2,2,0,0,0,0
2018-08-04,MUFFINS,BAN WALNUT,0,6,6,2,0,4,0,0,2,2,1,0,0,0
2018-08-04,MUFFINS,BAN CHOC,0,6,6,6,0,0,0,0,2,2,2,0,0,0
2018-08-04,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,Oatmeal CC,6,6,12,-1,0,13,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,SALTED CARM,9,0,9,5,0,4,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,Triple Choc,6,12,18,2,10,6,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,SNICKEDOODLE,6,6,12,10,0,2,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,frosted,6,0,6,-4,0,10,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,Kahuna,0,20,20,11,0,9,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,Brownies,0,20,20,20,0,0,0,0,0,0,0,0,0,0
2018-08-04,MUFFINS,Totals,33,361,394,270,12,112,0,0,21,21,13,0,0,0
2018-08-05,BREAD,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
