Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2020-05-01,BREAD,H,22,38,60,14,11,0,35,0,0,0,0,0,0,0
2020-05-01,BREAD,FR,16,39,55,22,4,0,29,0,0,0,0,0,0,0
2020-05-01,BREAD,GW,3,7,10,6,1,0,3,0,0,0,0,0,0,0
2020-05-01,BREAD,DK,0,32,32,9,3,0,20,0,0,0,0,0,0,0
2020-05-01,BREAD,H5|Cran,11,0,11,1,0,0,10,5,0,5,5,0,0,0
2020-05-01,BREAD,CSRWL,8,12,20,17,1,0,2,0,4,4,-1,0,0,4
2020-05-01,BREAD,Van Alm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,BREAD,CNE,0,27,27,18,1,0,8,0,4,4,0,0,0,4
2020-05-01,BREAD,CNR,0,8,8,4,1,0,3,0,0,0,0,0,0,0
2020-05-01,BREAD,CNW,0,8,8,2,0,0,6,0,0,0,0,0,0,0
2020-05-01,BREAD,CG,0,13,13,5,0,0,8,0,6,6,4,0,0,2
2020-05-01,BREAD,CG-Jal,0,6,6,1,0,0,5,0,0,0,0,0,0,0
2020-05-01,BREAD,VS,11,0,11,6,0,0,5,4,0,4,3,0,0,1
2020-05-01,BREAD,SOURDOUGH,11,21,32,15,1,0,16,0,0,0,0,0,0,0
2020-05-01,BREAD,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,BREAD,H-RLS,3,4,7,1,0,2,4,0,0,0,0,0,0,0
2020-05-01,BREAD,FR-RLS,3,3,6,5,1,0,0,0,0,0,0,0,0,0
2020-05-01,BREAD,VS-RLS,4,0,4,1,0,0,3,0,0,0,0,0,0,0
2020-05-01,BREAD,Blue Stru,0,5,5,2,1,0,2,0,0,0,0,0,0,0
2020-05-01,BREAD,Choc Carm,0,4,4,0,0,0,4,0,0,0,0,0,0,0
2020-05-01,BREAD,Lem Blue,0,7,7,5,1,0,1,0,0,0,0,0,0,0
