Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2021-01-01,BREAD,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,H5|Cran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,CSRWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,BFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,CNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,CNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,CNW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,Pump Swrl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,VS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,SOURDOUGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,RG SOUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,H-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,FR-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,VS-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,Blue Stru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,Mex Choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,BREAD,morn glory,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,ROLLS,Cinnamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,FRUIT BARS,Mixed Berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,FRUIT BARS,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,FRUIT BARS,Rasp-peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,FRUIT BARS,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,Blue Stru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,Mex Choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,morn glory,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,oat choc chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,triple choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,snickerdoodle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,frosted sugar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,Brownie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,Pump OHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MUFFINS,Totals,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,H5|Cran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,CSRWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,BFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,CNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,CNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,CNW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,POP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,VS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,SOURDOUGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,RG SOUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,H-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,FR-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,VS-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,Blue Stru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,Mex Choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,BREAD,morn glory,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,ROLLS,Cinnamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,FRUIT BARS,Mixed Berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,FRUIT BARS,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,FRUIT BARS,Rasp-peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,FRUIT BARS,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,Blue Stru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,Mex Choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,morn glory,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,oat choc chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,triple choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,snickerdoodle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,frosted sugar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,Brownie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,Pump OHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,MUFFINS,Totals,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,BREAD,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,BREAD,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,BREAD,GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,BREAD,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,BREAD,H5|Cran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
