Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2021-03-01,BREAD,H,0,36,36,6,2,0,28,0,0,0,0,0,0,0
2021-03-01,BREAD,FR,0,26,26,15,0,0,11,0,0,0,0,0,0,0
2021-03-01,BREAD,GW,0,9,9,9,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,DK,0,21,21,9,0,0,12,0,0,0,0,0,0,0
2021-03-01,BREAD,H5|Cran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,CSWRL,0,12,12,11,0,0,1,0,3,3,3,0,0,0
2021-03-01,BREAD,VA Swrl,0,12,12,11,0,0,1,0,2,2,2,0,0,0
2021-03-01,BREAD,ISB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,G & S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,CnE,0,16,16,9,0,0,7,0,3,3,3,0,0,0
2021-03-01,BREAD,CnR,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,CnW,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,CG,0,6,6,4,0,0,2,0,2,2,2,0,0,0
2021-03-01,BREAD,Pesto CG,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,VS,0,0,0,-1,1,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,SOUR,0,20,20,14,0,0,6,0,0,0,0,0,0,0
2021-03-01,BREAD,RG SOUR,0,6,6,3,0,0,3,0,0,0,0,0,0,0
2021-03-01,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,HCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,BUT Rls,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,PASTEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,H-RLS,0,2,2,0,0,0,2,0,0,0,0,0,0,0
2021-03-01,BREAD,FR-RLS,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,VS-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BREAD,Straw Short,0,3,3,1,0,0,2,0,0,0,0,0,0,0
2021-03-01,BREAD,Choc Carm,0,3,3,0,0,0,3,0,0,0,0,0,0,0
2021-03-01,BREAD,Lemon Blue,0,2,2,1,0,0,1,0,0,0,0,0,0,0
2021-03-01,BREAD,Lemon Pop,0,2,2,1,0,0,1,0,0,0,0,0,0,0
2021-03-01,ROLLS,Cinnamon,0,24,24,24,0,0,0,0,0,0,0,0,0,0
2021-03-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,SCONES,Rasp Cream,0,11,11,10,0,1,0,0,0,0,0,0,0,0
2021-03-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,SCONES,Cin Chip,0,11,11,11,0,0,0,0,0,0,0,0,0,0
2021-03-01,SCONES,BLARNEY,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2021-03-01,FRUIT BARS,mixed berry,0,10,10,10,0,0,0,0,0,0,0,0,0,0
2021-03-01,FRUIT BARS,cherry,0,10,10,9,0,1,0,0,0,0,0,0,0,0
2021-03-01,FRUIT BARS,apple cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,FRUIT BARS,rasp-blue-peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,Red Velvet,0,3,3,2,0,1,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,choc carm,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,lemon blue,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,lemon popp,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,oat cc,0,18,18,17,1,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,triple cc,0,18,18,16,2,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,snicker,0,18,18,12,1,0,5,0,0,0,0,0,0,0
2021-03-01,MUFFINS,P. Butter,0,12,12,12,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,PB Choc,0,12,12,12,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,frosted,0,12,12,9,0,0,3,0,0,0,0,0,0,0
2021-03-01,MUFFINS,brownie,0,8,8,5,0,0,3,0,0,0,0,0,0,0
2021-03-01,MUFFINS,lemon bar,0,8,8,4,0,0,4,0,0,0,0,0,0,0
2021-03-01,MUFFINS,ohhh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,MUFFINS,Bread Pudding,3,0,3,3,0,0,0,3,0,3,3,0,0,0
2021-03-01,MUFFINS,Totals,3,190,193,171,4,3,15,3,0,3,3,0,0,0
2021-03-02,BREAD,H,28,13,41,19,0,0,22,0,0,0,0,0,0,0
2021-03-02,BREAD,FR,11,14,25,15,0,0,10,0,0,0,0,0,0,0
