Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2021-04-01,BREAD,H,31,19,50,20,2,0,28,0,0,0,0,0,0,0
2021-04-01,BREAD,FR,20,39,59,11,0,0,48,0,0,0,0,0,0,0
2021-04-01,BREAD,GW,4,3,7,7,0,0,0,0,0,0,0,0,0,0
2021-04-01,BREAD,DK,17,0,17,14,0,0,3,0,0,0,0,0,0,0
2021-04-01,BREAD,H5|Cran,1,26,27,1,0,0,26,3,0,3,3,0,0,0
2021-04-01,BREAD,CSWRL,2,20,22,17,2,0,3,0,4,4,-1,0,0,5
2021-04-01,BREAD,VA Swrl,11,4,15,7,0,0,8,0,2,2,2,0,0,0
2021-04-01,BREAD,CnE,17,43,60,21,0,0,39,2,4,6,3,0,0,3
2021-04-01,BREAD,CnR,5,0,5,5,0,0,0,0,0,0,0,0,0,0
2021-04-01,BREAD,CnW,6,0,6,5,0,0,1,0,0,0,0,0,0,0
2021-04-01,BREAD,CH,0,21,21,-1,2,0,20,0,7,7,3,0,0,4
2021-04-01,BREAD,BfB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,BREAD,CG,4,0,4,4,0,0,0,1,0,1,1,0,0,0
2021-04-01,BREAD,Pest,3,0,3,2,0,1,0,0,0,0,0,0,0,0
2021-04-01,BREAD,Jal,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2021-04-01,BREAD,VS,5,20,25,15,2,0,8,3,5,8,5,0,0,3
2021-04-01,BREAD,SOUR,12,0,12,7,0,0,5,0,0,0,0,0,0,0
2021-04-01,BREAD,RG SOUR,5,0,5,1,0,0,4,0,0,0,0,0,0,0
2021-04-01,BREAD,CAR,0,17,17,17,0,0,0,0,4,4,4,0,0,0
2021-04-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,BREAD,Bunny,2,12,14,8,0,0,6,0,0,0,0,0,0,0
2021-04-01,BREAD,hcb,23,0,23,14,0,0,9,0,0,0,0,0,0,0
2021-04-01,BREAD,but rls,28,0,28,6,5,0,17,0,0,0,0,0,0,0
2021-04-01,BREAD,pastel,0,67,67,26,0,0,41,0,0,0,0,0,0,0
2021-04-01,BREAD,H-RLS,6,6,12,5,5,2,0,0,0,0,0,0,0,0
2021-04-01,BREAD,FR-RLS,0,2,2,0,2,0,0,0,0,0,0,0,0,0
2021-04-01,BREAD,VS-RLS,0,4,4,-5,0,0,9,0,0,0,0,0,0,0
2021-04-01,BREAD,Straw Short,1,5,6,2,0,0,4,0,0,0,0,0,0,0
2021-04-01,BREAD,Choc Carm,3,4,7,1,1,2,3,0,0,0,0,0,0,0
2021-04-01,BREAD,Lemon Blue,1,6,7,3,1,0,3,0,0,0,0,0,0,0
2021-04-01,BREAD,Lemon Pop,1,4,5,0,0,1,4,0,0,0,0,0,0,0
2021-04-01,ROLLS,C-Rolls,0,60,60,59,0,1,0,0,0,0,0,0,0,0
2021-04-01,ROLLS,C-r Heart,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,Blueberry,0,15,15,15,0,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,Turtle,0,19,19,19,0,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,mixed berry,0,40,40,1,38,1,0,0,0,0,0,0,0,0
2021-04-01,SCONES,cherry,0,40,40,3,37,0,0,0,0,0,0,0,0,0
2021-04-01,SCONES,apple cin,0,45,45,3,37,5,0,0,0,0,0,0,0,0
2021-04-01,SCONES,Rasp-peach,0,45,45,6,38,1,0,0,0,0,0,0,0,0
2021-04-01,SCONES,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,MUFFINS,straw short,0,6,6,3,0,3,0,0,0,0,0,0,0,0
2021-04-01,MUFFINS,choc carm,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2021-04-01,MUFFINS,lemon blue,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2021-04-01,MUFFINS,lemon popp,0,4,4,0,0,4,0,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,oat cc,20,36,56,55,1,0,0,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,triple cc,9,36,45,33,4,0,8,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,snicker,6,30,36,32,4,0,0,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,SC Pie,14,0,14,2,0,0,12,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,Bl,6,0,6,-4,0,0,10,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,St SOUR Pie,3,0,3,0,0,0,3,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,frosted,8,48,56,38,6,0,12,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,brownie,4,8,12,12,0,0,0,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,lemon bar,1,12,13,10,0,0,3,0,0,0,0,0,0,0
2021-04-01,COOKIES/BARS,ohhh,1,0,1,1,0,0,0,1,0,1,1,0,0,0
2021-04-01,COOKIES/BARS,Bread Pudding,10,0,10,10,0,0,0,6,0,6,6,0,0,0
2021-04-01,COOKIES/BARS,Totals,79,456,535,310,165,15,45,10,0,10,7,0,0,3
2021-04-02,BREAD,H,28,21,49,-12,37,0,24,0,0,0,0,0,0,0
2021-04-02,BREAD,FR,48,0,48,29,0,1,18,0,0,0,0,0,0,0
2021-04-02,BREAD,GW,0,7,7,6,0,0,1,0,0,0,0,0,0,0
2021-04-02,BREAD,DK,3,29,32,13,1,0,18,0,0,0,0,0,0,0
2021-04-02,BREAD,H5|Cran,26,0,26,5,0,0,21,0,0,0,0,0,0,0
2021-04-02,BREAD,CSWRL,3,28,31,23,2,0,6,5,2,7,3,0,0,2
2021-04-02,BREAD,VA Swrl,8,8,16,8,1,3,4,0,2,2,0,0,0,1
2021-04-02,BREAD,CnE,39,21,60,32,7,0,21,3,6,9,3,0,0,6
2021-04-02,BREAD,CnR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,CnW,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,CH,20,0,20,10,0,0,10,4,0,4,1,0,0,3
2021-04-02,BREAD,BfB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,CG,0,20,20,6,4,0,10,0,9,9,4,0,0,4
2021-04-02,BREAD,Pest,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,Jal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,VS,8,0,8,2,0,0,6,3,0,3,3,0,0,0
2021-04-02,BREAD,SOUR,5,27,32,20,0,1,11,0,0,0,0,0,0,0
2021-04-02,BREAD,RG SOUR,4,0,4,4,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,CnE PAP,0,0,0,-5,3,0,2,0,0,0,-5,0,0,0
2021-04-02,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,Bunny,6,24,30,16,13,0,1,0,0,0,0,0,0,0
2021-04-02,BREAD,hcb,9,40,49,29,13,0,7,0,0,0,0,0,0,0
2021-04-02,BREAD,but rls,17,67,84,47,16,0,21,0,0,0,0,0,0,0
2021-04-02,BREAD,pastel,41,0,41,21,0,0,20,0,0,0,0,0,0,0
2021-04-02,BREAD,H-RLS,0,24,24,11,13,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,FR-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,VS-RLS,9,0,9,9,0,0,0,0,0,0,0,0,0,0
2021-04-02,BREAD,Straw Short,4,5,9,0,2,4,3,0,0,0,0,0,0,0
2021-04-02,BREAD,Choc Carm,3,4,7,3,0,0,4,0,0,0,0,0,0,0
2021-04-02,BREAD,Lemon Blue,3,7,10,4,2,0,4,0,0,0,0,0,0,0
2021-04-02,BREAD,Lemon Pop,4,2,6,3,0,1,2,0,0,0,0,0,0,0
2021-04-02,ROLLS,C-Rolls,0,120,120,93,11,16,0,0,0,0,0,0,0,0
2021-04-02,ROLLS,C-r Heart,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,Cherry,0,24,24,20,4,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,Butt Almond,0,20,20,13,0,7,0,0,0,0,0,0,0,0
2021-04-02,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,mixed berry,0,10,10,10,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,cherry,0,10,10,10,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,apple cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,SCONES,Rasp-peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
