Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2022-12-01,BREAD,H,22,20,42,17,0,0,25,0,0,0,0,0,0,0
2022-12-01,BREAD,FR,10,0,10,-44,34,0,20,0,0,0,0,0,0,0
2022-12-01,BREAD,GW,3,52,55,45,0,2,8,0,0,0,0,0,0,0
2022-12-01,BREAD,DK,9,9,18,15,0,0,3,0,0,0,0,0,0,0
2022-12-01,BREAD,H5,5,0,5,-9,4,0,10,0,0,0,0,0,0,0
2022-12-01,BREAD,CSWRL,4,13,17,1,1,0,15,1,0,1,-2,0,0,0
2022-12-01,BREAD,MP Swirl,2,0,2,-10,0,0,12,2,0,2,2,0,0,0
2022-12-01,BREAD,CnE,4,0,4,4,0,0,0,1,0,1,0,0,0,0
2022-12-01,BREAD,CnR,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,RW,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2022-12-01,BREAD,Monkey,1,0,1,1,0,0,0,4,0,4,1,0,0,0
2022-12-01,BREAD,CB,0,23,23,7,0,0,16,0,8,8,3,0,0,5
2022-12-01,BREAD,CrO,4,0,4,3,0,1,0,0,0,0,0,0,0,0
2022-12-01,BREAD,AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,POP,8,0,8,2,0,6,0,0,0,0,0,0,0,0
2022-12-01,BREAD,PUMA,2,0,2,0,0,2,0,5,0,5,2,0,0,0
2022-12-01,BREAD,WREATH,3,0,3,0,0,3,0,0,0,0,0,0,0,0
2022-12-01,BREAD,VS,15,19,34,19,0,0,15,3,4,7,7,0,0,0
2022-12-01,BREAD,sour-TL,0,0,0,-9,0,0,9,0,0,0,0,0,0,0
2022-12-01,BREAD,OB,0,0,0,-2,0,0,2,0,0,0,0,0,0,0
2022-12-01,BREAD,Dry Stuf,22,0,22,9,0,0,13,0,0,0,0,0,0,0
2022-12-01,BREAD,Monkey tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,CAR,16,0,16,2,0,0,14,0,0,0,0,0,0,0
2022-12-01,BREAD,IHF,16,0,16,4,0,0,12,0,0,0,0,0,0,0
2022-12-01,BREAD,H,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
2022-12-01,BREAD,FR Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,VS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,CnE Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,BUTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,H-RLS,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,FR-RLS,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,VS-RLS,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2022-12-01,BREAD,Blue Stru,2,3,5,2,0,1,2,0,0,0,0,0,0,0
2022-12-01,BREAD,Pump CC,0,7,7,1,1,0,5,0,0,0,0,0,0,0
2022-12-01,BREAD,Pump Cr,3,1,4,0,0,3,1,0,0,0,0,0,0,0
2022-12-01,BREAD,Capp Choc,1,3,4,0,0,1,3,0,0,0,0,0,0,0
2022-12-01,ROLLS,C-Rolls,0,36,36,35,0,1,0,0,0,0,0,0,0,0
2022-12-01,ROLLS,C-R Tree,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
2022-12-01,ROLLS,Mini C-Roll,0,24,24,0,24,0,0,0,0,0,0,0,0,0
2022-12-01,SCONES,Blueberry,0,10,10,4,0,6,0,0,2,2,0,0,0,0
2022-12-01,SCONES,Apple Cran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,SCONES,Turtle,0,10,10,2,0,8,0,0,2,2,0,0,0,0
2022-12-01,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,SCONES,Cr Orange,0,8,8,3,0,5,0,0,2,2,0,0,0,0
2022-12-01,SCONES,Cr Or WCC,0,8,8,7,0,1,0,0,2,2,0,0,0,0
2022-12-01,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,SCONES,mixed berry,0,5,5,0,1,4,0,0,0,0,0,0,0,0
2022-12-01,SCONES,cherry,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2022-12-01,SCONES,apple cin,0,5,5,3,1,1,0,0,0,0,0,0,0,0
2022-12-01,SCONES,Cran White Choc,0,5,5,2,1,2,0,0,0,0,0,0,0,0
2022-12-01,MUFFINS,Blue Stru,0,5,5,1,0,4,0,0,3,3,0,0,0,0
2022-12-01,MUFFINS,Pump CC,0,5,5,2,0,3,0,0,0,0,0,0,0,0
2022-12-01,MUFFINS,Pump Cr,0,4,4,0,0,4,0,0,0,0,0,0,0,0
2022-12-01,MUFFINS,Capp Choc,0,4,4,0,0,4,0,0,3,3,0,0,0,0
2022-12-01,COOKIES/BARS,oat cc,10,24,34,11,4,1,18,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,triple cc,8,30,38,11,4,4,19,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,St Nicker,22,12,34,19,4,5,6,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,Ginger,0,24,24,10,0,0,14,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,frosted,6,12,18,1,0,0,17,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,Pump,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,Pecan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,App,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,AppCran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,Brown,16,0,16,9,0,0,7,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,pepp,0,6,6,2,0,0,4,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,Pump Bar,25,0,25,4,1,0,20,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,Pump Ohhh,4,0,4,1,0,0,3,7,0,7,0,0,0,7
2022-12-01,COOKIES/BARS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,COOKIES/BARS,Totals,91,236,327,129,40,54,104,7,20,27,2,0,0,11
2022-12-02,BREAD,H,25,16,41,13,3,2,23,0,0,0,0,0,0,0
2022-12-02,BREAD,FR,20,19,39,21,0,0,18,0,0,0,0,0,0,0
2022-12-02,BREAD,GW,8,2,10,3,0,0,7,0,0,0,0,0,0,0
2022-12-02,BREAD,DK,3,15,18,4,0,0,14,0,0,0,0,0,0,0
2022-12-02,BREAD,H5,10,0,10,7,0,0,3,0,0,0,0,0,0,0
2022-12-02,BREAD,CSWRL,15,4,19,15,0,2,2,0,6,6,3,0,0,3
2022-12-02,BREAD,MP Swirl,12,0,12,10,0,2,0,0,4,4,2,0,0,2
2022-12-02,BREAD,CnE,0,17,17,3,0,0,14,0,6,6,0,0,0,6
2022-12-02,BREAD,CnR,0,6,6,3,0,0,3,0,0,0,0,0,0,0
2022-12-02,BREAD,RW,0,14,14,4,8,0,2,0,0,0,0,0,0,0
2022-12-02,BREAD,Monkey,0,2,2,-8,0,0,10,0,12,12,12,0,0,0
2022-12-02,BREAD,CB,16,0,16,2,0,0,14,5,0,5,0,0,0,5
2022-12-02,BREAD,CrO,0,17,17,4,0,0,13,0,5,5,4,0,0,1
2022-12-02,BREAD,AA,0,2,2,1,0,0,1,0,0,0,0,0,0,0
2022-12-02,BREAD,POP,0,11,11,7,0,0,4,0,4,4,2,0,0,2
2022-12-02,BREAD,PUMA,0,2,2,2,0,0,0,0,8,8,7,0,0,1
2022-12-02,BREAD,WREATH,0,2,2,0,0,0,2,0,0,0,0,0,0,0
2022-12-02,BREAD,VS,15,0,15,6,0,0,9,0,0,0,0,0,0,0
2022-12-02,BREAD,sour-TL,9,19,28,7,0,4,17,0,0,0,0,0,0,0
2022-12-02,BREAD,OB,2,8,10,2,0,1,7,0,0,0,0,0,0,0
2022-12-02,BREAD,Dry Stuf,13,0,13,0,0,0,13,0,0,0,0,0,0,0
2022-12-02,BREAD,Monkey tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,BREAD,CAR,14,0,14,1,0,0,13,0,0,0,0,0,0,0
2022-12-02,BREAD,IHF,12,0,12,4,0,0,8,0,0,0,0,0,0,0
2022-12-02,BREAD,H,0,1,1,-1,0,0,2,0,0,0,0,0,0,0
2022-12-02,BREAD,FR Tree,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
2022-12-02,BREAD,VS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,BREAD,CnE Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,BREAD,BUTR,0,26,26,9,0,0,17,0,0,0,0,0,0,0
2022-12-02,BREAD,Tree,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2022-12-02,BREAD,H-RLS,0,4,4,3,0,0,1,0,0,0,0,0,0,0
2022-12-02,BREAD,FR-RLS,0,45,45,0,45,0,0,0,0,0,0,0,0,0
2022-12-02,BREAD,VS-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,BREAD,Blue Stru,2,3,5,3,0,0,2,0,0,0,0,0,0,0
2022-12-02,BREAD,Pump CC,5,2,7,2,0,3,2,0,0,0,0,0,0,0
2022-12-02,BREAD,Pump Cr,1,4,5,0,0,1,4,0,0,0,0,0,0,0
2022-12-02,BREAD,Capp Choc,3,1,4,1,0,2,1,0,0,0,0,0,0,0
2022-12-02,ROLLS,C-Rolls,0,48,48,32,0,16,0,0,0,0,0,0,0,0
2022-12-02,ROLLS,C-R Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Apple Cran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Cherry,0,11,11,6,0,5,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Butt Almond,0,10,10,6,0,4,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Cr Orange,0,7,7,3,0,4,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Cr Or WCC,0,7,7,5,0,2,0,0,0,0,0,0,0,0
2022-12-02,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,SCONES,mixed berry,0,15,15,4,10,1,0,0,0,0,0,0,0,0
2022-12-02,SCONES,cherry,0,15,15,5,10,0,0,0,0,0,0,0,0,0
2022-12-02,SCONES,apple cin,0,15,15,2,10,3,0,0,0,0,0,0,0,0
2022-12-02,SCONES,Cran White Choc,0,15,15,3,10,2,0,0,0,0,0,0,0,0
2022-12-02,MUFFINS,Blue Stru,0,5,5,4,0,1,0,0,0,0,0,0,0,0
2022-12-02,MUFFINS,Pump CC,0,6,6,3,0,3,0,0,0,0,0,0,0,0
2022-12-02,MUFFINS,Pump Cr,0,5,5,1,0,4,0,0,0,0,0,0,0,0
2022-12-02,MUFFINS,Capp Choc,0,5,5,2,0,3,0,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,oat cc,18,30,48,26,16,0,6,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,triple cc,19,36,55,28,22,0,5,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,St Nicker,6,54,60,37,23,0,0,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,Ginger,14,12,26,7,0,0,19,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,frosted,17,0,17,3,0,3,11,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,Pump,0,10,10,2,0,0,8,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,Pecan,0,10,10,3,0,0,7,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,App,0,5,5,1,0,0,4,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,AppCran,0,5,5,0,0,0,5,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,Brown,7,40,47,1,20,4,22,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,pepp,4,2,6,6,0,0,0,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,Pump Bar,20,0,20,13,0,3,4,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,Pump Ohhh,3,0,3,0,0,0,3,7,0,7,1,0,0,6
2022-12-02,COOKIES/BARS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,COOKIES/BARS,Totals,104,351,455,194,121,58,82,11,17,28,10,0,0,18
2022-12-03,BREAD,H,23,0,23,6,0,17,0,0,0,0,0,0,0,0
2022-12-03,BREAD,FR,18,0,18,14,0,4,0,0,0,0,0,0,0,0
2022-12-03,BREAD,GW,7,0,7,1,3,3,0,0,0,0,0,0,0,0
2022-12-03,BREAD,DK,14,0,14,9,0,5,0,0,0,0,0,0,0,0
2022-12-03,BREAD,H5,3,0,3,1,0,2,0,0,0,0,0,0,0,0
2022-12-03,BREAD,CSWRL,2,11,13,9,0,4,0,3,3,6,3,0,0,0
2022-12-03,BREAD,MP Swirl,0,12,12,6,2,4,0,2,2,4,0,0,0,0
2022-12-03,BREAD,CnE,14,0,14,14,0,0,0,6,0,6,3,0,0,0
2022-12-03,BREAD,CnR,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,RW,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,Monkey,10,0,10,8,0,2,0,0,0,0,0,0,0,0
2022-12-03,BREAD,CB,14,0,14,6,0,8,0,5,0,5,5,0,0,0
2022-12-03,BREAD,CrO,13,0,13,8,0,5,0,1,0,1,1,0,0,0
2022-12-03,BREAD,AA,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,POP,4,0,4,4,0,0,0,2,0,2,2,0,0,0
2022-12-03,BREAD,PUMA,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2022-12-03,BREAD,WREATH,2,0,2,0,0,2,0,0,0,0,0,0,0,0
2022-12-03,BREAD,VS,9,0,9,6,0,3,0,0,0,0,0,0,0,0
2022-12-03,BREAD,sour-TL,17,0,17,7,0,10,0,0,0,0,0,0,0,0
2022-12-03,BREAD,OB,7,0,7,3,0,4,0,0,0,0,0,0,0,0
2022-12-03,BREAD,Dry Stuf,13,0,13,0,0,0,13,0,0,0,0,0,0,0
2022-12-03,BREAD,Monkey tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,CAR,13,0,13,13,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,IHF,8,0,8,8,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,H,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2022-12-03,BREAD,FR Tree,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,VS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,CnE Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,BUTR,17,0,17,5,0,12,0,0,0,0,0,0,0,0
2022-12-03,BREAD,Tree,0,0,0,-2,0,2,0,0,0,0,0,0,0,0
2022-12-03,BREAD,H-RLS,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,FR-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,VS-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,Blue Stru,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,Pump CC,2,1,3,3,0,0,0,0,0,0,0,0,0,0
2022-12-03,BREAD,Pump Cr,4,0,4,1,0,3,0,0,0,0,0,0,0,0
2022-12-03,BREAD,Capp Choc,1,1,2,0,0,2,0,0,0,0,0,0,0,0
2022-12-03,ROLLS,C-Rolls,0,48,48,43,0,5,0,0,0,0,0,0,0,0
2022-12-03,ROLLS,C-R Tree,0,3,3,1,0,2,0,0,0,0,0,0,0,0
2022-12-03,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Blueberry,0,11,11,8,0,3,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Apple Cran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Butt Almond,0,11,11,9,0,2,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Cr Orange,0,10,10,6,0,4,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Cr Or WCC,0,10,10,5,0,5,0,0,0,0,0,0,0,0
2022-12-03,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,SCONES,mixed berry,0,5,5,0,0,5,0,0,0,0,0,0,0,0
2022-12-03,SCONES,cherry,0,5,5,2,0,3,0,0,0,0,0,0,0,0
2022-12-03,SCONES,apple cin,0,5,5,2,0,3,0,0,0,0,0,0,0,0
2022-12-03,SCONES,Cran White Choc,0,5,5,2,0,3,0,0,0,0,0,0,0,0
2022-12-03,MUFFINS,Blue Stru,0,4,4,3,0,1,0,0,0,0,0,0,0,0
2022-12-03,MUFFINS,Pump CC,0,5,5,4,0,1,0,0,0,0,0,0,0,0
2022-12-03,MUFFINS,Pump Cr,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-12-03,MUFFINS,Capp Choc,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,oat cc,6,18,24,16,8,0,0,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,triple cc,5,18,23,15,8,0,0,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,St Nicker,0,24,24,13,8,3,0,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,Ginger,19,0,19,3,0,4,12,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,frosted,11,0,11,7,0,4,0,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,Pump,8,0,8,1,0,0,7,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,Pecan,7,0,7,0,0,0,7,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,App,4,0,4,1,0,0,3,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,AppCran,5,0,5,3,0,0,2,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,Brown,22,0,22,14,0,0,8,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,pepp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,Pump Bar,4,20,24,4,0,4,16,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,Pump Ohhh,3,0,3,1,0,0,2,6,0,6,3,0,0,3
2022-12-03,COOKIES/BARS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,COOKIES/BARS,Totals,82,210,292,168,24,52,48,18,0,18,6,0,0,12
