Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2014-08-01,BREAD,H,22,30,52,37,0,0,15
2014-08-01,BREAD,FR,22,60,82,63,0,0,19
2014-08-01,BREAD,GW,2,15,17,17,0,0,0
2014-08-01,BREAD,DK,12,37,49,26,0,0,23
2014-08-01,BREAD,H5,18,0,18,16,0,0,2
2014-08-01,BREAD,CSWRL,1,24,25,21,0,0,4
2014-08-01,BREAD,VASWRL,0,12,12,12,0,0,0
2014-08-01,BREAD,BBCCSWL,0,0,0,0,0,0,0
2014-08-01,BREAD,VS,0,0,0,0,0,0,0
2014-08-01,BREAD,CG,2,0,2,2,0,0,0
2014-08-01,BREAD,AP,0,26,26,11,0,0,15
2014-08-01,BREAD,CnE,0,24,24,18,0,0,6
2014-08-01,BREAD,CnR,0,12,12,12,0,0,0
2014-08-01,BREAD,CnW,0,12,12,9,0,0,3
2014-08-01,BREAD,SOUR,2,0,2,2,0,0,0
2014-08-01,BREAD,A.Sour,3,0,3,3,0,0,0
2014-08-01,BREAD,BFB,0,0,0,0,0,0,0
2014-08-01,BREAD,CAR,0,0,0,0,0,0,0
2014-08-01,BREAD,IHF,0,0,0,0,0,0,0
2014-08-01,BREAD,Cin Stix,0,36,36,36,0,0,0
2014-08-01,BREAD,Cro,14,0,14,14,0,0,0
2014-08-01,BREAD,PSwrl,8,8,16,13,0,0,3
2014-08-01,BREAD,H-RLS,0,6,6,2,0,0,4
2014-08-01,BREAD,FR-RLS,1,0,1,1,0,0,0
2014-08-01,BREAD,VS-RLS,0,0,0,-3,0,0,3
2014-08-01,BREAD,Coff,2,1,3,3,0,0,0
2014-08-01,BREAD,CHOC,0,2,2,2,0,0,0
2014-08-01,BREAD,Blue,0,2,2,2,0,0,0
2014-08-01,BREAD,pumpk,0,3,3,3,0,0,0
2014-08-01,ROLLS,Cinnamon,0,36,36,36,0,0,0
2014-08-01,SCONES,Cherry,0,0,0,0,0,0,0
2014-08-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2014-08-01,SCONES,Blueberry,19,0,19,19,0,0,0
2014-08-01,SCONES,Butt Almd,0,41,41,38,0,0,3
2014-08-01,FRUIT BARS,Blueberry,3,0,3,3,0,0,0
2014-08-01,FRUIT BARS,Cherry,0,20,20,10,0,0,10
2014-08-01,FRUIT BARS,Apple Cin,0,20,20,13,0,0,7
2014-08-01,MUFFINS,Coffee cake,0,10,10,10,0,0,0
2014-08-01,MUFFINS,Blue Streu,2,10,12,12,0,0,0
2014-08-01,MUFFINS,Choc Carml,0,10,10,10,0,0,0
2014-08-01,MUFFINS,pump,1,10,11,8,0,0,3
2014-08-01,COOKIES/BARS,Oatmeal CC,18,12,30,30,0,0,0
2014-08-01,COOKIES/BARS,SNICKER,12,12,24,24,0,0,0
