Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2014-11-01,BREAD,H,26,0,26,26,0,0,0
2014-11-01,BREAD,Turkey,0,0,0,0,0,0,0
2014-11-01,BREAD,FR,22,0,22,22,0,0,0
2014-11-01,BREAD,GW,4,10,14,14,0,0,0
2014-11-01,BREAD,DK,32,0,32,15,0,17,0
2014-11-01,BREAD,H5,14,0,14,9,0,5,0
2014-11-01,BREAD,CSWRL,6,4,10,10,0,0,0
2014-11-01,BREAD,ppSWRL,4,6,10,10,0,0,0
2014-11-01,BREAD,babka,0,6,6,6,0,0,0
2014-11-01,BREAD,VASWRL,6,0,6,6,0,0,0
2014-11-01,BREAD,VS,14,0,14,14,0,0,0
2014-11-01,BREAD,CG,0,0,0,0,0,0,0
2014-11-01,BREAD,AP,16,0,16,13,0,3,0
2014-11-01,BREAD,CnE,10,0,10,10,0,0,0
2014-11-01,BREAD,CnR,3,0,3,1,0,2,0
2014-11-01,BREAD,CnW,8,0,8,3,0,5,0
2014-11-01,BREAD,SOUR,0,0,0,0,0,0,0
2014-11-01,BREAD,A.Sour,0,0,0,0,0,0,0
2014-11-01,BREAD,stuff,0,0,0,0,0,0,0
2014-11-01,BREAD,CH,0,0,0,0,0,0,0
2014-11-01,BREAD,IHF,0,0,0,0,0,0,0
2014-11-01,BREAD,Cin Stix,5,0,5,5,0,0,0
2014-11-01,BREAD,CAR,0,0,0,0,0,0,0
2014-11-01,BREAD,BUT-RLS,5,0,5,5,0,0,0
2014-11-01,BREAD,CrO-RLS,0,0,0,0,0,0,0
2014-11-01,BREAD,H-RLS,3,0,3,2,0,1,0
2014-11-01,BREAD,FR-RLS,0,0,0,0,0,0,0
2014-11-01,BREAD,VS-RLS,6,0,6,6,0,0,0
2014-11-01,BREAD,pump cc,4,2,6,5,0,1,0
2014-11-01,BREAD,Choc,0,2,2,2,0,0,0
2014-11-01,BREAD,Blue,0,2,2,2,0,0,0
2014-11-01,ROLLS,Cinnamon,0,36,36,36,0,0,0
2014-11-01,SCONES,Cherry,0,0,0,0,0,0,0
2014-11-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2014-11-01,SCONES,Blueberry,0,22,22,22,0,0,0
2014-11-01,SCONES,Butt Almd,0,10,10,10,0,0,0
2014-11-01,SCONES,Pumpkin,0,10,10,10,0,0,0
2014-11-01,FRUIT BARS,Blueberry,0,0,0,0,0,0,0
2014-11-01,FRUIT BARS,Cherry,0,20,20,11,0,9,0
2014-11-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2014-11-01,MUFFINS,Pumpkin CC,0,12,12,12,0,0,0
2014-11-01,MUFFINS,Blue Streu,0,6,6,6,0,0,0
2014-11-01,MUFFINS,Choc Carml,0,6,6,6,0,0,0
2014-11-01,COOKIES/BARS,Oatmeal CC,0,18,18,15,0,3,0
2014-11-01,COOKIES/BARS,SNICKER,0,18,18,16,0,2,0
2014-11-01,COOKIES/BARS,Salted Car,3,12,15,10,0,5,0
2014-11-01,COOKIES/BARS,Triple Choc,12,0,12,10,0,2,0
2014-11-01,COOKIES/BARS,Frosted,24,0,24,11,0,13,0
2014-11-01,COOKIES/BARS,Brownie,0,0,0,0,0,0,0
2014-11-01,COOKIES/BARS,Pumpkin Bars,9,0,9,7,0,2,0
2014-11-01,COOKIES/BARS,Big Kahuna,0,20,20,4,0,16,0
2014-11-01,COOKIES/BARS,Totals,48,0,202,150,0,52,0
2014-11-02,BREAD,H,0,0,0,0,0,0,0
2014-11-02,BREAD,Turkey,0,0,0,0,0,0,0
2014-11-02,BREAD,FR,0,0,0,0,0,0,0
2014-11-02,BREAD,GW,0,0,0,0,0,0,0
2014-11-02,BREAD,DK,0,0,0,0,0,0,0
2014-11-02,BREAD,H5,0,0,0,0,0,0,0
2014-11-02,BREAD,CSWRL,0,0,0,0,0,0,0
2014-11-02,BREAD,ppSWRL,0,0,0,0,0,0,0
2014-11-02,BREAD,babka,0,0,0,0,0,0,0
2014-11-02,BREAD,CrO,0,0,0,0,0,0,0
2014-11-02,BREAD,VS,0,0,0,0,0,0,0
2014-11-02,BREAD,CG,0,0,0,0,0,0,0
2014-11-02,BREAD,AP,0,0,0,0,0,0,0
2014-11-02,BREAD,CnE,0,0,0,0,0,0,0
2014-11-02,BREAD,CnR,0,0,0,0,0,0,0
2014-11-02,BREAD,CnW,0,0,0,0,0,0,0
2014-11-02,BREAD,SOUR,0,0,0,0,0,0,0
2014-11-02,BREAD,A.Sour,0,0,0,0,0,0,0
2014-11-02,BREAD,stuff,0,0,0,0,0,0,0
2014-11-02,BREAD,CH,0,0,0,0,0,0,0
2014-11-02,BREAD,IHF,0,0,0,0,0,0,0
