Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2014-12-01,BREAD,H,0,36,36,31,0,0,5
2014-12-01,BREAD,SnowMn,0,0,0,0,0,0,0
2014-12-01,BREAD,FR,0,23,23,19,0,0,4
2014-12-01,BREAD,GW,0,10,10,10,0,0,0
2014-12-01,BREAD,DK,0,28,28,28,0,0,0
2014-12-01,BREAD,H5,0,0,0,0,0,0,0
2014-12-01,BREAD,CSWRL,0,12,12,10,0,0,2
2014-12-01,BREAD,G.Cswrl,0,0,0,0,0,0,0
2014-12-01,BREAD,MpSWRL,0,12,12,6,0,0,6
2014-12-01,BREAD,babka,0,11,11,2,0,0,9
2014-12-01,BREAD,G.BABK,0,3,3,0,0,0,3
2014-12-01,BREAD,CrO,0,15,15,7,0,0,8
2014-12-01,BREAD,CnE,0,11,11,3,0,0,8
2014-12-01,BREAD,CnR,0,2,2,1,0,0,1
2014-12-01,BREAD,CnW,0,3,3,3,0,0,0
2014-12-01,BREAD,Cin Stix,0,18,18,13,0,0,5
2014-12-01,BREAD,VS,0,20,20,5,0,0,15
2014-12-01,BREAD,IHF,0,0,0,0,0,0,0
2014-12-01,BREAD,CAR,0,0,0,0,0,0,0
2014-12-01,BREAD,Blue Batter,0,3,3,2,0,0,1
2014-12-01,BREAD,CnE Tree,0,3,3,0,0,0,3
2014-12-01,BREAD,BUT-RLS,0,0,0,0,0,0,0
2014-12-01,BREAD,CrO-RLS,0,0,0,-3,0,0,3
2014-12-01,BREAD,H-RLS,0,0,0,-3,0,0,3
2014-12-01,BREAD,FR-RLS,0,0,0,-2,0,0,2
2014-12-01,BREAD,VS-RLS,0,0,0,-1,0,0,1
2014-12-01,BREAD,pump cc,0,3,3,0,0,0,3
2014-12-01,BREAD,ginger,0,3,3,3,0,0,0
2014-12-01,BREAD,eggnog,0,3,3,1,0,0,2
2014-12-01,ROLLS,Cinnamon,0,12,12,10,0,2,0
2014-12-01,ROLLS,cin roll tree,0,3,3,3,0,0,0
2014-12-01,SCONES,Cherry,0,23,23,9,0,14,0
2014-12-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2014-12-01,SCONES,Blueberry,0,0,0,0,0,0,0
2014-12-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2014-12-01,SCONES,Cran Orng,0,12,12,12,0,0,0
2014-12-01,FRUIT BARS,Blueberry,0,10,10,3,0,7,0
2014-12-01,FRUIT BARS,Cherry,0,10,10,8,0,2,0
2014-12-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2014-12-01,MUFFINS,Pumpkin CC,0,5,5,3,0,2,0
2014-12-01,MUFFINS,Ginger Br,0,5,5,0,0,5,0
2014-12-01,MUFFINS,Eggnog,0,5,5,5,0,0,0
2014-12-01,MUFFINS,Blue Streu,0,5,5,4,0,1,0
2014-12-01,COOKIES/BARS,Oatmeal CC,0,24,24,17,0,0,7
2014-12-01,COOKIES/BARS,St NICKER,0,12,12,12,0,0,0
2014-12-01,COOKIES/BARS,Candy Cane,0,12,12,5,0,0,7
2014-12-01,COOKIES/BARS,Choc CranB,0,12,12,6,0,0,6
2014-12-01,COOKIES/BARS,Ginger Bop,0,12,12,12,0,0,0
2014-12-01,COOKIES/BARS,Frosted,0,12,12,6,0,0,6
2014-12-01,COOKIES/BARS,Pumpkin Bars,0,20,20,1,0,0,19
2014-12-01,COOKIES/BARS,Pepp Brown,0,0,0,0,0,0,0
2014-12-01,COOKIES/BARS,Triple Choc,0,0,0,-2,0,0,2
2014-12-01,COOKIES/BARS,Totals,0,0,182,95,0,31,0
2014-12-02,BREAD,H,5,39,44,23,0,0,21
2014-12-02,BREAD,SnowMn,0,3,3,1,0,0,2
2014-12-02,BREAD,FR,4,26,30,7,0,0,23
2014-12-02,BREAD,GW,0,11,11,8,0,0,3
2014-12-02,BREAD,DK,0,29,29,16,0,0,13
2014-12-02,BREAD,H5,0,0,0,0,0,0,0
2014-12-02,BREAD,CSWRL,2,12,14,2,2,1,9
2014-12-02,BREAD,G.Cswrl,0,24,24,4,17,0,3
2014-12-02,BREAD,MpSWRL,6,8,14,6,0,2,6
2014-12-02,BREAD,babka,9,0,9,4,0,5,0
2014-12-02,BREAD,G.BABK,3,0,3,1,0,2,0
2014-12-02,BREAD,CrO,8,0,8,6,0,2,0
2014-12-02,BREAD,CnE,0,12,12,3,0,0,9
2014-12-02,BREAD,CnR,1,3,4,2,0,0,2
2014-12-02,BREAD,CnW,0,4,4,4,0,0,0
2014-12-02,BREAD,Cin Stix,5,14,19,16,0,3,0
2014-12-02,BREAD,VS,15,0,15,3,0,12,0
2014-12-02,BREAD,IHF,0,25,25,25,0,0,0
2014-12-02,BREAD,CAR,0,0,0,0,0,0,0
2014-12-02,BREAD,TS,0,6,6,-1,0,0,7
2014-12-02,BREAD,Blue Batter,1,2,3,0,2,1,0
2014-12-02,BREAD,Angels,0,6,6,0,0,0,6
2014-12-02,BREAD,CnE Tree,3,0,3,2,0,1,0
2014-12-02,BREAD,BUT-RLS,0,10,10,2,0,0,8
2014-12-02,BREAD,CrO-RLS,0,0,0,0,0,0,0
2014-12-02,BREAD,H-RLS,3,0,3,1,0,2,0
2014-12-02,BREAD,FR-RLS,2,0,2,1,0,1,0
2014-12-02,BREAD,VS-RLS,1,0,1,1,0,0,0
2014-12-02,BREAD,pump cc,3,0,3,3,0,0,0
2014-12-02,BREAD,ginger,0,2,2,2,0,0,0
2014-12-02,BREAD,eggnog,2,0,2,2,0,0,0
2014-12-02,ROLLS,Cinnamon,0,12,12,10,0,2,0
2014-12-02,ROLLS,cin roll tree,0,0,0,0,0,0,0
2014-12-02,SCONES,Cherry,0,0,0,0,0,0,0
2014-12-02,SCONES,Choc Chip,0,8,8,8,0,0,0
2014-12-02,SCONES,Blueberry,0,15,15,13,0,2,0
2014-12-02,SCONES,Butt Almd,0,0,0,0,0,0,0
2014-12-02,SCONES,Cran Orng,0,12,12,12,0,0,0
2014-12-02,FRUIT BARS,Blueberry,0,0,0,0,0,0,0
2014-12-02,FRUIT BARS,Cherry,0,0,0,0,0,0,0
2014-12-02,FRUIT BARS,Apple Cin,0,20,20,6,0,14,0
2014-12-02,MUFFINS,Pumpkin CC,0,5,5,5,0,0,0
2014-12-02,MUFFINS,Ginger Br,0,5,5,3,0,2,0
2014-12-02,MUFFINS,Eggnog,0,5,5,5,0,0,0
2014-12-02,MUFFINS,Blue Streu,0,5,5,5,0,0,0
2014-12-02,COOKIES/BARS,Oatmeal CC,7,24,31,24,6,0,1
2014-12-02,COOKIES/BARS,St NICKER,0,12,12,2,0,0,10
2014-12-02,COOKIES/BARS,Candy Cane,7,120,127,9,102,6,10
2014-12-02,COOKIES/BARS,Choc CranB,6,12,18,11,0,0,7
2014-12-02,COOKIES/BARS,Ginger Bop,0,12,12,3,0,0,9
2014-12-02,COOKIES/BARS,Frosted,6,0,6,6,0,0,0
2014-12-02,COOKIES/BARS,Pumpkin Bars,19,0,19,8,0,0,11
2014-12-02,COOKIES/BARS,Pepp Brown,0,20,20,6,0,0,14
2014-12-02,COOKIES/BARS,Triple Choc,2,0,2,-5,6,1,0
2014-12-02,COOKIES/BARS,Totals,47,0,322,121,0,25,0
2014-12-03,BREAD,H,21,17,38,28,2,0,8
2014-12-03,BREAD,SnowMn,2,0,2,2,0,0,0
2014-12-03,BREAD,FR,23,12,35,4,0,7,24
2014-12-03,BREAD,GW,3,10,13,3,0,0,10
2014-12-03,BREAD,DK,13,16,29,16,0,0,13
2014-12-03,BREAD,H5,0,0,0,0,0,0,0
2014-12-03,BREAD,CSWRL,9,8,17,9,0,2,6
2014-12-03,BREAD,G.Cswrl,3,4,7,2,0,3,2
