Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2015-01-01,BREAD,H,0,0,0,0,0,0,0
2015-01-01,BREAD,FR,0,0,0,0,0,0,0
2015-01-01,BREAD,FR-Slider,0,0,0,0,0,0,0
2015-01-01,BREAD,GW,0,0,0,0,0,0,0
2015-01-01,BREAD,DK,0,0,0,0,0,0,0
2015-01-01,BREAD,Dk-Slider,0,0,0,0,0,0,0
2015-01-01,BREAD,H5,0,0,0,0,0,0,0
2015-01-01,BREAD,NG,0,0,0,0,0,0,0
2015-01-01,BREAD,CSWRL,0,0,0,0,0,0,0
2015-01-01,BREAD,BfB,0,0,0,0,0,0,0
2015-01-01,BREAD,CnE,0,0,0,0,0,0,0
2015-01-01,BREAD,CnR,0,0,0,0,0,0,0
2015-01-01,BREAD,CnW,0,0,0,0,0,0,0
2015-01-01,BREAD,Cin Stix,0,0,0,0,0,0,0
2015-01-01,BREAD,CG,0,0,0,0,0,0,0
2015-01-01,BREAD,JC,0,0,0,0,0,0,0
2015-01-01,BREAD,IHF,0,0,0,0,0,0,0
2015-01-01,BREAD,CAR,0,0,0,0,0,0,0
2015-01-01,BREAD,GF,0,0,0,0,0,0,0
2015-01-01,BREAD,GF-CIN,0,0,0,0,0,0,0
2015-01-01,BREAD,GF-DK,0,0,0,0,0,0,0
2015-01-01,BREAD,H-RLS,0,0,0,0,0,0,0
2015-01-01,BREAD,FR-RLS,0,0,0,0,0,0,0
2015-01-01,BREAD,BUT-RLS,0,0,0,0,0,0,0
2015-01-01,BREAD,BLUE,0,0,0,0,0,0,0
2015-01-01,BREAD,Cof Cake,0,0,0,0,0,0,0
2015-01-01,BREAD,M.Glory,0,0,0,0,0,0,0
2015-01-01,ROLLS,Cinnamon,0,0,0,0,0,0,0
2015-01-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-01-01,SCONES,Cherry,0,0,0,0,0,0,0
2015-01-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-01-01,SCONES,Blueberry,0,0,0,0,0,0,0
2015-01-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-01-01,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-01-01,FRUIT BARS,Blueberry,0,0,0,0,0,0,0
2015-01-01,FRUIT BARS,Cherry,0,0,0,0,0,0,0
2015-01-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2015-01-01,MUFFINS,Blue Stru,0,0,0,0,0,0,0
2015-01-01,MUFFINS,Cof Cake,0,0,0,0,0,0,0
2015-01-01,MUFFINS,M. Glory,0,0,0,0,0,0,0
2015-01-01,COOKIES/BARS,Oatmeal CC,0,0,0,0,0,0,0
2015-01-01,COOKIES/BARS,Oatmeal Rai,0,0,0,0,0,0,0
2015-01-01,COOKIES/BARS,Snicker,0,0,0,0,0,0,0
2015-01-01,COOKIES/BARS,Triple Choc,0,0,0,0,0,0,0
2015-01-01,COOKIES/BARS,Frosted,0,0,0,0,0,0,0
2015-01-01,COOKIES/BARS,Totals,0,0,0,0,0,0,0
2015-01-02,BREAD,H,9,43,52,37,0,0,15
2015-01-02,BREAD,FR,0,38,38,19,0,0,19
2015-01-02,BREAD,FR-Slider,0,7,7,7,0,0,0
2015-01-02,BREAD,GW,0,16,16,9,0,0,7
2015-01-02,BREAD,DK,0,35,35,27,0,0,8
2015-01-02,BREAD,Dk-Slider,0,6,6,6,0,0,0
2015-01-02,BREAD,H5,0,0,0,0,0,0,0
2015-01-02,BREAD,NG,0,0,0,0,0,0,0
2015-01-02,BREAD,CSWRL,0,20,20,7,0,0,13
2015-01-02,BREAD,BfB,0,0,0,0,0,0,0
2015-01-02,BREAD,CnE,0,23,23,6,0,0,17
2015-01-02,BREAD,CnR,0,4,4,3,0,0,1
2015-01-02,BREAD,CnW,0,6,6,3,0,0,3
2015-01-02,BREAD,Cin Stix,0,12,12,7,0,0,5
2015-01-02,BREAD,CG,0,22,22,19,0,0,3
2015-01-02,BREAD,JC,0,0,0,0,0,0,0
2015-01-02,BREAD,IHF,0,0,0,0,0,0,0
2015-01-02,BREAD,CAR,0,0,0,0,0,0,0
2015-01-02,BREAD,GF,0,0,0,0,0,0,0
2015-01-02,BREAD,GF-CIN,0,0,0,0,0,0,0
2015-01-02,BREAD,GF-DK,0,0,0,0,0,0,0
2015-01-02,BREAD,H-RLS,0,9,9,7,0,0,2
2015-01-02,BREAD,FR-RLS,0,0,0,0,0,0,0
2015-01-02,BREAD,BUT-RLS,0,10,10,5,0,0,5
2015-01-02,BREAD,BLUE,0,3,3,3,0,0,0
2015-01-02,BREAD,Cof Cake,0,3,3,0,0,0,3
2015-01-02,BREAD,M.Glory,0,2,2,2,0,0,0
2015-01-02,ROLLS,Cinnamon,0,24,24,14,0,10,0
2015-01-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-01-02,SCONES,Cherry,0,22,22,5,0,17,0
2015-01-02,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-01-02,SCONES,Blueberry,0,0,0,0,0,0,0
2015-01-02,SCONES,Butt Almd,0,12,12,12,0,0,0
2015-01-02,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-01-02,FRUIT BARS,Blueberry,0,10,10,2,0,8,0
2015-01-02,FRUIT BARS,Cherry,0,10,10,8,0,2,0
2015-01-02,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2015-01-02,MUFFINS,Blue Stru,0,7,7,7,0,0,0
2015-01-02,MUFFINS,Cof Cake,0,7,7,7,0,0,0
2015-01-02,MUFFINS,M. Glory,0,7,7,5,0,2,0
2015-01-02,COOKIES/BARS,Oatmeal CC,0,18,18,6,0,0,12
2015-01-02,COOKIES/BARS,Oatmeal Rai,0,12,12,1,0,0,11
2015-01-02,COOKIES/BARS,Snicker,0,12,12,4,0,0,8
2015-01-02,COOKIES/BARS,Triple Choc,0,12,12,3,0,0,9
2015-01-02,COOKIES/BARS,Frosted,0,12,12,3,0,0,9
2015-01-02,COOKIES/BARS,Totals,0,0,141,63,0,29,0
2015-01-03,BREAD,H,15,0,15,10,0,5,0
2015-01-03,BREAD,FR,19,0,19,16,0,3,0
2015-01-03,BREAD,FR-Slider,0,0,0,0,0,0,0
2015-01-03,BREAD,GW,7,0,7,5,0,2,0
2015-01-03,BREAD,DK,8,0,8,8,0,0,0
2015-01-03,BREAD,Dk-Slider,0,0,0,0,0,0,0
2015-01-03,BREAD,H5,0,0,0,0,0,0,0
2015-01-03,BREAD,NG,0,0,0,0,0,0,0
2015-01-03,BREAD,CSWRL,13,0,13,11,0,2,0
2015-01-03,BREAD,BfB,0,13,13,8,0,5,0
2015-01-03,BREAD,CnE,17,0,17,4,0,13,0
2015-01-03,BREAD,CnR,1,0,1,1,0,0,0
2015-01-03,BREAD,CnW,3,0,3,1,0,2,0
2015-01-03,BREAD,Cin Stix,5,0,5,0,0,5,0
2015-01-03,BREAD,CG,3,0,3,3,0,0,0
2015-01-03,BREAD,JC,0,13,13,6,0,7,0
2015-01-03,BREAD,IHF,0,0,0,0,0,0,0
2015-01-03,BREAD,CAR,0,0,0,0,0,0,0
2015-01-03,BREAD,GF,0,0,0,0,0,0,0
2015-01-03,BREAD,GF-CIN,0,0,0,0,0,0,0
2015-01-03,BREAD,GF-DK,0,0,0,0,0,0,0
2015-01-03,BREAD,H-RLS,2,0,2,1,0,1,0
2015-01-03,BREAD,FR-RLS,0,0,0,0,0,0,0
2015-01-03,BREAD,BUT-RLS,5,0,5,5,0,0,0
2015-01-03,BREAD,BLUE,0,2,2,2,0,0,0
2015-01-03,BREAD,Cof Cake,3,0,3,1,0,2,0
2015-01-03,BREAD,M.Glory,0,1,1,1,0,0,0
2015-01-03,ROLLS,Cinnamon,0,24,24,24,0,0,0
2015-01-03,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-01-03,SCONES,Cherry,0,0,0,0,0,0,0
2015-01-03,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-01-03,SCONES,Blueberry,0,23,23,19,0,4,0
2015-01-03,SCONES,Butt Almd,0,18,18,12,0,6,0
2015-01-03,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-01-03,FRUIT BARS,Blueberry,0,0,0,0,0,0,0
2015-01-03,FRUIT BARS,Cherry,0,0,0,0,0,0,0
2015-01-03,FRUIT BARS,Apple Cin,0,20,20,14,0,6,0
2015-01-03,MUFFINS,Blue Stru,0,7,7,7,0,0,0
2015-01-03,MUFFINS,Cof Cake,0,7,7,4,0,3,0
2015-01-03,MUFFINS,M. Glory,0,7,7,5,0,2,0
