Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2015-03-01,BREAD,H,0,0,0,0,0,0,0
2015-03-01,BREAD,FR,0,0,0,0,0,0,0
2015-03-01,BREAD,GW,0,0,0,0,0,0,0
2015-03-01,BREAD,DK,0,0,0,0,0,0,0
2015-03-01,BREAD,H5,0,0,0,0,0,0,0
2015-03-01,BREAD,CSWRL,0,0,0,0,0,0,0
2015-03-01,BREAD,VA Swirl,0,0,0,0,0,0,0
2015-03-01,BREAD,CnE,0,0,0,0,0,0,0
2015-03-01,BREAD,CnR,0,0,0,0,0,0,0
2015-03-01,BREAD,CnW,0,0,0,0,0,0,0
2015-03-01,BREAD,ISB,0,0,0,0,0,0,0
2015-03-01,BREAD,CG,0,0,0,0,0,0,0
2015-03-01,BREAD,JCG,0,0,0,0,0,0,0
2015-03-01,BREAD,VS,0,0,0,0,0,0,0
2015-03-01,BREAD,G & S,0,0,0,0,0,0,0
2015-03-01,BREAD,SOUR,0,0,0,0,0,0,0
2015-03-01,BREAD,A.SOUR,0,0,0,0,0,0,0
2015-03-01,BREAD,IHF,0,0,0,0,0,0,0
2015-03-01,BREAD,CAR,0,0,0,0,0,0,0
2015-03-01,BREAD,GF,0,0,0,0,0,0,0
2015-03-01,BREAD,GF-CIN,0,0,0,0,0,0,0
2015-03-01,BREAD,GF-DK,0,0,0,0,0,0,0
2015-03-01,BREAD,H-RLS,0,0,0,0,0,0,0
2015-03-01,BREAD,FR-RLS,0,0,0,0,0,0,0
2015-03-01,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-03-01,BREAD,BLUE Str,0,0,0,0,0,0,0
2015-03-01,BREAD,Choc Car,0,0,0,0,0,0,0
2015-03-01,BREAD,M.Glory,0,0,0,0,0,0,0
2015-03-01,ROLLS,Cinnamon,0,0,0,0,0,0,0
2015-03-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-03-01,SCONES,Cherry,0,0,0,0,0,0,0
2015-03-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-03-01,SCONES,Blueberry,0,0,0,0,0,0,0
2015-03-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-03-01,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-03-01,SCONES,Blarney,0,0,0,0,0,0,0
2015-03-01,FRUIT BARS,Blueberry,0,0,0,0,0,0,0
2015-03-01,FRUIT BARS,Cherry,0,0,0,0,0,0,0
2015-03-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2015-03-01,MUFFINS,Blue Stru,0,0,0,0,0,0,0
2015-03-01,MUFFINS,Choc Car,0,0,0,0,0,0,0
2015-03-01,MUFFINS,Morning GL,0,0,0,0,0,0,0
2015-03-01,COOKIES/BARS,Oatmeal CC,0,0,0,0,0,0,0
2015-03-01,COOKIES/BARS,Oatmeal But,0,0,0,0,0,0,0
2015-03-01,COOKIES/BARS,Snicker,0,0,0,0,0,0,0
2015-03-01,COOKIES/BARS,Triple Choc,0,0,0,0,0,0,0
2015-03-01,COOKIES/BARS,Frosted,0,0,0,0,0,0,0
2015-03-01,COOKIES/BARS,cin stix,0,0,0,0,0,0,0
2015-03-01,COOKIES/BARS,ched stix,0,0,0,0,0,0,0
2015-03-01,COOKIES/BARS,Totals,0,0,0,0,0,0,0
2015-03-02,BREAD,H,0,36,36,24,0,0,12
2015-03-02,BREAD,FR,0,22,22,14,0,0,8
2015-03-02,BREAD,GW,0,11,11,7,0,0,4
2015-03-02,BREAD,DK,0,28,28,23,0,0,5
2015-03-02,BREAD,H5,0,0,0,0,0,0,0
2015-03-02,BREAD,CSWRL,0,16,16,6,1,0,9
2015-03-02,BREAD,VA Swirl,0,16,16,10,0,0,6
2015-03-02,BREAD,CnE,0,10,10,9,0,0,1
2015-03-02,BREAD,CnR,0,4,4,3,0,0,1
2015-03-02,BREAD,CnW,0,6,6,2,0,0,4
2015-03-02,BREAD,ISB,0,0,0,0,0,0,0
2015-03-02,BREAD,CG,0,15,15,5,0,0,10
2015-03-02,BREAD,JCG,0,8,8,1,0,0,7
2015-03-02,BREAD,VS,0,0,0,0,0,0,0
2015-03-02,BREAD,G & S,0,0,0,0,0,0,0
2015-03-02,BREAD,SOUR,0,0,0,0,0,0,0
2015-03-02,BREAD,A.SOUR,0,0,0,0,0,0,0
2015-03-02,BREAD,IHF,0,0,0,0,0,0,0
2015-03-02,BREAD,CAR,0,0,0,0,0,0,0
2015-03-02,BREAD,GF,0,0,0,0,0,0,0
2015-03-02,BREAD,GF-CIN,0,0,0,0,0,0,0
2015-03-02,BREAD,GF-DK,0,0,0,0,0,0,0
2015-03-02,BREAD,cinn stix,0,6,6,0,0,0,6
2015-03-02,BREAD,H-RLS,0,3,3,0,0,0,3
2015-03-02,BREAD,FR-RLS,0,3,3,3,0,0,0
2015-03-02,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-03-02,BREAD,BLUE Str,0,7,7,5,1,0,1
2015-03-02,BREAD,Choc Car,0,3,3,0,0,0,3
2015-03-02,BREAD,M.Glory,0,3,3,0,0,0,3
2015-03-02,ROLLS,Cinnamon,0,12,12,12,0,0,0
