Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2015-05-01,BREAD,H,20,61,81,53,1,0,27
2015-05-01,BREAD,FR,11,46,57,23,9,0,25
2015-05-01,BREAD,GW,7,9,16,12,0,0,4
2015-05-01,BREAD,DK,18,37,55,26,0,0,29
2015-05-01,BREAD,H5,15,0,15,10,0,0,5
2015-05-01,BREAD,BFB,0,0,0,0,0,0,0
2015-05-01,BREAD,CSWRL,4,36,40,36,1,0,3
2015-05-01,BREAD,CnE,0,26,26,23,0,0,3
2015-05-01,BREAD,CnR,0,11,11,8,1,0,2
2015-05-01,BREAD,CnW,0,12,12,8,1,0,3
2015-05-01,BREAD,CH,4,0,4,2,0,2,0
2015-05-01,BREAD,SpF,0,23,23,12,2,0,9
2015-05-01,BREAD,CG,12,0,12,10,0,2,0
2015-05-01,BREAD,JCG,5,0,5,3,0,2,0
2015-05-01,BREAD,VS,0,27,27,19,0,0,8
2015-05-01,BREAD,SOUR,0,7,7,3,0,0,4
2015-05-01,BREAD,A.SOUR,0,3,3,1,0,0,2
2015-05-01,BREAD,IHF,0,0,0,0,0,0,0
2015-05-01,BREAD,CAR,0,0,0,0,0,0,0
2015-05-01,BREAD,Cin stick,0,21,21,9,0,0,12
2015-05-01,BREAD,STr Shtck,3,0,3,3,0,0,0
2015-05-01,BREAD,CG-BUNS,0,0,0,0,0,0,0
2015-05-01,BREAD,SPF-Buns,0,4,4,2,0,0,2
2015-05-01,BREAD,VS-Buns,0,4,4,2,0,0,2
2015-05-01,BREAD,H-RLS,2,8,10,2,3,0,5
2015-05-01,BREAD,FR-RLS,1,11,12,7,2,0,3
2015-05-01,BREAD,VS-RLS,0,6,6,6,0,0,0
2015-05-01,BREAD,Butt Cof,0,8,8,6,0,0,2
2015-05-01,BREAD,Lemon BP,1,0,1,0,0,0,1
2015-05-01,BREAD,Choc Car,0,0,0,-1,0,0,1
2015-05-01,ROLLS,Cinnamon,0,36,36,36,0,0,0
2015-05-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-05-01,SCONES,Cherry,0,0,0,0,0,0,0
2015-05-01,SCONES,Str Rhubarb,0,24,24,17,0,7,0
2015-05-01,SCONES,Blueberry,0,0,0,0,0,0,0
2015-05-01,SCONES,Butt Almd,0,22,22,11,0,11,0
2015-05-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-05-01,SCONES,Cin Chip,0,10,10,10,0,0,0
2015-05-01,FRUIT BARS,Blueberry,0,10,10,4,5,1,0
2015-05-01,FRUIT BARS,Cherry,0,10,10,7,3,0,0
2015-05-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2015-05-01,FRUIT BARS,Str Rhubarb,0,20,20,15,5,0,0
2015-05-01,MUFFINS,Butt Cof Ck,0,8,8,5,0,3,0
2015-05-01,MUFFINS,Lemon BP,0,10,10,8,2,0,0
2015-05-01,MUFFINS,Choc Carm,0,8,8,8,0,0,0
2015-05-01,MUFFINS,Straw,0,10,10,4,2,4,0
2015-05-01,COOKIES/BARS,Oatmeal CC,0,48,48,24,14,0,10
2015-05-01,COOKIES/BARS,Salted Car,0,24,24,15,7,0,2
2015-05-01,COOKIES/BARS,Snicker,0,36,36,16,11,0,9
2015-05-01,COOKIES/BARS,Triple Choc,3,36,39,15,13,0,11
2015-05-01,COOKIES/BARS,Frosted,3,36,39,23,0,0,16
2015-05-01,COOKIES/BARS,Lemon,0,20,20,15,4,0,1
2015-05-01,COOKIES/BARS,Brownies,0,20,20,7,4,0,9
2015-05-01,COOKIES/BARS,Totals,6,0,358,204,0,26,0
2015-05-02,BREAD,H,27,0,27,16,0,11,0
2015-05-02,BREAD,FR,25,0,25,14,0,11,0
2015-05-02,BREAD,GW,4,0,4,4,0,0,0
2015-05-02,BREAD,DK,29,0,29,19,0,10,0
2015-05-02,BREAD,H5,5,0,5,5,0,0,0
2015-05-02,BREAD,BFB,0,0,0,-4,0,4,0
2015-05-02,BREAD,CSWRL,3,24,27,16,2,9,0
2015-05-02,BREAD,CnE,3,0,3,2,0,1,0
2015-05-02,BREAD,CnR,2,0,2,0,0,2,0
2015-05-02,BREAD,CnW,3,0,3,3,0,0,0
2015-05-02,BREAD,CH,0,0,0,0,0,0,0
2015-05-02,BREAD,SpF,9,0,9,9,0,0,0
2015-05-02,BREAD,CG,0,0,0,0,0,0,0
2015-05-02,BREAD,JCG,0,0,0,0,0,0,0
2015-05-02,BREAD,VS,8,0,8,4,0,4,0
2015-05-02,BREAD,SOUR,4,0,4,1,0,3,0
2015-05-02,BREAD,A.SOUR,2,0,2,2,0,0,0
2015-05-02,BREAD,IHF,0,0,0,0,0,0,0
2015-05-02,BREAD,CAR,0,0,0,0,0,0,0
2015-05-02,BREAD,CG-BUNS,0,0,0,0,0,0,0
2015-05-02,BREAD,SPF-Buns,2,0,2,1,0,1,0
2015-05-02,BREAD,VS-Buns,2,0,2,0,0,2,0
2015-05-02,BREAD,H-RLS,5,0,5,1,0,4,0
2015-05-02,BREAD,FR-RLS,3,0,3,1,0,2,0
2015-05-02,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-05-02,BREAD,Butt Cof,2,8,10,3,4,3,0
2015-05-02,BREAD,Lemon BP,1,9,10,10,0,0,0
2015-05-02,BREAD,Choc Car,1,6,7,3,0,4,0
2015-05-02,ROLLS,Cinnamon,0,96,96,96,0,0,0
2015-05-02,ROLLS,Mini C-Roll,0,24,24,0,24,0,0
2015-05-02,SCONES,Cherry,0,0,0,0,0,0,0
2015-05-02,SCONES,Str Rhubarb,0,0,0,0,0,0,0
2015-05-02,SCONES,Blueberry,0,62,62,60,2,0,0
2015-05-02,SCONES,Butt Almd,0,32,32,29,2,1,0
2015-05-02,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-05-02,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-05-02,FRUIT BARS,Blueberry,0,10,10,8,2,0,0
2015-05-02,FRUIT BARS,Cherry,0,10,10,8,2,0,0
2015-05-02,FRUIT BARS,Apple Cin,0,20,20,18,2,0,0
2015-05-02,FRUIT BARS,Str Rhubarb,0,40,40,38,2,0,0
2015-05-02,MUFFINS,Butt Cof Ck,0,13,13,10,0,3,0
2015-05-02,MUFFINS,Lemon BP,0,16,16,16,0,0,0
2015-05-02,MUFFINS,Choc Carm,0,13,13,13,0,0,0
2015-05-02,COOKIES/BARS,Oatmeal CC,10,18,28,24,0,4,0
2015-05-02,COOKIES/BARS,Salted Car,2,18,20,13,0,7,0
2015-05-02,COOKIES/BARS,Snicker,9,18,27,17,0,10,0
2015-05-02,COOKIES/BARS,Triple Choc,11,18,29,29,0,0,0
2015-05-02,COOKIES/BARS,Frosted,16,0,16,0,0,16,0
2015-05-02,COOKIES/BARS,Lemon,1,20,21,15,0,6,0
2015-05-02,COOKIES/BARS,Brownies,9,0,9,5,0,4,0
2015-05-02,COOKIES/BARS,Totals,58,0,390,303,0,51,0
2015-05-03,BREAD,H,0,0,0,0,0,0,0
2015-05-03,BREAD,FR,0,0,0,0,0,0,0
2015-05-03,BREAD,GW,0,0,0,0,0,0,0
2015-05-03,BREAD,DK,0,0,0,0,0,0,0
2015-05-03,BREAD,H5,0,0,0,0,0,0,0
2015-05-03,BREAD,BFB,0,0,0,0,0,0,0
2015-05-03,BREAD,CSWRL,0,0,0,0,0,0,0
2015-05-03,BREAD,CnE,0,0,0,0,0,0,0
2015-05-03,BREAD,CnR,0,0,0,0,0,0,0
2015-05-03,BREAD,CnW,0,0,0,0,0,0,0
2015-05-03,BREAD,CH,0,0,0,0,0,0,0
2015-05-03,BREAD,SpF,0,0,0,0,0,0,0
2015-05-03,BREAD,CG,0,0,0,0,0,0,0
2015-05-03,BREAD,JCG,0,0,0,0,0,0,0
2015-05-03,BREAD,VS,0,0,0,0,0,0,0
2015-05-03,BREAD,SOUR,0,0,0,0,0,0,0
2015-05-03,BREAD,A.SOUR,0,0,0,0,0,0,0
2015-05-03,BREAD,IHF,0,0,0,0,0,0,0
2015-05-03,BREAD,CAR,0,0,0,0,0,0,0
2015-05-03,BREAD,CG-BUNS,0,0,0,0,0,0,0
2015-05-03,BREAD,SPF-Buns,0,0,0,0,0,0,0
2015-05-03,BREAD,VS-Buns,0,0,0,0,0,0,0
2015-05-03,BREAD,H-RLS,0,0,0,0,0,0,0
2015-05-03,BREAD,FR-RLS,0,0,0,0,0,0,0
2015-05-03,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-05-03,BREAD,Butt Cof,0,0,0,0,0,0,0
2015-05-03,BREAD,Lemon BP,0,0,0,0,0,0,0
2015-05-03,BREAD,Choc Car,0,0,0,0,0,0,0
