Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2015-06-01,BREAD,H,0,36,36,27,1,0,8
2015-06-01,BREAD,FR,0,24,24,15,0,0,9
2015-06-01,BREAD,GW,0,12,12,11,0,0,1
2015-06-01,BREAD,DK,0,28,28,16,0,0,12
2015-06-01,BREAD,H5,0,0,0,0,0,0,0
2015-06-01,BREAD,CSWRL,0,21,21,21,0,0,0
2015-06-01,BREAD,SS Swrl,0,8,8,8,0,0,0
2015-06-01,BREAD,CnE,0,11,11,7,0,0,4
2015-06-01,BREAD,CnR,0,4,4,1,0,0,3
2015-06-01,BREAD,CnW,0,5,5,5,0,0,0
2015-06-01,BREAD,RWB,0,0,0,0,0,0,0
2015-06-01,BREAD,CH,0,0,0,0,0,0,0
2015-06-01,BREAD,POP,0,0,0,0,0,0,0
2015-06-01,BREAD,CG,0,15,15,10,0,0,5
2015-06-01,BREAD,JCG,0,6,6,4,0,0,2
2015-06-01,BREAD,VS,0,0,0,0,0,0,0
2015-06-01,BREAD,SOUR,0,0,0,0,0,0,0
2015-06-01,BREAD,A.SOUR,0,0,0,0,0,0,0
2015-06-01,BREAD,IHF,0,0,0,0,0,0,0
2015-06-01,BREAD,car,0,0,0,0,0,0,0
2015-06-01,BREAD,gw-buns,0,2,2,1,0,0,1
2015-06-01,BREAD,CG-BUNS,0,3,3,3,0,0,0
2015-06-01,BREAD,POP-Buns,0,0,0,0,0,0,0
2015-06-01,BREAD,VS-Buns,0,0,0,0,0,0,0
2015-06-01,BREAD,H-RLS,0,4,4,2,0,0,2
2015-06-01,BREAD,FR-RLS,0,5,5,-2,2,0,5
2015-06-01,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-06-01,BREAD,Lemon BP,0,8,8,2,0,0,6
2015-06-01,BREAD,Butter CC,0,4,4,3,0,0,1
2015-06-01,BREAD,Ban Choc,0,4,4,1,0,0,3
2015-06-01,BREAD,Choc Car,0,4,4,3,0,0,1
2015-06-01,ROLLS,Cinnamon,0,12,12,12,0,0,0
2015-06-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-06-01,SCONES,Cherry,0,0,0,0,0,0,0
2015-06-01,SCONES,Str Rhubarb,0,15,15,9,4,2,0
2015-06-01,SCONES,Blueberry,0,0,0,0,0,0,0
2015-06-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-06-01,SCONES,Choc Chip,0,18,18,11,7,0,0
2015-06-01,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-06-01,FRUIT BARS,Blueberry,0,10,10,5,5,0,0
2015-06-01,FRUIT BARS,Cherry,0,10,10,5,5,0,0
2015-06-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2015-06-01,FRUIT BARS,Str Rhubarb,0,0,0,0,0,0,0
2015-06-01,MUFFINS,Lemon BP,0,10,10,7,3,0,0
2015-06-01,MUFFINS,Choc Carm,0,8,8,4,3,1,0
2015-06-01,MUFFINS,coffee cake,0,6,6,4,2,0,0
2015-06-01,MUFFINS,Banana Cho,0,8,8,5,3,0,0
2015-06-01,COOKIES/BARS,Oatmeal CC,0,36,36,16,16,0,4
2015-06-01,COOKIES/BARS,Peanut Butr,0,9,9,7,0,0,2
2015-06-01,COOKIES/BARS,Snicker,0,30,30,5,9,0,16
2015-06-01,COOKIES/BARS,Triple Choc,0,30,30,13,9,0,8
2015-06-01,COOKIES/BARS,Frosted,0,12,12,4,0,0,8
2015-06-01,COOKIES/BARS,Lemon,0,20,20,13,0,0,7
2015-06-01,COOKIES/BARS,Brownies,0,0,0,0,0,0,0
2015-06-01,COOKIES/BARS,Kahuna,0,0,0,0,0,0,0
2015-06-01,COOKIES/BARS,salted carmel,0,9,9,9,0,0,0
2015-06-01,COOKIES/BARS,Totals,0,0,231,117,0,3,0
