Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2015-07-01,BREAD,H,11,47,58,49,0,2,7
2015-07-01,BREAD,FR,9,22,31,9,0,0,22
2015-07-01,BREAD,GW,3,20,23,13,1,0,9
2015-07-01,BREAD,DK,0,43,43,26,2,0,15
2015-07-01,BREAD,H5,17,0,17,13,0,0,4
2015-07-01,BREAD,CSWRL,0,28,28,27,0,0,1
2015-07-01,BREAD,SSSWIRL,0,16,16,12,0,0,4
2015-07-01,BREAD,CnE,0,29,29,24,1,0,4
2015-07-01,BREAD,CnR,0,10,10,8,0,0,2
2015-07-01,BREAD,CnW,0,12,12,12,0,0,0
2015-07-01,BREAD,CrO,0,0,0,0,0,0,0
2015-07-01,BREAD,POP,10,0,10,7,0,3,0
2015-07-01,BREAD,CG,0,0,0,0,0,0,0
2015-07-01,BREAD,JCG,0,0,0,0,0,0,0
2015-07-01,BREAD,VS,0,17,17,13,0,0,4
2015-07-01,BREAD,IHF,0,0,0,0,0,0,0
2015-07-01,BREAD,car,0,0,0,0,0,0,0
2015-07-01,BREAD,RWB,0,0,0,0,0,0,0
2015-07-01,BREAD,Sour,7,0,7,5,0,2,0
2015-07-01,BREAD,A.Sour,3,0,3,1,0,0,2
2015-07-01,BREAD,GW Buns,0,4,4,4,0,0,0
2015-07-01,BREAD,FR-Buns,0,0,0,-24,24,0,0
2015-07-01,BREAD,CG-BUNS,0,0,0,0,0,0,0
2015-07-01,BREAD,POP-Buns,1,0,1,0,0,0,1
2015-07-01,BREAD,VS-Buns,0,4,4,2,0,0,2
2015-07-01,BREAD,H-RLS,0,8,8,8,0,0,0
2015-07-01,BREAD,FR-RLS,3,4,7,5,0,2,0
2015-07-01,BREAD,VS-RLS,0,6,6,6,0,0,0
2015-07-01,BREAD,Lemon BP,0,10,10,6,0,0,4
2015-07-01,BREAD,Choc Car,0,6,6,4,0,0,2
2015-07-01,BREAD,Ban Nut,1,1,2,2,0,0,0
2015-07-01,BREAD,Ban Choc,0,4,4,1,0,0,3
2015-07-01,ROLLS,Cinnamon,0,60,60,48,0,12,0
2015-07-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-07-01,SCONES,Cherry,0,0,0,0,0,0,0
2015-07-01,SCONES,Str Rhubarb,0,23,23,20,0,3,0
2015-07-01,SCONES,Blueberry,0,0,0,0,0,0,0
2015-07-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-07-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-07-01,SCONES,Cin Chip,0,22,22,17,0,5,0
2015-07-01,FRUIT BARS,Blueberry,0,10,10,8,0,2,0
2015-07-01,FRUIT BARS,Cherry,0,10,10,8,0,2,0
2015-07-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2015-07-01,FRUIT BARS,Str Rhubarb,0,0,0,0,0,0,0
2015-07-01,MUFFINS,Lemon BP,0,12,12,4,0,8,0
2015-07-01,MUFFINS,Choc Carm,0,9,9,8,0,1,0
2015-07-01,MUFFINS,Banana Nut,0,7,7,4,0,3,0
2015-07-01,MUFFINS,Banana Cho,0,6,6,4,0,2,0
2015-07-01,COOKIES/BARS,Oatmeal CC,9,24,33,31,0,0,2
2015-07-01,COOKIES/BARS,Peanut Butr,10,12,22,17,0,1,4
2015-07-01,COOKIES/BARS,Snicker,10,18,28,28,0,0,0
2015-07-01,COOKIES/BARS,Triple Choc,4,24,28,28,0,0,0
2015-07-01,COOKIES/BARS,Frosted,6,12,18,5,0,0,13
2015-07-01,COOKIES/BARS,Lemon,0,20,20,12,0,0,8
2015-07-01,COOKIES/BARS,Brownies,0,20,20,6,0,0,14
2015-07-01,COOKIES/BARS,Kahuna,5,0,5,5,0,0,0
2015-07-01,COOKIES/BARS,Totals,44,289,273,205,0,27,41
2015-07-02,BREAD,H,7,26,33,3,0,0,30
2015-07-02,BREAD,FR,22,49,71,20,35,0,16
2015-07-02,BREAD,GW,9,12,21,9,0,0,12
2015-07-02,BREAD,DK,15,0,15,15,0,0,0
2015-07-02,BREAD,H5,4,24,28,28,0,0,0
2015-07-02,BREAD,CSWRL,1,28,29,12,0,0,17
2015-07-02,BREAD,SSSWIRL,4,12,16,16,0,0,0
2015-07-02,BREAD,CnE,4,0,4,4,0,0,0
2015-07-02,BREAD,CnR,2,0,2,2,0,0,0
2015-07-02,BREAD,CnW,0,0,0,0,0,0,0
2015-07-02,BREAD,CrO,0,0,0,0,0,0,0
2015-07-02,BREAD,POP,0,0,0,0,0,0,0
2015-07-02,BREAD,CG,0,15,15,14,0,0,1
2015-07-02,BREAD,JCG,0,6,6,6,0,0,0
2015-07-02,BREAD,VS,4,20,24,7,0,0,17
2015-07-02,BREAD,IHF,0,0,0,0,0,0,0
2015-07-02,BREAD,car,0,0,0,0,0,0,0
2015-07-02,BREAD,RWB,0,14,14,11,3,0,0
2015-07-02,BREAD,CH,0,0,0,-2,2,0,0
2015-07-02,BREAD,GW buns,2,7,9,4,5,0,0
2015-07-02,BREAD,Cinn Stix,3,0,3,0,0,3,0
2015-07-02,BREAD,CG-BUNS,0,4,4,0,0,0,4
2015-07-02,BREAD,POP-Buns,1,0,1,1,0,0,0
2015-07-02,BREAD,VS-Buns,2,4,6,5,0,0,1
2015-07-02,BREAD,H-RLS,0,0,0,-5,0,5,0
2015-07-02,BREAD,FR-RLS,0,4,4,0,0,0,4
2015-07-02,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-07-02,BREAD,Lemon BP,4,5,9,5,0,0,4
2015-07-02,BREAD,Choc Car,2,3,5,4,0,0,1
2015-07-02,BREAD,Ban Nut,0,4,4,4,0,0,0
2015-07-02,BREAD,Ban Choc,3,0,3,3,0,0,0
2015-07-02,ROLLS,Cinnamon,0,60,60,60,0,0,0
2015-07-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-07-02,SCONES,Cherry,0,15,15,15,0,0,0
2015-07-02,SCONES,Str Rhubarb,0,0,0,0,0,0,0
2015-07-02,SCONES,Blueberry,0,24,24,24,0,0,0
2015-07-02,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-07-02,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-07-02,SCONES,Cin Chip,0,23,23,21,0,2,0
2015-07-02,FRUIT BARS,Blueberry,0,10,10,10,0,0,0
2015-07-02,FRUIT BARS,Cherry,0,10,10,10,0,0,0
2015-07-02,FRUIT BARS,Apple Cin,0,10,10,9,0,1,0
2015-07-02,FRUIT BARS,Str Rhubarb,0,10,10,10,0,0,0
2015-07-02,MUFFINS,Lemon BP,0,12,12,10,0,0,2
2015-07-02,MUFFINS,Choc Carm,0,10,10,10,0,0,0
2015-07-02,MUFFINS,Banana Nut,0,8,8,8,0,0,0
2015-07-02,MUFFINS,Banana Cho,0,6,6,4,0,0,2
2015-07-02,COOKIES/BARS,Oatmeal CC,2,30,32,28,0,0,4
2015-07-02,COOKIES/BARS,Peanut Butr,4,18,22,14,0,1,7
2015-07-02,COOKIES/BARS,Snicker,0,24,24,23,0,0,1
2015-07-02,COOKIES/BARS,Triple Choc,0,30,30,26,0,0,4
2015-07-02,COOKIES/BARS,Frosted,13,40,53,10,39,3,1
2015-07-02,COOKIES/BARS,Lemon,8,0,8,2,0,6,0
2015-07-02,COOKIES/BARS,Brownies,14,0,14,8,0,6,0
2015-07-02,COOKIES/BARS,Kahuna,0,20,20,14,0,0,6
2015-07-02,COOKIES/BARS,Totals,41,360,341,256,39,19,27
2015-07-03,BREAD,H,30,15,45,25,0,0,20
2015-07-03,BREAD,FR,16,14,30,13,0,0,17
2015-07-03,BREAD,GW,12,5,17,17,0,0,0
2015-07-03,BREAD,DK,0,30,30,23,0,0,7
2015-07-03,BREAD,H5,0,0,0,-4,0,0,4
2015-07-03,BREAD,CSWRL,17,18,35,35,0,0,0
2015-07-03,BREAD,SSSWIRL,0,24,24,13,0,0,11
2015-07-03,BREAD,CnE,0,19,19,19,0,0,0
2015-07-03,BREAD,CnR,0,7,7,7,0,0,0
2015-07-03,BREAD,CnW,0,12,12,9,3,0,0
2015-07-03,BREAD,CrO,0,0,0,0,0,0,0
2015-07-03,BREAD,POP,0,16,16,8,1,0,7
2015-07-03,BREAD,CG,1,0,1,1,0,0,0
2015-07-03,BREAD,JCG,0,0,0,-6,0,6,0
2015-07-03,BREAD,VS,17,0,17,17,0,0,0
2015-07-03,BREAD,IHF,0,0,0,0,0,0,0
2015-07-03,BREAD,car,0,0,0,0,0,0,0
2015-07-03,BREAD,RWB,0,27,27,16,0,0,11
2015-07-03,BREAD,sour,0,7,7,4,0,0,3
2015-07-03,BREAD,asi sour,0,4,4,3,1,0,0
2015-07-03,BREAD,GW buns,0,4,4,3,0,0,1
2015-07-03,BREAD,CG-BUNS,4,0,4,4,0,0,0
2015-07-03,BREAD,POP-Buns,0,4,4,4,0,0,0
2015-07-03,BREAD,VS-Buns,1,0,1,1,0,0,0
2015-07-03,BREAD,H-RLS,0,4,4,4,0,0,0
2015-07-03,BREAD,FR-RLS,4,0,4,4,0,0,0
2015-07-03,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-07-03,BREAD,BlUE STRu,4,7,11,11,0,0,0
2015-07-03,BREAD,Choc Car,1,7,8,1,0,1,6
2015-07-03,BREAD,Ban Nut,0,4,4,1,0,0,3
2015-07-03,BREAD,Pump Choc,0,8,8,1,0,0,7
2015-07-03,ROLLS,Cinnamon,0,48,48,30,2,16,0
