Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2015-09-01,BREAD,H,13,37,50,20,0,0,30
2015-09-01,BREAD,FR,10,0,10,-18,20,0,8
2015-09-01,BREAD,GW,5,7,12,5,0,2,5
2015-09-01,BREAD,DK,13,0,13,4,0,0,9
2015-09-01,BREAD,H5,0,38,38,9,0,0,29
2015-09-01,BREAD,CSWRL,9,8,17,13,0,0,4
2015-09-01,BREAD,APL Swrl,0,12,12,10,0,0,2
2015-09-01,BREAD,CnE,9,0,9,6,0,3,0
2015-09-01,BREAD,CnR,3,0,3,1,0,2,0
2015-09-01,BREAD,CnW,1,0,1,1,0,0,0
2015-09-01,BREAD,Aut Apple,0,0,0,0,0,0,0
2015-09-01,BREAD,CH,0,0,0,0,0,0,0
2015-09-01,BREAD,POP,0,20,20,5,0,0,15
2015-09-01,BREAD,CG,0,0,0,0,0,0,0
2015-09-01,BREAD,JCG,0,0,0,0,0,0,0
2015-09-01,BREAD,VS,11,0,11,8,0,3,0
2015-09-01,BREAD,SpF,0,0,0,0,0,0,0
2015-09-01,BREAD,SOUR,0,8,8,0,2,0,6
2015-09-01,BREAD,A.SOUR,0,6,6,0,0,0,6
2015-09-01,BREAD,AP SOUR,0,8,8,5,2,0,1
2015-09-01,BREAD,CAR,0,0,0,0,0,0,0
2015-09-01,BREAD,VA Swirl,7,0,7,7,0,0,0
2015-09-01,BREAD,CG-BUNS,0,0,0,0,0,0,0
2015-09-01,BREAD,POP-Buns,0,4,4,1,0,0,3
2015-09-01,BREAD,VS-Buns,1,0,1,1,0,0,0
2015-09-01,BREAD,H-RLS,3,0,3,2,0,1,0
2015-09-01,BREAD,FR-RLS,2,2,4,3,0,0,1
2015-09-01,BREAD,VS-RLS,2,0,2,2,0,0,0
2015-09-01,BREAD,Blue Stru,3,5,8,1,0,2,5
2015-09-01,BREAD,Choc Car,2,2,4,0,0,2,2
2015-09-01,BREAD,apple spice,4,4,8,0,0,4,4
2015-09-01,BREAD,peachy keen,2,0,2,1,0,1,0
2015-09-01,ROLLS,Cinnamon,0,24,24,23,0,1,0
2015-09-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-09-01,SCONES,Cherry,0,0,0,0,0,0,0
2015-09-01,SCONES,carm apple,0,0,0,0,0,0,0
2015-09-01,SCONES,Blueberry,0,24,24,8,0,16,0
2015-09-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-09-01,SCONES,Choc Chip,0,12,12,6,0,6,0
2015-09-01,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-09-01,FRUIT BARS,Blueberry,0,0,0,0,0,0,0
2015-09-01,FRUIT BARS,Cherry,0,0,0,0,0,0,0
2015-09-01,FRUIT BARS,Apple Cin,0,50,50,3,40,7,0
2015-09-01,FRUIT BARS,PEach,0,10,10,10,0,0,0
2015-09-01,MUFFINS,Blue Stru,0,8,8,8,0,0,0
2015-09-01,MUFFINS,Choc Carm,0,6,6,5,0,1,0
2015-09-01,MUFFINS,apple spice,0,8,8,3,0,5,0
2015-09-01,COOKIES/BARS,Oatmeal CC,1,24,25,25,0,0,0
2015-09-01,COOKIES/BARS,hvst raisin,0,18,18,18,0,0,0
2015-09-01,COOKIES/BARS,Snicker,6,12,18,14,0,0,4
2015-09-01,COOKIES/BARS,Triple Choc,16,114,130,0,108,6,16
2015-09-01,COOKIES/BARS,Frosted,5,8,13,3,0,2,8
2015-09-01,COOKIES/BARS,s'mores,14,20,34,9,20,0,5
2015-09-01,COOKIES/BARS,blondies,0,20,20,20,0,0,0
2015-09-01,COOKIES/BARS,cashew crch,0,20,20,0,20,0,0
2015-09-01,COOKIES/BARS,Peanut Butr,7,12,19,16,0,0,3
2015-09-01,COOKIES/BARS,Cinn Stix,4,0,4,4,0,0,0
2015-09-01,COOKIES/BARS,Totals,53,390,419,152,188,43,36
2015-09-02,BREAD,H,30,0,30,25,0,0,5
2015-09-02,BREAD,FR,8,29,37,19,0,0,18
2015-09-02,BREAD,GW,5,23,28,6,1,3,18
2015-09-02,BREAD,DK,9,37,46,33,0,0,13
2015-09-02,BREAD,H5,29,0,29,17,0,0,12
2015-09-02,BREAD,CSWRL,4,20,24,11,0,0,13
2015-09-02,BREAD,APL Swrl,2,16,18,13,0,0,5
2015-09-02,BREAD,CnE,0,21,21,9,0,0,12
2015-09-02,BREAD,CnR,0,11,11,6,0,0,5
2015-09-02,BREAD,CnW,0,12,12,8,0,0,4
2015-09-02,BREAD,Aut Apple,0,0,0,0,0,0,0
2015-09-02,BREAD,CH,0,0,0,0,0,0,0
2015-09-02,BREAD,POP,15,0,15,6,0,9,0
2015-09-02,BREAD,CG,0,29,29,10,0,0,19
2015-09-02,BREAD,JCG,0,12,12,0,0,0,12
2015-09-02,BREAD,VS,0,0,0,0,0,0,0
2015-09-02,BREAD,SpF,0,0,0,0,0,0,0
2015-09-02,BREAD,SOUR,6,0,6,5,0,1,0
2015-09-02,BREAD,A.SOUR,6,0,6,0,0,6,0
2015-09-02,BREAD,AP SOUR,1,0,1,0,0,1,0
2015-09-02,BREAD,IHF,0,0,0,0,0,0,0
2015-09-02,BREAD,CAR,0,24,24,9,0,0,15
2015-09-02,BREAD,CG-BUNS,0,4,4,2,0,0,2
2015-09-02,BREAD,POP-Buns,3,0,3,2,0,1,0
2015-09-02,BREAD,VS-Buns,0,0,0,0,0,0,0
2015-09-02,BREAD,H-RLS,0,0,0,0,0,0,0
2015-09-02,BREAD,FR-RLS,1,5,6,2,0,0,4
2015-09-02,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-09-02,BREAD,Blue Stru,5,3,8,6,0,0,2
2015-09-02,BREAD,Choc Car,2,4,6,4,0,0,2
2015-09-02,BREAD,apple spice,4,2,6,3,0,1,2
