Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2015-10-01,BREAD,H,24,21,45,40,2,0,3
2015-10-01,BREAD,FR,21,65,86,18,45,0,23
2015-10-01,BREAD,GW,16,0,16,9,0,0,7
2015-10-01,BREAD,DK,26,0,26,24,0,0,2
2015-10-01,BREAD,H5,18,27,45,15,1,0,29
2015-10-01,BREAD,CSWRL,11,10,21,18,0,0,3
2015-10-01,BREAD,Pump Swrl,0,20,20,20,0,0,0
2015-10-01,BREAD,CnE,11,0,11,11,0,0,0
2015-10-01,BREAD,CnR,8,0,8,6,0,0,2
2015-10-01,BREAD,CnW,8,0,8,8,0,0,0
2015-10-01,BREAD,app swirl,10,7,17,15,0,0,2
2015-10-01,BREAD,CH,0,16,16,11,0,0,5
2015-10-01,BREAD,cg,5,0,5,5,0,0,0
2015-10-01,BREAD,JCG,4,0,4,4,0,0,0
2015-10-01,BREAD,VS,0,17,17,13,0,0,4
2015-10-01,BREAD,SOUR,0,0,0,0,0,0,0
2015-10-01,BREAD,A.SOUR,0,0,0,0,0,0,0
2015-10-01,BREAD,AP SOUR,0,0,0,0,0,0,0
2015-10-01,BREAD,IHF,0,0,0,0,0,0,0
2015-10-01,BREAD,car,0,18,18,16,0,0,2
2015-10-01,BREAD,but-rls,0,0,0,0,0,0,0
2015-10-01,BREAD,H-RLS,3,3,6,3,0,0,3
2015-10-01,BREAD,FR-RLS,3,3,6,5,0,0,1
2015-10-01,BREAD,VS-RLS,0,4,4,2,0,0,2
2015-10-01,BREAD,Blue Stru,3,3,6,5,0,0,1
2015-10-01,BREAD,Choc Car,0,6,6,2,0,0,4
2015-10-01,BREAD,Pump Choc,0,6,6,6,0,0,0
2015-10-01,ROLLS,Cinnamon,0,180,180,169,5,6,0
2015-10-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-10-01,SCONES,Cherry,0,0,0,0,0,0,0
2015-10-01,SCONES,Blueberry,0,58,58,46,2,10,0
2015-10-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-10-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-10-01,SCONES,Cin Chip,0,28,28,27,1,0,0
