Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2016-02-01,BREAD,H,0,33,33,17,1,0,15
2016-02-01,BREAD,FR,0,21,21,16,0,0,5
2016-02-01,BREAD,GW,0,5,5,4,1,0,0
2016-02-01,BREAD,DK,0,24,24,11,2,0,11
2016-02-01,BREAD,H5,0,0,0,0,0,0,0
2016-02-01,BREAD,CSWRL,0,24,24,12,0,0,12
2016-02-01,BREAD,cb,0,0,0,0,0,0,0
2016-02-01,BREAD,bfb,0,0,0,0,0,0,0
2016-02-01,BREAD,Cne,0,19,19,8,0,0,11
2016-02-01,BREAD,CnR,0,4,4,3,1,0,0
2016-02-01,BREAD,CnW,0,4,4,1,0,0,3
2016-02-01,BREAD,cg,0,16,16,7,0,0,9
2016-02-01,BREAD,cg-jal,0,4,4,2,0,0,2
2016-02-01,BREAD,vs,0,0,0,0,0,0,0
2016-02-01,BREAD,IHF,0,0,0,0,0,0,0
2016-02-01,BREAD,car,0,13,13,4,1,0,8
2016-02-01,BREAD,gluten-X,0,0,0,0,0,0,0
2016-02-01,BREAD,Glut-X Cin,0,0,0,0,0,0,0
2016-02-01,BREAD,H-RLS,0,3,3,1,0,0,2
2016-02-01,BREAD,FR-RLS,0,4,4,0,0,0,4
2016-02-01,BREAD,VS-RLS,0,0,0,0,0,0,0
2016-02-01,BREAD,Blue Stru,0,4,4,1,0,0,3
2016-02-01,BREAD,Red Velvet,0,6,6,3,0,0,3
2016-02-01,BREAD,Choc Carm,0,4,4,1,0,0,3
2016-02-01,BREAD,Red V Heart,0,3,3,0,0,0,3
2016-02-01,BREAD,Choc Heart,0,3,3,1,0,0,2
2016-02-01,ROLLS,Cinnamon,0,24,24,24,0,0,0
2016-02-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2016-02-01,SCONES,Cherry,0,12,12,12,0,0,0
2016-02-01,SCONES,Blueberry,0,0,0,0,0,0,0
2016-02-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2016-02-01,SCONES,Choc Chip,0,12,12,7,0,5,0
2016-02-01,SCONES,Cin Chip,0,0,0,0,0,0,0
2016-02-01,FRUIT BARS,Blueberry,0,48,48,1,40,7,0
2016-02-01,FRUIT BARS,Cherry,0,4,4,4,0,0,0
2016-02-01,FRUIT BARS,Cherry-White,0,48,48,4,40,4,0
2016-02-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2016-02-01,MUFFINS,Blue Stru,0,5,5,5,0,0,0
2016-02-01,MUFFINS,Red Velvet,0,7,7,4,0,3,0
2016-02-01,MUFFINS,Choc Carm,0,5,5,5,0,0,0
2016-02-01,COOKIES/BARS,Oatmeal CC,0,30,30,11,11,0,8
2016-02-01,COOKIES/BARS,Peanut Butt,0,12,12,12,0,0,0
2016-02-01,COOKIES/BARS,PB Choc,0,12,12,10,0,0,2
2016-02-01,COOKIES/BARS,Triple Choc,0,30,30,5,10,0,15
2016-02-01,COOKIES/BARS,SnickerDoodle,0,30,30,17,10,0,3
2016-02-01,COOKIES/BARS,frosted,0,8,8,8,0,0,0
2016-02-01,COOKIES/BARS,EYE Cookies,0,180,180,0,180,0,0
