Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2016-04-01,BREAD,H,14,48,62,29,3,0,30
2016-04-01,BREAD,FR,0,35,35,13,0,0,22
2016-04-01,BREAD,GW,3,4,7,6,1,0,0
2016-04-01,BREAD,DK,8,27,35,13,1,0,21
2016-04-01,BREAD,H5,19,0,19,9,0,0,10
2016-04-01,BREAD,CSWRL,4,20,24,23,1,0,0
2016-04-01,BREAD,VA SWRL,7,4,11,10,0,0,1
2016-04-01,BREAD,ISB,15,0,15,10,0,5,0
2016-04-01,BREAD,Cne,0,29,29,4,0,0,25
2016-04-01,BREAD,CnR,0,8,8,8,0,0,0
2016-04-01,BREAD,CnW,0,8,8,8,0,0,0
2016-04-01,BREAD,cg,0,13,13,6,0,0,7
2016-04-01,BREAD,cg-jal,0,4,4,1,0,0,3
2016-04-01,BREAD,vs,0,0,0,-2,0,2,0
2016-04-01,BREAD,cg-pesto,11,4,15,13,0,0,2
2016-04-01,BREAD,CH,0,0,0,0,0,0,0
2016-04-01,BREAD,car,0,0,0,0,0,0,0
2016-04-01,BREAD,ihf,0,0,0,0,0,0,0
2016-04-01,BREAD,gluten-X,0,0,0,0,0,0,0
2016-04-01,BREAD,Glut-X Cin,0,0,0,0,0,0,0
2016-04-01,BREAD,H-RLS,3,4,7,3,0,0,4
2016-04-01,BREAD,FR-RLS,0,6,6,3,0,0,3
2016-04-01,BREAD,VS-RLS,2,0,2,2,0,0,0
2016-04-01,BREAD,lemon blue,2,6,8,2,2,0,4
2016-04-01,BREAD,straw short,2,5,7,1,1,1,4
2016-04-01,BREAD,Choc Carm,2,3,5,4,1,0,0
2016-04-01,ROLLS,Cinnamon,0,36,36,36,0,0,0
2016-04-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2016-04-01,SCONES,Cherry,0,20,20,16,0,4,0
2016-04-01,SCONES,Blueberry,0,0,0,0,0,0,0
2016-04-01,SCONES,Butt Almd,0,27,27,26,0,1,0
2016-04-01,SCONES,Choc Chip,0,0,0,0,0,0,0
2016-04-01,SCONES,Cin Chip,0,0,0,0,0,0,0
2016-04-01,FRUIT BARS,Blueberry,0,4,4,4,0,0,0
2016-04-01,FRUIT BARS,Cherry,0,8,8,4,0,4,0
2016-04-01,FRUIT BARS,straw,0,8,8,8,0,0,0
2016-04-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2016-04-01,MUFFINS,lemon blue,0,10,10,7,0,3,0
2016-04-01,MUFFINS,straw short,0,8,8,6,0,2,0
2016-04-01,MUFFINS,Choc Carm,0,6,6,6,0,0,0
2016-04-01,COOKIES/BARS,Oatmeal CC,6,18,24,20,4,0,0
2016-04-01,COOKIES/BARS,Peanut Butt,7,6,13,13,0,0,0
2016-04-01,COOKIES/BARS,PB Choc,4,12,16,16,0,0,0
2016-04-01,COOKIES/BARS,Triple Choc,18,6,24,20,4,0,0
2016-04-01,COOKIES/BARS,SnickerDoodle,0,24,24,20,4,0,0
2016-04-01,COOKIES/BARS,frosted,0,18,18,16,0,0,2
2016-04-01,COOKIES/BARS,Totals,35,211,210,182,12,14,2
2016-04-02,BREAD,H,30,0,30,24,0,6,0
2016-04-02,BREAD,FR,22,0,22,14,0,8,0
2016-04-02,BREAD,GW,0,0,0,0,0,0,0
2016-04-02,BREAD,DK,21,0,21,6,0,15,0
2016-04-02,BREAD,H5,10,0,10,6,0,4,0
2016-04-02,BREAD,CSWRL,0,28,28,23,5,0,0
2016-04-02,BREAD,VA SWRL,1,12,13,11,2,0,0
2016-04-02,BREAD,bfb,0,14,14,9,0,5,0
2016-04-02,BREAD,Cne,25,0,25,21,0,4,0
2016-04-02,BREAD,CnR,0,0,0,0,0,0,0
2016-04-02,BREAD,CnW,0,0,0,0,0,0,0
2016-04-02,BREAD,cg,7,0,7,7,0,0,0
2016-04-02,BREAD,cg-jal,3,0,3,3,0,0,0
2016-04-02,BREAD,vs,0,0,0,0,0,0,0
2016-04-02,BREAD,cg-pesto,2,0,2,2,0,0,0
2016-04-02,BREAD,CH,0,0,0,0,0,0,0
2016-04-02,BREAD,car,0,0,0,0,0,0,0
2016-04-02,BREAD,ihf,0,0,0,0,0,0,0
2016-04-02,BREAD,gluten-X,0,0,0,0,0,0,0
2016-04-02,BREAD,Glut-X Cin,0,0,0,0,0,0,0
2016-04-02,BREAD,H-RLS,4,0,4,1,0,3,0
2016-04-02,BREAD,FR-RLS,3,0,3,2,0,1,0
2016-04-02,BREAD,VS-RLS,0,0,0,0,0,0,0
2016-04-02,BREAD,lemon blue,4,5,9,7,2,0,0
2016-04-02,BREAD,straw short,4,6,10,8,2,0,0
2016-04-02,BREAD,Choc Carm,0,7,7,5,2,0,0
2016-04-02,ROLLS,Cinnamon,0,60,60,60,0,0,0
2016-04-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2016-04-02,SCONES,Cherry,0,0,0,0,0,0,0
2016-04-02,SCONES,Blueberry,0,28,28,28,0,0,0
2016-04-02,SCONES,Butt Almd,0,0,0,0,0,0,0
2016-04-02,SCONES,Choc Chip,0,0,0,0,0,0,0
2016-04-02,SCONES,Cin Chip,0,0,0,0,0,0,0
2016-04-02,FRUIT BARS,Blueberry,0,8,8,8,0,0,0
2016-04-02,FRUIT BARS,Cherry,0,12,12,12,0,0,0
2016-04-02,FRUIT BARS,straw,0,8,8,8,0,0,0
2016-04-02,FRUIT BARS,Apple Cin,0,12,12,12,0,0,0
2016-04-02,MUFFINS,lemon blue,0,10,10,10,0,0,0
2016-04-02,MUFFINS,straw short,0,10,10,9,0,1,0
2016-04-02,MUFFINS,Choc Carm,0,8,8,8,0,0,0
2016-04-02,COOKIES/BARS,Oatmeal CC,0,36,36,14,15,7,0
2016-04-02,COOKIES/BARS,Peanut Butt,0,18,18,8,6,4,0
2016-04-02,COOKIES/BARS,PB Choc,0,18,18,4,6,8,0
2016-04-02,COOKIES/BARS,Triple Choc,0,24,24,17,6,1,0
2016-04-02,COOKIES/BARS,SnickerDoodle,0,24,24,17,6,1,0
2016-04-02,COOKIES/BARS,frosted,2,12,14,11,0,3,0
2016-04-02,COOKIES/BARS,Totals,2,288,230,166,39,25,0
2016-04-03,BREAD,H,0,0,0,0,0,0,0
2016-04-03,BREAD,FR,0,0,0,0,0,0,0
2016-04-03,BREAD,GW,0,0,0,0,0,0,0
