Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2017-08-01,BREAD,H,13,25,38,15,0,0,23,0,0,0,0,0,0,0
2017-08-01,BREAD,FR,14,38,52,17,35,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,GW,7,4,11,5,0,3,3,0,0,0,0,0,0,0
2017-08-01,BREAD,DK,6,0,6,6,0,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,H5,0,26,26,14,0,0,12,0,0,0,0,0,0,0
2017-08-01,BREAD,CSWRL,2,16,18,12,0,0,6,3,0,3,2,0,0,0
2017-08-01,BREAD,VA SWRL,5,8,13,10,0,0,3,0,2,2,0,0,0,2
2017-08-01,BREAD,BFB,0,15,15,9,0,2,4,0,4,4,0,0,0,3
2017-08-01,BREAD,CnE,12,0,12,12,0,0,0,3,0,3,3,0,0,0
2017-08-01,BREAD,CnR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,CnW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,POP,2,0,2,2,0,0,0,2,0,2,2,0,0,0
2017-08-01,BREAD,VS,0,24,24,7,17,0,0,0,4,4,1,0,0,3
2017-08-01,BREAD,CH,0,13,13,5,0,0,8,0,5,5,1,0,0,4
2017-08-01,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,GW Buns,2,2,4,1,0,1,2,0,0,0,0,0,0,0
2017-08-01,BREAD,POP Buns,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2017-08-01,BREAD,VS Buns,0,4,4,2,0,0,2,0,0,0,0,0,0,0
2017-08-01,BREAD,H-RLS,3,0,3,2,0,0,1,0,0,0,0,0,0,0
2017-08-01,BREAD,FR-RLS,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,VS-RLS,0,5,5,2,0,0,3,0,0,0,0,0,0,0
2017-08-01,BREAD,BLUE STRU,0,8,8,4,0,0,4,0,0,0,0,0,0,0
2017-08-01,BREAD,Choc Carm,0,6,6,3,0,0,3,0,0,0,0,0,0,0
2017-08-01,BREAD,Banana,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,Ban Nut,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2017-08-01,BREAD,Ban Choc,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2017-08-01,ROLLS,Cinnamon,0,24,24,24,0,0,0,0,0,0,0,0,0,0
2017-08-01,ROLLS,Savory Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,SCONES,cHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,SCONES,Blueberry,0,20,20,20,0,0,0,0,39,39,3,0,0,0
2017-08-01,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,SCONES,Butt Almd,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,SCONES,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,SCONES,Cin Chip,0,16,16,12,0,4,0,0,3,3,3,0,0,0
2017-08-01,FRUIT BARS,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,FRUIT BARS,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,FRUIT BARS,Apple Cin,0,48,48,8,40,0,0,0,0,0,0,0,0,0
2017-08-01,FRUIT BARS,Mixed Berry,0,12,12,2,0,10,0,0,0,0,0,0,0,0
2017-08-01,FRUIT BARS,Str Rhub,0,0,0,-5,0,5,0,0,0,0,0,0,0,0
2017-08-01,MUFFINS,blue stru,0,11,11,8,0,3,0,0,2,2,2,0,0,0
2017-08-01,MUFFINS,Choc Carm,0,9,9,5,0,4,0,0,10,10,-3,0,0,0
2017-08-01,MUFFINS,Banana,0,4,4,4,0,0,0,0,1,1,1,0,0,0
2017-08-01,MUFFINS,Ban nut,0,4,4,4,0,0,0,0,1,1,1,0,0,0
2017-08-01,MUFFINS,Ban Choc,0,4,4,4,0,0,0,0,1,1,1,0,0,0
2017-08-01,COOKIES/BARS,Oatmeal CC,18,0,18,12,0,6,0,0,0,0,0,0,0,0
2017-08-01,COOKIES/BARS,Oat Buttersc,0,12,12,2,0,0,10,0,0,0,0,0,0,0
2017-08-01,COOKIES/BARS,Oat Wal CC,0,18,18,18,0,0,0,0,0,0,0,0,0,0
2017-08-01,COOKIES/BARS,Triple Choc,14,6,20,20,0,0,0,0,0,0,0,0,0,0
2017-08-01,COOKIES/BARS,SnickerDoodle,13,6,19,19,0,0,0,0,0,0,0,0,0,0
2017-08-01,COOKIES/BARS,frosted,2,12,14,4,0,0,10,0,0,0,0,0,0,0
2017-08-01,COOKIES/BARS,Kahuna,18,0,18,13,0,5,0,0,0,0,0,0,0,0
2017-08-01,COOKIES/BARS,Brownies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,COOKIES/BARS,Totals,65,206,271,174,40,37,20,0,57,57,8,0,0,0
2017-08-02,BREAD,H,23,32,55,41,0,0,14,0,0,0,0,0,0,0
2017-08-02,BREAD,FR,0,48,48,40,0,0,8,0,0,0,0,0,0,0
2017-08-02,BREAD,GW,3,11,14,7,0,0,7,0,0,0,0,0,0,0
2017-08-02,BREAD,DK,0,39,39,25,0,0,14,0,0,0,0,0,0,0
2017-08-02,BREAD,H5,12,0,12,12,0,0,0,0,0,0,0,0,0,0
2017-08-02,BREAD,CSWRL,6,16,22,14,0,0,8,0,4,4,4,0,0,0
2017-08-02,BREAD,VA SWRL,3,16,19,14,0,0,5,2,2,4,4,0,0,0
2017-08-02,BREAD,BFB,4,0,4,4,0,0,0,3,0,3,2,0,0,0
2017-08-02,BREAD,CnE,0,31,31,24,0,0,7,0,0,0,0,0,0,0
2017-08-02,BREAD,CnR,0,7,7,5,0,0,2,0,0,0,0,0,0,0
2017-08-02,BREAD,CnW,0,12,12,6,2,0,4,0,0,0,0,0,0,0
2017-08-02,BREAD,POP,0,19,19,11,0,0,8,0,3,3,2,0,0,1
2017-08-02,BREAD,VS,0,0,0,0,0,0,0,3,0,3,3,0,0,0
2017-08-02,BREAD,CH,8,0,8,6,0,0,2,4,0,4,4,0,0,0
2017-08-02,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02,BREAD,GW Buns,2,2,4,2,0,0,2,0,0,0,0,0,0,0
2017-08-02,BREAD,POP Buns,0,4,4,2,0,0,2,0,0,0,0,0,0,0
2017-08-02,BREAD,VS Buns,2,0,2,0,0,2,0,0,0,0,0,0,0,0
2017-08-02,BREAD,H-RLS,1,4,5,2,0,0,3,0,0,0,0,0,0,0
2017-08-02,BREAD,FR-RLS,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2017-08-02,BREAD,VS-RLS,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2017-08-02,BREAD,BLUE STRU,4,4,8,5,0,1,2,0,0,0,0,0,0,0
2017-08-02,BREAD,Choc Carm,3,3,6,2,0,1,3,0,0,0,0,0,0,0
2017-08-02,BREAD,Banana,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2017-08-02,BREAD,Ban Nut,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2017-08-02,BREAD,Ban Choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
