Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2017-10-01,BREAD,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,CSWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,Pump Swrl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,Sonoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,CnE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,CnR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,CnW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,Pesto CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,Jalep CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,VS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,VA SWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,H-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,FR-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,VS-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,BLUE STRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,choc car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,pump cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,BREAD,pump cr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,ROLLS,Cinnamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,ROLLS,pump c-roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,SCONES,Pump Spice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
