Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2018-04-01,BREAD,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,CSWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,va swrl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,BFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,CnE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,CnR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,CnW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,Pesto CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,VS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,ch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,ihf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,H-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,FR-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,VS-RLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,Lem Blue P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,Choc Carm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,BREAD,Straw Sh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,ROLLS,Cinnamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,FRUIT BARS,Mixed Berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,FRUIT BARS,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,FRUIT BARS,mixed fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,MUFFINS,Lem Blue P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,MUFFINS,Choc Carm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,MUFFINS,Straw Sh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,MUFFINS,Oatmeal CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,MUFFINS,Peanut butter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
