Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2019-11-01,BREAD,H,29.0,23.0,52.0,29.0,8,0,15.0,0,0,0,0,0,0,0
2019-11-01,BREAD,FR,13.0,35.0,48.0,14.0,9,1,24.0,0,0,0,0,0,0,0
2019-11-01,BREAD,GW,13.0,11.0,24.0,5.0,0,1,18.0,0,0,0,0,0,0,0
2019-11-01,BREAD,DK,9.0,16.0,25.0,9.0,0,0,16.0,0,0,0,0,0,0,0
2019-11-01,BREAD,H5|Cran,18.0,0.0,18.0,9.0,0,0,9.0,6,0,6,1,0,0,5
2019-11-01,BREAD,CSRWL,1.0,16.0,17.0,2.0,2,0,13.0,0,4,4,2,0,0,2
2019-11-01,BREAD,PUMP PIE SW,6.0,8.0,14.0,8.0,0,0,6.0,0,3,3,2,0,0,1
2019-11-01,BREAD,CB,6.0,0.0,6.0,6.0,0,0,0.0,1,0,1,1,0,0,0
2019-11-01,BREAD,CNE,0.0,0.0,0.0,-1.0,0,0,1.0,0,0,0,0,0,0,0
2019-11-01,BREAD,CNR,0.0,0.0,0.0,-1.0,0,0,1.0,0,0,0,0,0,0,0
2019-11-01,BREAD,CNW,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,CG,0.0,10.0,10.0,6.0,0,0,4.0,0,3,3,2,0,0,1
2019-11-01,BREAD,Pesto CG,0.0,8.0,8.0,2.0,2,0,4.0,0,0,0,0,0,0,0
2019-11-01,BREAD,CrO,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,VS,5.0,0.0,5.0,4.0,0,1,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,STUF,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,SOURDOUGH,0.0,14.0,14.0,9.0,0,0,5.0,0,0,0,0,0,0,0
2019-11-01,BREAD,SOUR JC,0.0,6.0,6.0,2.0,0,0,4.0,0,0,0,0,0,0,0
2019-11-01,BREAD,Sour RG,0.0,8.0,8.0,2.0,0,0,6.0,0,0,0,0,0,0,0
2019-11-01,BREAD,WC,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,Car,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,IHF,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,CB PB,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,TURKEYS,0.0,2.0,2.0,0.0,0,0,2.0,0,0,0,0,0,0,0
2019-11-01,BREAD,CrO Rls,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,BUT Rls,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,H-RLS,0.0,4.0,4.0,4.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,FR-RLS,0.0,4.0,4.0,4.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,VS-RLS,2.0,0.0,2.0,2.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,BREAD,blue,2.0,4.0,6.0,0.0,0,2,4.0,0,0,0,0,0,0,0
2019-11-01,BREAD,Mex Choc,1.0,5.0,6.0,2.0,0,0,4.0,0,0,0,0,0,0,0
2019-11-01,BREAD,Pump CC,0.0,12.0,12.0,7.0,4,0,1.0,0,0,0,0,0,0,0
2019-11-01,ROLLS,Cinnamon,0.0,36.0,36.0,0.0,36,0,0.0,0,0,0,0,0,0,0
2019-11-01,ROLLS,Pump C-R,0.0,24.0,24.0,21.0,0,3,0.0,0,0,0,0,0,0,0
2019-11-01,ROLLS,Take-n-bake,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,ROLLS,Mini C-Roll,0.0,24.0,24.0,0.0,24,0,0.0,0,0,0,0,0,0,0
2019-11-01,SCONES,Blueberry,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,SCONES,Rasp Cream,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2019-11-01,SCONES,Cherry,0.0,19.0,19.0,14.0,4,1,0.0,0,7,7,0,0,0,0
