Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2020-09-01,BREAD,H,23,20,43,18,0,0,25,0,0,0,0,0,0,0
2020-09-01,BREAD,FR,10,0,10,-15,0,0,25,0,0,0,0,0,0,0
2020-09-01,BREAD,GW,7,7,14,4,0,0,10,0,0,0,0,0,0,0
2020-09-01,BREAD,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,H5|Cran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,CSRWL,2,16,18,7,0,0,11,1,2,3,0,0,0,3
2020-09-01,BREAD,ACW,0,11,11,1,0,0,10,0,3,3,1,0,0,2
2020-09-01,BREAD,ACW SW,0,6,6,1,0,0,5,0,0,0,0,0,0,0
2020-09-01,BREAD,CNE,14,0,14,9,0,5,0,2,0,2,1,0,0,0
2020-09-01,BREAD,CNR,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,CNW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,CG,3,0,3,2,0,1,0,1,0,1,1,0,0,0
2020-09-01,BREAD,pesto CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,vegan w,0,13,13,11,2,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,VS,0,12,12,2,0,0,10,0,2,2,2,0,0,0
2020-09-01,BREAD,SOURDOUGH,0,19,19,5,10,0,4,0,0,0,0,0,0,0
2020-09-01,BREAD,RG SOUR,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,CH-Raisin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,9G,0,22,22,6,0,0,16,0,0,0,0,0,0,0
2020-09-01,BREAD,9G-Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,VS BUNS,0,3,3,0,1,0,2,0,0,0,0,0,0,0
2020-09-01,BREAD,GW BUNS,2,0,2,-1,1,2,0,0,0,0,0,0,0,0
2020-09-01,BREAD,H-RLS,2,0,2,0,0,2,0,0,0,0,0,0,0,0
2020-09-01,BREAD,FR-RLS,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-01,BREAD,VS-RLS,0,6,6,2,0,0,4,0,0,0,0,0,0,0
2020-09-01,BREAD,Blue Stru,2,4,6,2,0,1,3,0,0,0,0,0,0,0
2020-09-01,BREAD,Choc Carm,2,3,5,1,0,1,3,0,0,0,0,0,0,0
2020-09-01,BREAD,Apple CR,2,3,5,1,0,1,3,0,0,0,0,0,0,0
2020-09-01,ROLLS,Cinnamon,0,48,48,48,0,0,0,0,0,0,0,0,0,0
2020-09-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,SCONES,Blueberry,0,18,18,15,0,3,0,0,0,0,0,0,0,0
2020-09-01,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,SCONES,Cin Chip,0,15,15,15,0,0,0,0,0,0,0,0,0,0
2020-09-01,FRUIT BARS,Mixed Berry,0,10,10,10,0,0,0,0,0,0,0,0,0,0
2020-09-01,FRUIT BARS,Cherry,0,10,10,10,0,0,0,0,0,0,0,0,0,0
2020-09-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,FRUIT BARS,Straw Rhub,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,MUFFINS,Blue Stru,0,7,7,4,0,3,0,0,0,0,0,0,0,0
2020-09-01,MUFFINS,Choc Carm,0,5,5,4,0,1,0,0,0,0,0,0,0,0
2020-09-01,MUFFINS,Apple Crunch,0,5,5,3,0,2,0,0,0,0,0,0,0,0
