Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2020-12-01,BREAD,H,14,24,38,14,0,0,24,0,0,0,0,0,0,0
2020-12-01,BREAD,FR,12,12,24,21,0,0,3,0,0,0,0,0,0,0
2020-12-01,BREAD,GW,9,7,16,7,0,6,3,0,0,0,0,0,0,0
2020-12-01,BREAD,DK,10,0,10,9,0,0,1,0,0,0,0,0,0,0
2020-12-01,BREAD,H5|Cran,0,16,16,7,0,0,9,0,4,4,3,0,0,1
2020-12-01,BREAD,CSRWL,5,8,13,13,0,0,0,2,0,2,2,0,0,0
2020-12-01,BREAD,MP SWRL,0,12,12,2,0,0,10,0,3,3,2,0,0,1
2020-12-01,BREAD,TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,Angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,CNE,8,0,8,5,0,3,0,3,0,3,3,0,0,0
2020-12-01,BREAD,CNR,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,CNW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,Pump Swrl,11,0,11,1,0,10,0,2,0,2,1,0,0,0
2020-12-01,BREAD,Wreath,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,VS,10,0,10,4,0,0,6,11,0,11,3,0,0,8
2020-12-01,BREAD,SOURDOUGH,0,14,14,9,0,0,5,0,0,0,0,0,0,0
2020-12-01,BREAD,RG SOUR,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,CB,0,7,7,1,2,0,4,0,4,4,1,0,0,3
2020-12-01,BREAD,CrO,0,7,7,3,3,0,1,0,3,3,3,0,0,0
2020-12-01,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,BUT-Rls,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,H-RLS,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2020-12-01,BREAD,FR-RLS,0,4,4,1,0,0,3,0,0,0,0,0,0,0
2020-12-01,BREAD,VS-RLS,3,0,3,2,0,0,1,0,0,0,0,0,0,0
2020-12-01,BREAD,Blue Stru,0,3,3,0,0,0,3,0,0,0,0,0,0,0
2020-12-01,BREAD,Mex Choc,0,3,3,0,0,0,3,0,0,0,0,0,0,0
2020-12-01,BREAD,Pum Choc,2,8,10,-1,5,3,3,0,0,0,0,0,0,0
2020-12-01,BREAD,Pum Crmb,1,2,3,0,0,1,2,0,0,0,0,0,0,0
2020-12-01,ROLLS,Cinnamon,0,24,24,21,0,3,0,0,0,0,0,0,0,0
2020-12-01,ROLLS,Pecan C-Roll,0,24,24,12,0,12,0,0,0,0,0,0,0,0
2020-12-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,SCONES,Blueberry,0,11,11,10,0,1,0,0,0,0,0,0,0,0
2020-12-01,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,SCONES,Cin Chip,0,11,11,11,0,0,0,0,0,0,0,0,0,0
2020-12-01,SCONES,CrO,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2020-12-01,SCONES,CrO-WChoc,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2020-12-01,FRUIT BARS,Mixed Berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,FRUIT BARS,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,FRUIT BARS,Apple Cin,0,10,10,1,0,9,0,0,0,0,0,0,0,0
2020-12-01,FRUIT BARS,Cran Choc,0,10,10,1,0,9,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Blue Stru,0,3,3,2,0,1,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Mex Choc,0,3,3,2,0,1,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Pump Choc,0,5,5,1,0,4,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Pump Crumb,0,3,3,0,0,3,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Cran W Choc,14,18,32,15,12,1,4,0,0,0,0,0,0,0
2020-12-01,MUFFINS,triple choc,4,30,34,15,12,0,7,0,0,0,0,0,0,0
2020-12-01,MUFFINS,St. Nicker,10,24,34,21,12,0,1,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Ginger,0,24,24,14,0,0,10,0,0,0,0,0,0,0
2020-12-01,MUFFINS,frosted sugar,18,6,24,10,0,6,8,0,0,0,0,0,0,0
2020-12-01,MUFFINS,PUmpkin,0,10,10,2,0,0,8,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Brown,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Pepp,6,2,8,8,0,0,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Pump OHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,MUFFINS,Totals,46,232,278,154,36,50,38,6,2,8,8,0,0,0
2020-12-02,BREAD,H,24,11,35,11,0,4,20,0,0,0,0,0,0,0
2020-12-02,BREAD,FR,3,21,24,8,0,0,16,0,0,0,0,0,0,0
2020-12-02,BREAD,GW,3,6,9,1,0,0,8,0,0,0,0,0,0,0
2020-12-02,BREAD,DK,1,29,30,9,0,0,21,0,0,0,0,0,0,0
2020-12-02,BREAD,H5|Cran,9,0,9,5,0,0,4,1,0,1,1,0,0,0
2020-12-02,BREAD,CSRWL,0,16,16,8,0,0,8,0,3,3,1,0,0,2
2020-12-02,BREAD,MP SWRL,10,4,14,3,0,7,4,1,0,1,1,0,0,0
2020-12-02,BREAD,TS,0,9,9,3,0,0,6,0,2,2,1,0,0,1
2020-12-02,BREAD,Angels,0,3,3,0,0,0,3,0,0,0,0,0,0,0
2020-12-02,BREAD,CNE,0,14,14,8,0,0,6,0,2,2,1,0,0,1
2020-12-02,BREAD,CNR,0,6,6,0,0,0,6,0,0,0,0,0,0,0
2020-12-02,BREAD,CNW,0,5,5,1,0,0,4,0,0,0,0,0,0,0
2020-12-02,BREAD,POP,0,9,9,9,0,0,0,0,3,3,3,0,0,0
2020-12-02,BREAD,Wreath,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2020-12-02,BREAD,VS,6,0,6,3,0,3,0,8,0,8,2,0,0,0
2020-12-02,BREAD,SOURDOUGH,5,9,14,9,0,0,5,0,0,0,0,0,0,0
2020-12-02,BREAD,RG SOUR,0,6,6,3,0,0,3,0,0,0,0,0,0,0
2020-12-02,BREAD,CB,4,0,4,1,0,3,0,3,0,3,0,0,0,0
2020-12-02,BREAD,CrO,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-12-02,BREAD,CH,0,8,8,1,0,0,7,0,3,3,1,0,0,2
2020-12-02,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,BREAD,BUT-Rls,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,BREAD,H-RLS,0,3,3,2,0,1,0,0,0,0,0,0,0,0
2020-12-02,BREAD,FR-RLS,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2020-12-02,BREAD,VS-RLS,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-12-02,BREAD,Blue Stru,3,0,3,1,0,2,0,0,0,0,0,0,0,0
2020-12-02,BREAD,Mex Choc,3,0,3,0,0,3,0,0,0,0,0,0,0,0
2020-12-02,BREAD,Pum Choc,3,2,5,4,0,1,0,0,0,0,0,0,0,0
2020-12-02,BREAD,Pum Crmb,2,1,3,3,0,0,0,0,0,0,0,0,0,0
2020-12-02,ROLLS,Cinnamon,0,24,24,20,0,4,0,0,0,0,0,0,0,0
2020-12-02,ROLLS,Pecan C-Roll,0,12,12,8,0,4,0,0,0,0,0,0,0,0
2020-12-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,SCONES,Rasp Cream,0,18,18,12,6,0,0,0,0,0,0,0,0,0
2020-12-02,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,SCONES,Turtle,0,15,15,13,2,0,0,0,0,0,0,0,0,0
2020-12-02,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,SCONES,CrO,0,7,7,7,0,0,0,0,0,0,0,0,0,0
2020-12-02,SCONES,CrO-WChoc,0,7,7,7,0,0,0,0,0,0,0,0,0,0
2020-12-02,FRUIT BARS,Mixed Berry,0,10,10,1,1,8,0,0,0,0,0,0,0,0
2020-12-02,FRUIT BARS,Cherry,0,10,10,3,1,6,0,0,0,0,0,0,0,0
2020-12-02,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,FRUIT BARS,Cran Choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Blue Stru,0,5,5,3,2,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Mex Choc,0,4,4,3,1,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Pump Choc,0,7,7,5,2,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Pump Crumb,0,4,4,3,1,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Cran W Choc,4,12,16,10,0,0,6,0,0,0,0,0,0,0
2020-12-02,MUFFINS,triple choc,7,12,19,17,0,0,2,0,0,0,0,0,0,0
2020-12-02,MUFFINS,St. Nicker,1,18,19,9,0,0,10,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Ginger,10,12,22,10,0,0,12,0,0,0,0,0,0,0
2020-12-02,MUFFINS,frosted sugar,8,12,20,4,0,3,13,0,0,0,0,0,0,0
2020-12-02,MUFFINS,PUmpkin,8,2,10,6,0,0,4,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Brown,0,6,6,0,0,0,6,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Pepp,0,8,8,6,0,0,2,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Pump OHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,MUFFINS,Totals,38,197,235,141,16,25,53,0,8,8,6,0,0,2
2020-12-03,BREAD,H,20,19,39,15,0,5,19,0,0,0,0,0,0,0
2020-12-03,BREAD,FR,16,37,53,18,33,0,2,0,0,0,0,0,0,0
2020-12-03,BREAD,GW,8,3,11,8,0,2,1,0,0,0,0,0,0,0
2020-12-03,BREAD,DK,21,0,21,11,0,0,10,0,0,0,0,0,0,0
2020-12-03,BREAD,H5|Cran,4,16,20,8,0,0,12,0,4,4,1,0,0,3
2020-12-03,BREAD,CSRWL,8,8,16,6,0,2,8,2,0,2,2,0,0,0
2020-12-03,BREAD,MP SWRL,4,4,8,2,0,0,6,0,2,2,2,0,0,0
2020-12-03,BREAD,TS,6,0,6,2,0,4,0,1,0,1,0,0,0,0
2020-12-03,BREAD,Angels,3,0,3,0,0,3,0,0,0,0,0,0,0,0
2020-12-03,BREAD,CNE,6,0,6,6,0,0,0,1,0,1,1,0,0,0
2020-12-03,BREAD,CNR,6,0,6,1,0,5,0,0,0,0,0,0,0,0
2020-12-03,BREAD,CNW,4,0,4,3,0,1,0,0,0,0,0,0,0,0
2020-12-03,BREAD,POP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,BREAD,Wreath,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,BREAD,VS,0,9,9,6,1,0,2,0,3,3,2,0,0,0
2020-12-03,BREAD,SOURDOUGH,5,0,5,3,0,2,0,0,0,0,0,0,0,0
2020-12-03,BREAD,RG SOUR,3,0,3,2,0,1,0,0,0,0,0,0,0,0
2020-12-03,BREAD,CB,0,8,8,6,0,0,2,0,5,5,2,0,0,3
2020-12-03,BREAD,CrO,0,16,16,2,5,0,9,0,4,4,4,0,0,0
2020-12-03,BREAD,CH,7,0,7,1,0,6,0,2,0,2,2,0,0,0
2020-12-03,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,BREAD,BUT-Rls,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,BREAD,H-RLS,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2020-12-03,BREAD,FR-RLS,0,3,3,1,0,0,2,0,0,0,0,0,0,0
2020-12-03,BREAD,VS-RLS,0,4,4,1,0,0,3,0,0,0,0,0,0,0
2020-12-03,BREAD,Blue Stru,0,4,4,1,0,0,3,0,0,0,0,0,0,0
2020-12-03,BREAD,Mex Choc,0,4,4,0,0,0,4,0,0,0,0,0,0,0
2020-12-03,BREAD,Pum Choc,0,6,6,2,0,0,4,0,0,0,0,0,0,0
2020-12-03,BREAD,Pum Crmb,0,4,4,2,0,0,2,0,0,0,0,0,0,0
2020-12-03,ROLLS,Cinnamon,0,36,36,18,13,5,0,0,0,0,0,0,0,0
2020-12-03,ROLLS,Pecan C-Roll,0,12,12,12,0,0,0,0,0,0,0,0,0,0
2020-12-03,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,SCONES,Blueberry,0,12,12,8,0,4,0,0,0,0,0,0,0,0
2020-12-03,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,SCONES,Turtle,0,10,10,10,0,0,0,0,0,0,0,0,0,0
2020-12-03,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,SCONES,CrO,0,11,11,7,4,0,0,0,0,0,0,0,0,0
2020-12-03,SCONES,CrO-WChoc,0,7,7,7,0,0,0,0,0,0,0,0,0,0
2020-12-03,FRUIT BARS,Mixed Berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,FRUIT BARS,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,FRUIT BARS,Apple Cin,0,10,10,1,0,9,0,0,0,0,0,0,0,0
2020-12-03,FRUIT BARS,Cran w.Choc,0,10,10,2,0,8,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Blue Stru,0,4,4,2,0,2,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Mex Choc,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Pump Choc,0,6,6,4,0,2,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Pump Crumb,0,4,4,1,0,3,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Cran W Choc,6,12,18,15,0,0,3,0,0,0,0,0,0,0
2020-12-03,MUFFINS,triple choc,2,18,20,20,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,St. Nicker,10,12,22,18,0,0,4,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Ginger,12,12,24,24,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,frosted sugar,13,12,25,15,0,0,10,0,0,0,0,0,0,0
2020-12-03,MUFFINS,PUmpkin,4,6,10,5,0,4,1,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Brown,6,4,10,10,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Pepp,2,8,10,10,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Pump OHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,MUFFINS,Totals,53,202,255,183,17,37,18,2,8,10,10,0,0,0
2020-12-04,BREAD,H,19,32,51,13,2,0,36,0,0,0,0,0,0,0
2020-12-04,BREAD,FR,2,46,48,22,1,0,25,0,0,0,0,0,0,0
2020-12-04,BREAD,GW,1,14,15,5,1,0,9,0,0,0,0,0,0,0
2020-12-04,BREAD,DK,10,15,25,11,1,0,13,0,0,0,0,0,0,0
2020-12-04,BREAD,H5|Cran,12,0,12,3,0,0,9,3,0,3,2,0,0,1
2020-12-04,BREAD,CSRWL,8,12,20,19,1,0,0,0,3,3,1,0,0,2
2020-12-04,BREAD,MP SWRL,6,4,10,5,0,1,4,0,2,2,2,0,0,0
2020-12-04,BREAD,TS,0,10,10,0,0,0,10,0,3,3,2,0,0,1
2020-12-04,BREAD,Angels,0,3,3,1,0,0,2,0,0,0,0,0,0,0
2020-12-04,BREAD,CNE,0,22,22,13,0,0,9,0,4,4,4,0,0,0
2020-12-04,BREAD,CNR,0,8,8,2,1,0,5,0,0,0,0,0,0,0
2020-12-04,BREAD,CNW,0,8,8,4,0,0,4,0,0,0,0,0,0,0
2020-12-04,BREAD,POP,0,29,29,7,2,0,20,0,3,3,2,0,0,0
2020-12-04,BREAD,Wreath,0,4,4,0,0,0,4,0,0,0,0,0,0,0
2020-12-04,BREAD,VS,2,8,10,7,0,0,3,0,4,4,2,0,0,2
2020-12-04,BREAD,SOURDOUGH,0,17,17,6,1,0,10,0,0,0,0,0,0,0
2020-12-04,BREAD,RG SOUR,0,6,6,2,0,0,4,0,0,0,0,0,0,0
2020-12-04,BREAD,CB,2,0,2,2,0,0,0,3,0,3,3,0,0,0
2020-12-04,BREAD,CrO,9,0,9,5,0,4,0,0,0,0,0,0,0,0
2020-12-04,BREAD,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,BREAD,BUT-Rls,0,15,15,6,2,0,7,0,0,0,0,0,0,0
2020-12-04,BREAD,H-RLS,0,4,4,-4,0,4,4,0,0,0,0,0,0,0
2020-12-04,BREAD,FR-RLS,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2020-12-04,BREAD,VS-RLS,3,2,5,3,0,0,2,0,0,0,0,0,0,0
2020-12-04,BREAD,Blue Stru,3,2,5,0,0,3,2,0,0,0,0,0,0,0
2020-12-04,BREAD,Mex Choc,4,1,5,2,0,2,1,0,0,0,0,0,0,0
2020-12-04,BREAD,Pum Choc,4,4,8,2,0,2,4,0,0,0,0,0,0,0
2020-12-04,BREAD,Pum Crmb,2,3,5,1,0,1,3,0,0,0,0,0,0,0
2020-12-04,ROLLS,Cinnamon,0,36,36,28,4,4,0,0,0,0,0,0,0,0
2020-12-04,ROLLS,Pecan C-Roll,0,24,24,3,0,21,0,0,0,0,0,0,0,0
2020-12-04,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,SCONES,Rasp Cream,0,0,0,-2,0,2,0,0,0,0,0,0,0,0
2020-12-04,SCONES,Cherry,0,19,19,15,4,0,0,0,0,0,0,0,0,0
2020-12-04,SCONES,Butt Almond,0,23,23,8,4,11,0,0,0,0,0,0,0,0
2020-12-04,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,SCONES,CrO,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2020-12-04,SCONES,CrO-WChoc,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2020-12-04,FRUIT BARS,Mixed Berry,0,10,10,9,0,1,0,0,0,0,0,0,0,0
2020-12-04,FRUIT BARS,Cherry,0,10,10,10,0,0,0,0,0,0,0,0,0,0
2020-12-04,FRUIT BARS,Apple Cin,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
2020-12-04,FRUIT BARS,Cran Choc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Blue Stru,0,4,4,3,0,1,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Mex Choc,0,4,4,1,0,3,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Pump Choc,0,7,7,2,0,5,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Pump Crumb,0,4,4,2,0,2,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Cran W Choc,3,12,15,10,0,0,5,0,0,0,0,0,0,0
2020-12-04,MUFFINS,triple choc,0,24,24,13,0,0,11,0,0,0,0,0,0,0
2020-12-04,MUFFINS,St. Nicker,4,18,22,18,0,0,4,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Ginger,0,24,24,13,0,0,11,0,0,0,0,0,0,0
2020-12-04,MUFFINS,frosted sugar,10,6,16,12,0,0,4,0,0,0,0,0,0,0
2020-12-04,MUFFINS,PUmpkin,1,7,8,2,0,0,6,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Brown,0,5,5,-1,0,0,6,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Pepp,0,8,8,4,0,0,4,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Pump OHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,MUFFINS,Totals,18,249,267,157,12,51,47,0,8,8,4,0,0,4
2020-12-05,BREAD,H,36,0,36,14,0,22,0,0,0,0,0,0,0,0
2020-12-05,BREAD,FR,25,0,25,25,0,0,0,0,0,0,0,0,0,0
2020-12-05,BREAD,GW,9,0,9,3,0,6,0,0,0,0,0,0,0,0
2020-12-05,BREAD,DK,13,0,13,10,0,3,0,0,0,0,0,0,0,0
2020-12-05,BREAD,H5|Cran,9,0,9,8,0,1,0,1,0,1,1,0,0,0
2020-12-05,BREAD,CSRWL,0,13,13,12,0,1,0,2,0,2,2,0,0,0
2020-12-05,BREAD,MP SWRL,4,4,8,3,1,4,0,0,2,2,2,0,0,0
2020-12-05,BREAD,TS,10,0,10,10,0,0,0,1,0,1,1,0,0,0
2020-12-05,BREAD,Angels,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2020-12-05,BREAD,CNE,9,0,9,9,0,0,0,0,0,0,0,0,0,0
2020-12-05,BREAD,CNR,5,0,5,5,0,0,0,0,0,0,0,0,0,0
2020-12-05,BREAD,CNW,4,0,4,2,0,2,0,0,0,0,0,0,0,0
2020-12-05,BREAD,POP,20,0,20,17,0,3,0,0,0,0,0,0,0,0
2020-12-05,BREAD,Wreath,4,0,4,4,0,0,0,0,0,0,0,0,0,0
2020-12-05,BREAD,VS,3,0,3,3,0,0,0,2,0,2,2,0,0,0
