Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2021-06-01,BREAD,H,0,38,38,24,0,0,14,0,0,0,0,0,0,0
2021-06-01,BREAD,FR,0,24,24,14,0,0,10,0,0,0,0,0,0,0
2021-06-01,BREAD,GW,0,10,10,4,0,0,6,0,0,0,0,0,0,0
2021-06-01,BREAD,DK,0,16,16,8,0,0,8,0,0,0,0,0,0,0
2021-06-01,BREAD,H5|Cran,0,14,14,1,0,0,13,0,8,8,5,0,0,3
2021-06-01,BREAD,CSWRL,0,20,20,20,0,0,0,0,5,5,5,0,0,0
2021-06-01,BREAD,CnE,0,18,18,9,0,0,9,0,3,3,3,0,0,0
2021-06-01,BREAD,CnR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,BREAD,CnW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,BREAD,RWB,0,16,16,9,0,0,7,0,6,6,3,0,0,3
2021-06-01,BREAD,CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,BREAD,Pest,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,BREAD,Jal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,BREAD,VS,0,15,15,9,0,0,6,0,3,3,3,0,0,0
2021-06-01,BREAD,SOUR,0,26,26,9,12,0,5,0,0,0,0,0,0,0
2021-06-01,BREAD,BORG SOUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,BREAD,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,BREAD,H-RLS,0,4,4,2,0,0,2,0,0,0,0,0,0,0
2021-06-01,BREAD,FR-RLS,0,3,3,2,0,0,1,0,0,0,0,0,0,0
