Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2022-03-01,BREAD,H,16,26,42,10,2,0,30,0,0,0,0,0,0,0
2022-03-01,BREAD,FR,19,14,33,13,2,0,18,0,0,0,0,0,0,0
2022-03-01,BREAD,GW,9,4,13,5,1,4,3,0,0,0,0,0,0,0
2022-03-01,BREAD,DK,17,0,17,9,0,0,8,0,0,0,0,0,0,0
2022-03-01,BREAD,H5,0,13,13,3,0,0,10,0,0,0,0,0,0,0
2022-03-01,BREAD,Cran,0,6,6,3,0,0,3,0,0,0,0,0,0,0
2022-03-01,BREAD,CSWRL,2,16,18,9,2,0,7,0,4,4,3,0,0,1
2022-03-01,BREAD,VA SWRL,1,12,13,9,0,0,4,2,0,2,2,0,0,0
2022-03-01,BREAD,CnE,3,3,6,6,0,0,0,0,2,2,0,0,0,2
2022-03-01,BREAD,CnR,1,3,4,2,0,0,2,0,0,0,0,0,0,0
2022-03-01,BREAD,RW,0,3,3,1,0,0,2,0,0,0,0,0,0,0
2022-03-01,BREAD,King,3,26,29,24,0,0,5,6,0,6,6,0,0,0
2022-03-01,BREAD,G & S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,BREAD,ISB,0,11,11,9,0,0,2,0,3,3,3,0,0,0
2022-03-01,BREAD,CG,1,0,1,1,0,0,0,1,0,1,1,0,0,0
2022-03-01,BREAD,Pest,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,BREAD,Jal,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-03-01,BREAD,VS,0,0,0,-3,0,0,3,0,0,0,0,0,0,0
2022-03-01,BREAD,sour-TL,0,9,9,9,0,0,0,0,0,0,0,0,0,0
2022-03-01,BREAD,OB,8,2,10,7,0,3,0,0,0,0,0,0,0,0
2022-03-01,BREAD,CAR,14,0,14,-1,0,0,15,0,0,0,0,0,0,0
2022-03-01,BREAD,IHF,1,17,18,4,0,0,14,0,0,0,0,0,0,0
2022-03-01,BREAD,H-RLS,2,1,3,2,0,0,1,0,0,0,0,0,0,0
2022-03-01,BREAD,FR-RLS,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2022-03-01,BREAD,VS-RLS,0,5,5,2,0,0,3,0,0,0,0,0,0,0
2022-03-01,BREAD,Blue Stru,0,4,4,1,0,0,3,0,0,0,0,0,0,0
2022-03-01,BREAD,Choc Carm,2,3,5,2,1,0,2,0,0,0,0,0,0,0
2022-03-01,BREAD,Straw Sh,3,1,4,0,0,3,1,0,0,0,0,0,0,0
2022-03-01,BREAD,Cap Choc,0,4,4,1,0,0,3,0,0,0,0,0,0,0
2022-03-01,ROLLS,C-Rolls,0,36,36,27,0,9,0,0,0,0,0,0,0,0
2022-03-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,Blueberry,0,11,11,8,0,3,0,0,0,0,0,0,0,0
2022-03-01,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,Cin Chip,0,11,11,0,0,11,0,0,0,0,0,0,0,0
2022-03-01,SCONES,BLARNEY,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,mixed berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SCONES,apple cin,0,5,5,4,0,1,0,0,0,0,0,0,0,0
2022-03-01,SCONES,Hawaiian,0,5,5,3,0,2,0,0,0,0,0,0,0,0
2022-03-01,MUFFINS,Blue Stru,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-03-01,MUFFINS,Choc Carm,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-03-01,MUFFINS,Straw Sh,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-03-01,MUFFINS,Cap Choc,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,oat cc,6,30,36,15,11,0,10,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,triple cc,13,18,31,18,11,0,2,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,snicker,18,12,30,20,10,0,0,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,Choc Bliss,15,0,15,11,0,4,0,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,P Butter,2,12,14,3,0,0,11,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,PB Bliss,10,12,22,22,0,0,0,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,frosted,12,6,18,6,0,0,12,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,brownie,7,20,27,7,0,0,20,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,Lemon Bars,0,20,20,3,0,0,17,0,0,0,0,0,0,0
2022-03-01,COOKIES/BARS,Bread Pudding,1,0,1,1,0,0,0,1,0,1,1,0,0,0
2022-03-01,COOKIES/BARS,Totals,84,222,306,172,32,30,72,1,0,1,1,0,0,0
2022-03-02,BREAD,H,30,19,49,18,7,0,24,0,0,0,0,0,0,0
2022-03-02,BREAD,FR,18,13,31,11,0,0,20,0,0,0,0,0,0,0
2022-03-02,BREAD,GW,3,6,9,3,0,0,6,0,0,0,0,0,0,0
2022-03-02,BREAD,DK,8,15,23,8,0,0,15,0,0,0,0,0,0,0
2022-03-02,BREAD,H5,10,0,10,8,0,0,2,0,0,0,0,0,0,0
2022-03-02,BREAD,Cran,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2022-03-02,BREAD,CSWRL,7,16,23,12,7,0,4,1,3,4,3,0,0,1
2022-03-02,BREAD,VA SWRL,4,8,12,7,0,0,5,0,3,3,3,0,0,0
2022-03-02,BREAD,CnE,0,20,20,5,0,0,15,2,3,5,2,0,0,3
2022-03-02,BREAD,CnR,2,3,5,5,0,0,0,0,0,0,0,0,0,0
2022-03-02,BREAD,RW,2,3,5,5,0,0,0,0,0,0,0,0,0,0
2022-03-02,BREAD,ISB,5,0,5,5,0,0,0,0,0,0,0,0,0,0
2022-03-02,BREAD,G & S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,BREAD,CG,0,8,8,1,0,0,7,0,4,4,1,0,0,3
2022-03-02,BREAD,Pest,0,5,5,4,0,0,1,0,0,0,0,0,0,0
2022-03-02,BREAD,Jal,0,5,5,3,0,0,2,0,0,0,0,0,0,0
2022-03-02,BREAD,VS,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2022-03-02,BREAD,sour-TL,0,8,8,5,0,0,3,0,0,0,0,0,0,0
2022-03-02,BREAD,OB,0,9,9,2,0,0,7,0,0,0,0,0,0,0
2022-03-02,BREAD,CAR,15,0,15,2,0,0,13,0,0,0,0,0,0,0
2022-03-02,BREAD,IHF,14,0,14,2,0,0,12,0,0,0,0,0,0,0
2022-03-02,BREAD,H-RLS,1,4,5,0,0,1,4,0,0,0,0,0,0,0
2022-03-02,BREAD,FR-RLS,0,3,3,0,0,0,3,0,0,0,0,0,0,0
2022-03-02,BREAD,VS-RLS,3,0,3,1,0,2,0,0,0,0,0,0,0,0
2022-03-02,BREAD,Blue Stru,3,1,4,1,0,2,1,0,0,0,0,0,0,0
2022-03-02,BREAD,Choc Carm,2,2,4,1,0,1,2,0,0,0,0,0,0,0
2022-03-02,BREAD,Straw Sh,1,3,4,4,0,0,0,0,0,0,0,0,0,0
2022-03-02,BREAD,Cap Choc,3,3,6,2,0,1,3,0,0,0,0,0,0,0
2022-03-02,ROLLS,C-Rolls,0,36,36,36,0,0,0,0,0,0,0,0,0,0
2022-03-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,Rasp Cream,0,11,11,7,0,4,0,0,0,0,0,0,0,0
2022-03-02,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,Turtle,0,13,13,13,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,BLARNEY,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,mixed berry,0,5,5,3,0,2,0,0,0,0,0,0,0,0
2022-03-02,SCONES,cherry,0,5,5,2,0,3,0,0,0,0,0,0,0,0
2022-03-02,SCONES,apple cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SCONES,Hawaiian,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,MUFFINS,Blue Stru,0,4,4,3,0,1,0,0,0,0,0,0,0,0
2022-03-02,MUFFINS,Choc Carm,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-03-02,MUFFINS,Straw Sh,0,4,4,2,0,2,0,0,0,0,0,0,0,0
2022-03-02,MUFFINS,Cap Choc,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,oat cc,10,26,36,26,8,0,2,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,triple cc,2,42,44,29,8,0,7,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,snicker,0,30,30,18,6,0,6,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,Choc Bliss,0,6,6,3,3,0,0,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,P Butter,11,6,17,2,0,11,4,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,PB Bliss,0,22,22,4,0,0,18,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,frosted,12,6,18,13,0,0,5,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,brownie,20,0,20,1,0,0,19,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,Lemon Bars,17,0,17,10,0,0,7,0,0,0,0,0,0,0
2022-03-02,COOKIES/BARS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
2022-03-02,COOKIES/BARS,Totals,72,232,304,188,25,23,68,0,0,0,-1,0,0,1
2022-03-03,BREAD,H,24,20,44,38,0,0,6,0,0,0,0,0,0,0
2022-03-03,BREAD,FR,20,53,73,20,38,0,15,0,0,0,0,0,0,0
2022-03-03,BREAD,GW,6,7,13,4,0,3,6,0,0,0,0,0,0,0
2022-03-03,BREAD,DK,15,0,15,8,0,0,7,0,0,0,0,0,0,0
2022-03-03,BREAD,H5,2,8,10,4,0,0,6,0,0,0,0,0,0,0
2022-03-03,BREAD,Cran,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2022-03-03,BREAD,CSWRL,4,16,20,12,3,0,5,1,3,4,4,0,0,0
2022-03-03,BREAD,VA SWRL,5,8,13,6,0,0,7,0,3,3,2,0,0,1
2022-03-03,BREAD,CnE,15,0,15,14,0,1,0,3,0,3,3,0,0,0
2022-03-03,BREAD,CnR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,BREAD,RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,BREAD,ISB,0,11,11,5,0,0,6,0,4,4,2,0,0,2
2022-03-03,BREAD,G & S,0,11,11,11,0,0,0,0,4,4,4,0,0,0
2022-03-03,BREAD,CG,7,0,7,4,0,3,0,3,0,3,3,0,0,0
2022-03-03,BREAD,Pest,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-03-03,BREAD,Jal,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2022-03-03,BREAD,VS,0,4,4,2,0,0,2,0,3,3,1,0,0,2
2022-03-03,BREAD,sour-TL,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2022-03-03,BREAD,OB,7,0,7,6,0,1,0,0,0,0,0,0,0,0
2022-03-03,BREAD,CAR,13,0,13,13,0,0,0,0,0,0,0,0,0,0
2022-03-03,BREAD,IHF,12,0,12,12,0,0,0,0,0,0,0,0,0,0
2022-03-03,BREAD,H-RLS,4,0,4,0,0,4,0,0,0,0,0,0,0,0
2022-03-03,BREAD,FR-RLS,3,0,3,2,0,1,0,0,0,0,0,0,0,0
2022-03-03,BREAD,VS-RLS,0,5,5,2,0,0,3,0,0,0,0,0,0,0
2022-03-03,BREAD,Blue Stru,1,3,4,2,0,0,2,0,0,0,0,0,0,0
2022-03-03,BREAD,Choc Carm,2,2,4,1,0,2,1,0,0,0,0,0,0,0
2022-03-03,BREAD,Straw Sh,0,4,4,3,0,0,1,0,0,0,0,0,0,0
2022-03-03,BREAD,Cap Choc,3,1,4,1,0,2,1,0,0,0,0,0,0,0
2022-03-03,ROLLS,C-Rolls,0,36,36,32,0,4,0,0,0,0,0,0,0,0
2022-03-03,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,Blueberry,0,11,11,11,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,Turtle,0,11,11,11,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,BLARNEY,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,mixed berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SCONES,apple cin,0,5,5,4,0,1,0,0,0,0,0,0,0,0
2022-03-03,SCONES,Hawaiian,0,5,5,3,0,2,0,0,0,0,0,0,0,0
2022-03-03,MUFFINS,Blue Stru,0,4,4,3,0,1,0,0,0,0,0,0,0,0
2022-03-03,MUFFINS,Choc Carm,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2022-03-03,MUFFINS,Straw Sh,0,4,4,3,0,1,0,0,0,0,0,0,0,0
2022-03-03,MUFFINS,Cap Choc,0,4,4,3,0,1,0,0,0,0,0,0,0,0
2022-03-03,COOKIES/BARS,oat cc,2,36,38,25,13,0,0,0,16,16,0,0,0,0
2022-03-03,COOKIES/BARS,triple cc,7,36,43,25,18,0,0,0,16,16,0,0,0,0
2022-03-03,COOKIES/BARS,snicker,6,36,42,23,13,0,6,0,14,14,0,0,0,0
2022-03-03,COOKIES/BARS,Choc Bliss,0,12,12,6,0,0,6,0,0,0,0,0,0,0
