Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2023-02-01,BREAD,H,20.0,13.0,33.0,14.0,2,4,13.0,0,0,0,0,0,0,0
2023-02-01,BREAD,FR,10.0,13.0,23.0,9.0,0,4,10.0,0,0,0,0,0,0,0
2023-02-01,BREAD,GW,9.0,0.0,9.0,7.0,0,2,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,DK,2.0,15.0,17.0,9.0,0,0,8.0,0,0,0,0,0,0,0
2023-02-01,BREAD,H5,6.0,0.0,6.0,1.0,0,0,5.0,0,0,0,0,0,0,0
2023-02-01,BREAD,Cran,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,CSWRL,2.0,12.0,14.0,11.0,3,0,0.0,2,5,7,7,0,0,0
2023-02-01,BREAD,CnE,0.0,12.0,12.0,5.0,0,0,7.0,0,2,2,1,0,0,1
2023-02-01,BREAD,CnR,0.0,4.0,4.0,1.0,0,0,3.0,0,0,0,0,0,0,0
2023-02-01,BREAD,RW,0.0,4.0,4.0,1.0,1,0,2.0,0,0,0,0,0,0,0
2023-02-01,BREAD,Monk,0.0,6.0,6.0,3.0,0,0,3.0,0,0,0,0,0,0,0
2023-02-01,BREAD,VT,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,CB,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,BfB,3.0,0.0,3.0,2.0,0,1,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,EB,10.0,0.0,10.0,4.0,0,0,6.0,0,0,0,0,0,0,0
2023-02-01,BREAD,CG,0.0,10.0,10.0,3.0,0,0,7.0,0,4,4,1,0,0,3
2023-02-01,BREAD,Cheet,0.0,4.0,4.0,3.0,0,0,1.0,0,0,0,0,0,0,0
2023-02-01,BREAD,VT,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,bac,0.0,3.0,3.0,2.0,0,0,1.0,0,0,0,0,0,0,0
2023-02-01,BREAD,jal,0.0,3.0,3.0,3.0,0,0,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,VS,5.0,0.0,5.0,3.0,0,2,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,Sno Leop,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,sour-TL,1.0,15.0,16.0,9.0,0,0,7.0,0,0,0,0,0,0,0
2023-02-01,BREAD,OB,0.0,4.0,4.0,0.0,0,0,4.0,0,0,0,0,0,0,0
2023-02-01,BREAD,CAR,6.0,0.0,6.0,1.0,0,0,5.0,0,0,0,0,0,0,0
2023-02-01,BREAD,IHF,6.0,0.0,6.0,2.0,0,0,4.0,0,0,0,0,0,0,0
2023-02-01,BREAD,H-RLS,0.0,4.0,4.0,0.0,0,0,4.0,0,0,0,0,0,0,0
2023-02-01,BREAD,FR-RLS,0.0,4.0,4.0,0.0,0,0,4.0,0,0,0,0,0,0,0
2023-02-01,BREAD,VS-RLS,1.0,0.0,1.0,0.0,0,1,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,Blue Stru,1.0,6.0,7.0,3.0,4,0,0.0,0,0,0,0,0,0,0
2023-02-01,BREAD,Choc Carm,0.0,3.0,3.0,3.0,0,0,0.0,0,0,0,0,0,0,0
