Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2023-07-01,BREAD,H,21,0,21,9,0,12,0,0,0,0,0,0,0,0
2023-07-01,BREAD,FR,8,0,8,8,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,GW,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,DK,18,0,18,7,0,11,0,0,0,0,0,0,0,0
2023-07-01,BREAD,H5,4,0,4,-1,0,5,0,0,0,0,0,0,0,0
2023-07-01,BREAD,CSWRL,0,13,13,1,1,11,0,0,5,5,1,0,0,0
2023-07-01,BREAD,VA SWRL,2,4,6,4,0,2,0,1,0,1,-1,0,0,0
2023-07-01,BREAD,CnE,4,0,4,4,0,0,0,1,0,1,1,0,0,0
2023-07-01,BREAD,CnR,2,0,2,-3,0,5,0,0,0,0,0,0,0,0
2023-07-01,BREAD,RW,2,0,2,-3,0,5,0,0,0,0,0,0,0,0
2023-07-01,BREAD,Monkey,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
2023-07-01,BREAD,RWB,1,0,1,0,0,1,0,0,0,0,-2,0,0,0
2023-07-01,BREAD,CG,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,Pest,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,jal,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,Cheetah,1,0,1,-1,0,2,0,0,0,0,0,0,0,0
2023-07-01,BREAD,VS,3,0,3,-2,0,5,0,0,0,0,-1,0,0,0
2023-07-01,BREAD,sour-TL,3,0,3,3,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,OB,6,0,6,6,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,CAR,22,0,22,13,0,0,9,0,0,0,0,0,0,0
2023-07-01,BREAD,IHF,14,0,14,-1,0,0,15,0,0,0,0,0,0,0
2023-07-01,BREAD,H-RLS,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2023-07-01,BREAD,FR-RLS,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,VS-RLS,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2023-07-01,BREAD,Lem Blue,0,3,3,1,1,1,0,0,0,0,0,0,0,0
2023-07-01,BREAD,Choc Carm,2,0,2,0,0,2,0,0,0,0,0,0,0,0
2023-07-01,BREAD,Blue Stru,0,6,6,1,2,3,0,0,0,0,0,0,0,0
2023-07-01,ROLLS,C-Rolls,0,132,132,119,0,13,0,0,0,0,0,0,0,0
2023-07-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,Blueberry,0,22,22,22,3,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,RW Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,Butt Almond,0,22,22,22,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,FRUIT BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,mixed berry,0,5,5,3,0,2,0,0,0,0,0,0,0,0
2023-07-01,SCONES,cherry,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,apple cin,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2023-07-01,SCONES,RW Blue,0,5,5,4,0,1,0,0,0,0,0,0,0,0
2023-07-01,MUFFINS,Lemon Blue,0,11,11,9,0,2,0,0,0,0,0,0,0,0
2023-07-01,MUFFINS,Choc Carm,0,8,8,7,0,1,0,0,0,0,0,0,0,0
2023-07-01,MUFFINS,Blue Stru,0,11,11,11,0,0,0,0,0,0,0,0,0,0
2023-07-01,COOKIES/BARS,oat cc,4,18,22,15,0,7,0,0,0,0,0,0,0,0
2023-07-01,COOKIES/BARS,triple cc,5,30,35,22,12,1,0,0,0,0,0,0,0,0
2023-07-01,COOKIES/BARS,Snickerdoodle,12,24,36,24,12,0,0,0,0,0,0,0,0,0
2023-07-01,COOKIES/BARS,P. butter,5,6,11,11,0,0,0,0,0,0,0,0,0,0
2023-07-01,COOKIES/BARS,Frosted,18,0,18,12,0,6,0,0,0,0,0,0,0,0
2023-07-01,COOKIES/BARS,Brownie,16,0,16,-4,0,14,6,0,0,0,0,0,0,0
2023-07-01,COOKIES/BARS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,COOKIES/BARS,Totals,0,304,304,251,27,47,6,0,0,0,0,0,0,0
2023-07-02,BREAD,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-02,BREAD,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-02,BREAD,GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-02,BREAD,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-02,BREAD,H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-02,BREAD,CSWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-02,BREAD,VA SWRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
