Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2024-05-01,BREAD,H,4,44,48,12,20,0,16,0,0,0,0,0,0,0
2024-05-01,BREAD,FR,14,25,39,30,0,0,9,0,0,0,0,0,0,0
2024-05-01,BREAD,GW,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2024-05-01,BREAD,DK,11,19,30,14,0,0,16,0,0,0,0,0,0,0
2024-05-01,BREAD,H5,15,0,15,10,0,0,5,0,0,0,0,0,0,0
2024-05-01,BREAD,CSWRL,6,24,30,20,2,0,8,1,10,11,5,0,0,5
2024-05-01,BREAD,CnE,9,18,27,23,0,0,4,0,7,7,4,0,0,3
2024-05-01,BREAD,CnR,0,11,11,10,0,0,1,0,0,0,0,0,0,0
2024-05-01,BREAD,RW,3,8,11,9,0,0,2,0,0,0,0,0,0,0
2024-05-01,BREAD,Monkey,0,9,9,8,0,0,1,0,0,0,0,0,0,0
2024-05-01,BREAD,CG,0,6,6,3,0,0,3,0,1,1,1,0,0,0
2024-05-01,BREAD,Pest,0,5,5,3,0,0,2,0,0,0,0,0,0,0
2024-05-01,BREAD,jal,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2024-05-01,BREAD,Cheetah,0,9,9,6,0,0,3,0,0,0,0,0,0,0
2024-05-01,BREAD,VS,7,0,7,6,0,1,0,5,0,5,4,0,0,0
2024-05-01,BREAD,sour-TL,6,36,42,30,1,0,11,0,0,0,0,0,0,0
2024-05-01,BREAD,OB,2,9,11,7,0,0,4,0,0,0,0,0,0,0
2024-05-01,BREAD,Pepp Roll,0,14,14,10,0,0,4,0,0,0,0,0,0,0
2024-05-01,BREAD,VS Pep Rl,22,0,22,20,0,0,2,0,0,0,0,0,0,0
2024-05-01,BREAD,CAR,20,0,20,2,0,0,18,0,0,0,0,0,0,0
2024-05-01,BREAD,IHF,5,0,5,1,0,0,4,0,0,0,0,0,0,0
2024-05-01,BREAD,H-RLS,0,7,7,2,0,0,5,0,0,0,0,0,0,0
