file,status,rows
./Daily Sheet Data Cleaned Whole and Half\2016 05 May.csv,ingested,1529
./Daily Sheet Data Cleaned Whole and Half\2016 06 June.csv,ingested,1611
./Daily Sheet Data Cleaned Whole and Half\2016 07 July.csv,ingested,1642
./Daily Sheet Data Cleaned Whole and Half\2016 08 August.csv,ingested,1655
./Daily Sheet Data Cleaned Whole and Half\2016 09 September.csv,ingested,1430
./Daily Sheet Data Cleaned Whole and Half\2016 10 October.csv,ingested,1526
./Daily Sheet Data Cleaned Whole and Half\2016 11 November.csv,ingested,1612
./Daily Sheet Data Cleaned Whole and Half\2016 12 December.csv,ingested,1669
./Daily Sheet Data Cleaned Whole and Half\2017 01 January.csv,ingested,1325
./Daily Sheet Data Cleaned Whole and Half\2017 02 February.csv,ingested,1367
./Daily Sheet Data Cleaned Whole and Half\2017 03 March.csv,ingested,1521
./Daily Sheet Data Cleaned Whole and Half\2017 04 April.csv,ingested,1459
./Daily Sheet Data Cleaned Whole and Half\2017 05 May.csv,ingested,1501
./Daily Sheet Data Cleaned Whole and Half\2017 06 June.csv,ingested,1476
./Daily Sheet Data Cleaned Whole and Half\2017 07 July.csv,ingested,1535
./Daily Sheet Data Cleaned Whole and Half\2017 08 August.csv,ingested,1698
./Daily Sheet Data Cleaned Whole and Half\2017 09 September.csv,ingested,1483
./Daily Sheet Data Cleaned Whole and Half\2017 10 October.csv,ingested,1725
./Daily Sheet Data Cleaned Whole and Half\2017 11 November.csv,ingested,1842
./Daily Sheet Data Cleaned Whole and Half\2017 12 December.csv,ingested,1845
./Daily Sheet Data Cleaned Whole and Half\2018 01 January.csv,ingested,1400
./Daily Sheet Data Cleaned Whole and Half\2018 02 February.csv,ingested,1586
./Daily Sheet Data Cleaned Whole and Half\2018 03 March.csv,ingested,1719
./Daily Sheet Data Cleaned Whole and Half\2018 04 April.csv,ingested,1565
./Daily Sheet Data Cleaned Whole and Half\2018 05 May.csv,ingested,1772
./Daily Sheet Data Cleaned Whole and Half\2018 06 June.csv,ingested,1716
./Daily Sheet Data Cleaned Whole and Half\2018 07 July.csv,ingested,1792
./Daily Sheet Data Cleaned Whole and Half\2018 08 August.csv,ingested,1845
./Daily Sheet Data Cleaned Whole and Half\2018 09 September.csv,ingested,1811
./Daily Sheet Data Cleaned Whole and Half\2018 10 October.csv,ingested,1882
./Daily Sheet Data Cleaned Whole and Half\2018 11 November.csv,ingested,1934
./Daily Sheet Data Cleaned Whole and Half\2018 12 December.csv,ingested,1967
./Daily Sheet Data Cleaned Whole and Half\2019 01 January.csv,ingested,1748
./Daily Sheet Data Cleaned Whole and Half\2019 02 February.csv,ingested,1862
./Daily Sheet Data Cleaned Whole and Half\2019 03 March.csv,ingested,1947
./Daily Sheet Data Cleaned Whole and Half\2019 04 April.csv,ingested,1919
./Daily Sheet Data Cleaned Whole and Half\2019 05 May.csv,ingested,1744
./Daily Sheet Data Cleaned Whole and Half\2019 06 June.csv,ingested,1529
./Daily Sheet Data Cleaned Whole and Half\2019 07 July.csv,ingested,1595
./Daily Sheet Data Cleaned Whole and Half\2019 08 August.csv,ingested,1695
./Daily Sheet Data Cleaned Whole and Half\2019 09 September.csv,ingested,1708
./Daily Sheet Data Cleaned Whole and Half\2019 10 October.csv,ingested,1865
./Daily Sheet Data Cleaned Whole and Half\2019 11 November.csv,ingested,2004
